ref_hint,priority_line_count,first_line_number,last_line_number,printed_page_hints,greek_ocr_excerpt,charles_witness_refs,charles_witness_excerpt,charles_comparison_notes,next_review
1 Enoch 10:12,1,36508,36508,276,"ἀδικίαν πᾶσαν ἀπὸ τῆς γῆς, καὶ πᾶν ἔργον πονηρίας ἐκλειπέτω,",1 Enoch 10:12,"And, when their sons have slain one another, and they have seen the destruction of their beloved ones, bind them fast for seventy generations in the valleys of the earth, till the day of their judgement and of their consummation, till the judgement that is for ever and ever is consummated.",Charles emended text: valleys,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 10:15,1,36532,36532,276,15. ᾿Απόλεσον πάντα τὰ πνεύματα τῶν κιβδήλων καὶ τοὺς υἱοὺς,1 Enoch 10:15,"And destroy all the spirits of the reprobate, and the children of the Watchers, because they have wronged mankind.",,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 10:16,1,36538,36538,276,ἀναφανήτω τὸ φυτὸν τῆς δικαιοσύνης καὶ τῆς ἀληθείας: εἰς τοὺς,1 Enoch 10:16,"Destroy all wrong from the face of the earth, and let every evil work come to an end: and let the plant of righteousness and truth appear: and it shall prove a blessing: the works of righteousness and truth shall be planted in truth and joy for evermore.",G^g has text absent from Ethiopic: and it shall prove a blessing: the works of righteousness and truth,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 10:17,3,36546,36553,276,"| καὶ πᾶσαι αἱ ἡμέραι νεότητος αὐτῶν, καὶ ἡ τὰ σάββατα αὐτῶν ὃ / 18, τότε ἐργασθήσεται πᾶσα ἡ γῆ ἐν δικαιοσύνῃ καὶ καταφυτευ- / σεται * δένδρον ἐν αὐτῇ 4, καὶ πλησθήσεται εὐλογίας.",1 Enoch 10:17,"And then shall all the righteous escape, And shall live till they beget thousands of children, And all the days of their youth and their old age shall they complete in peace.",Charles emended text: old age,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 10:19,2,36559,36565,276,"ἐσόνται φυτεύοντες ἀμπέλους, (κ)αὶ ἡ ἄμπελος ἣν ἂν φυτεύσωσιν, / ; α τὰ δένδρα τῆς γῆς ἀγαλλιάσονται ἡ ὃ φυτευθήσεται, καὶ",1 Enoch 10:19,"And all desirable trees shall be planted on it, and they shall plant vines on it: and the vine which they plant thereon shall yield wine in abundance, and as for all the seed which is sown thereon each measure (of it) shall bear a thousand, and each measure of olives shall yield ten presses of oil.",Charles supplied text: of it,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 10:20,1,36580,36580,276,αθάρισον τὴν γῆν ἀπὸ πάσης ἀκαθαρσίας ἴ καὶ ἀπὸ πάσης ἀδικίας,1 Enoch 10:20,"And cleanse thou the earth from all oppression, and from all unrighteousness, and from all sin, and from all godlessness: and all the uncleanness that is wrought upon the earth destroy from off the earth.",,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 11,5,36625,36667,276,"ἴα τῆς εὐλογίας τὰ ὄντα ἐν τῷ οὐρανῷ, καὶ κατενεγκεῖν αὐτὰ 19 ἐπὶ / τὰ ἔργα, ἐπὶ τὸν κόπον τῶν υἱῶν τῶν ἀνθρώπων. 2. καὶ ἵτότε / * ἀλήθεια καὶ εἰρήνη ᾿ κοινωνήσουσιν ὁμοῦ εἰς πάσας τὰς ἡμέρας τοῦ / ΧΙ, Πρὸ τούτων τῶν λόγων ἐλήμφθη, Ἔν, καὶ οὐδεὶς ὃ τῶν",1 Enoch 11:1-11:2,"And in those days I will open the store chambers of blessing which are in the heaven, so as to send them down upon the earth over the work and labour of the children of men. And truth and peace shall be associated together throughout all the days of the world and throughout all the generations of men.’",G^g has text absent from Ethiopic: upon the earth; Charles emended text: of men,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 11:2,12,36668,36684,276,"2. καὶ τὰ ἔργα αὐτοῦ ὁ μετὰ τῶν ἐγρηγόρων, καὶ μετὰ τῶν ἁγίων Fa / ἡμέραι ὃ αὐτοῦ. 8, Καὶ ἑστὼς ἤμην"" “Ενὼχ εὐλογῶν τῷ κυρίῳϑ τῆς / μεγαλοσύνης, τῷ βασιλεῖ τῶν αἰώνων. καὶ ἰδοὺ οἱ ἐγρήγοροι ‘rod / ἁγίου τοῦ μεγάλου"" ἐκάλουν pe Ἑνώχ Ἷ,...,. 4. ὁ γραμματεὺς τῆς",1 Enoch 11:2,And truth and peace shall be associated together throughout all the days of the world and throughout all the generations of men.’,Charles emended text: of men,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 13,3,36687,36690,276,"εἰρήνη. κρίμα μέγα ἐξῆλθεν κατὰ σοῦ δῆσαί σε, 2. καὶ ἀνοχὴ κα / ἐρώτησίς σοι οὐκ ἔσται περὶ ὧν ἔδειξας ἀδικημάτων καὶ περὶ πάντων / τῶν ἔργων τῶν ἀσεβειῶν καὶ τῆς ἀδικίας καὶ τῆς ἁμαρτίας, ὅσα",1 Enoch 13:1-13:10,"And Enoch went and said: ‘Azâzêl, thou shalt have no peace: a severe sentence has gone forth against thee to put thee in bonds: And thou shalt not have toleration nor request granted to thee, because of the unrighteousness which thou hast taught, and because of all the works of godlessness and unrighteousness and sin which thou hast shown to men.’ Then I went and spoke to them all together, and they were all afraid, and fear and trembling seized them.",Charles marks corrupt text: request,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 13:3,64,36694,36948,276,"3. Τότε πορευθεὶς εἴρηκα. πᾶσιν αὐτοῖς, καὶ αὐτοὶ πάντες ἐφοβή- / θησαν, καὶ ἔλαβεν αὐτοὺς τρόμος καὶ φόβος. 4, καὶ ἠρώτησαν 4 / ὅπως γράψω αὐτοῖς ὑπομνήματα ἐρωτήσεως, ἵνα yevnrat! αὐτοῖς ἄφεσις, / “καὶ ἵνα ἐγὼ ἀναγνῶ "" αὐτοῖς τὸ ὑπόμνημα τῆς ἐρωτήσεως ἐνώπιον",1 Enoch 13:3,"Then I went and spoke to them all together, and they were all afraid, and fear and trembling seized them.",,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 13:13,5,36949,36955,276,"13. καὶ οἱ ἅγιοι τῶν ἀγγέλων 13 οἱ ἐγγίζοντες αὐτῷ οὐκ ἀποχωροῦσιν / γυκτὸς οὔτε ἀφίστανται αὐτοῦ, 24, Κἀγὼ ἤμην ἕως τούτου ἐπὶ / πρόσωπόν μου βεβλημένος 15 καὶ τρέμων, καὶ ὁ κύριος τῷ στόματι / ὑτοῦ ἐκάλεσέν με καὶ εἶπέν μοι Πρόσελθε ὧδε, ᾿Ενώχ, καὶ τὸν",1 Enoch 13:1-13:10,"And Enoch went and said: ‘Azâzêl, thou shalt have no peace: a severe sentence has gone forth against thee to put thee in bonds: And thou shalt not have toleration nor request granted to thee, because of the unrighteousness which thou hast taught, and because of all the works of godlessness and unrighteousness and sin which thou hast shown to men.’ Then I went and spoke to them all together, and they were all afraid, and fear and trembling seized them.",Charles marks corrupt text: request,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 15,9,36957,37008,276,"XV. Καὶ ἀποκριθεὶς εἶπέν μοι [Ὃ ἄνθρωπος ὁ ἀληθινός, ἄνθρωπος / τῆς ἀληθείας ὁ γραμματεύς 115 καὶ τῆς φωνῆς αὐτοῦ ἤκουσα μὴ / φοβηθῇς, Ενώχ, ἄνθρωπος ἀληθινὸς καὶ γραμματεὺς τῆς ἀληθείας"" / τὸν οὐρανὸν τὸν ὑψηλὸν τὸν ἅγιον τοῦ αἰῶνος, καὶ μετὰ τῶν γυναικῶν",1 Enoch 15:1-15:12,"And He answered and said to me, and I heard His voice: ‘Fear not, Enoch, thou righteous man and scribe of righteousness: approach hither and hear my voice. And go, say to the Watchers of heaven, who have sent thee to intercede for them: “You should intercede for men, and not men for you: Wherefore have ye left the high, holy, and eternal heaven, and lain with women, and defiled yourselves with the daughters of men and taken to yourselves wives, and done like the children of earth, and begotte...",Ethiopic has text absent from G^g/G^s: the Watchers of heaven; for them: “You should intercede; Charles supplied text: as your,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 15:2,6,37388,37393,294,"2. Καὶ νῦν ἐγρηγόροις τοῖς πέμψασίν σε ἐρωτῆσαι περὶ αὐτῶν, / οἵτινες ὅ ἐν οὐρανῷ ἦσαν. 8, Ὑμεῖς ἐν τῷ οὐρανῷ ἦτε, καὶ πᾶν / μυστήριον [ὃ] οὐκ ἀνεκαλύφθη ὑμῖν καὶ μυστήριον Ἔ τὸ ἐκ τοῦ θεοῦ / γεγενημένον ὃ ἔγνωτε, καὶ τοῦτο ἐμηνύσατε ταῖς γυναιξὶν ἐν ταῖς",1 Enoch 15:2,"And go, say to the Watchers of heaven, who have sent thee to intercede for them: “You should intercede for men, and not men for you:",Ethiopic has text absent from G^g/G^s: the Watchers of heaven; for them: “You should intercede,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 15:8,1,37061,37061,276,εἰς αὐτὰς καὶ τεκνώσουσιν ἐν αὐταῖς ὃ τέκνα οὕτως.,1 Enoch 15:8,"And now, the giants, who are produced from the spirits and flesh, shall be called evil spirits upon the earth, and on the earth shall be their dwelling.",,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 15:12,3,37347,37378,294,"ἔσται ἀφανίζοντα χωρὶς κρίσεως"" χρις ἡμέρας τῆς τελειώσεως, Ews / οὕτως ἀφανίσουσιν μέχρις ἡμέρας τῆς κρίσεως τῆς μεγάλης, ἐν ἣ / τελειώσεως, *rijs κρίσεως τῆς αἰὼν *6 μέγας τελεσθήσεται""",1 Enoch 15:12,"And these spirits shall rise up against the children of men and against the women, because they have proceeded from them.",G^g has text absent from Ethiopic: from them,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 17,37,37396,37551,294,"XVII. Καὶ παραλαβόντες με εἴς τινα τόπον Γ ἀπήγαγον"", ἐν ᾧ ot / ὄντες ἐκεῖ γίνονται ὡς πῦρ φλέγον καί, ὅταν θέλωσιν, φαίνονται. / ὡσεὶ ἄνθρωποι. 2. Καὶ ἀπήγαγόν pe εἰς ζοφώδη ἴ τόπον καὶ εἰς / ὄρος οὗ *) κεφαλὴ ὃ ἀφικνεῖτο εἰς τὸν οὐρανόν. 8. καὶ ἴδον",1 Enoch 17:1-17:8,"And they took and brought me to a place in which those who were there were like flaming fire, and when they wished, they appeared as men. And they brought me to the place of darkness, and to a mountain the point of whose summit reached to heaven. And I saw the places of the luminaries and the treasuries of the stars and of the thunder, and in the uttermost depths, where were a fiery bow and arrows and their quiver, and a fiery sword and all the lightnings.",G^g has text absent from Ethiopic: and; G^g has text absent from Ethiopic: and the treasuries of the stars; and; Ethiopic has text absent from G^g/G^s: and a fiery sword; Charles emended text: uttermost depths,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 17:15,7,37555,37579,294,"15. καὶ οἱ ἀστέρες οἱ κυλιόμενοι *év τῷ πυρί 3, οὗτοί εἰσιν οἱ mapa / βάντες πρόσταγμα Κυρίου ὃ ἐν ἀρχῇ. τῆς ἀνατολῆς αὐτῶν [ὅτι τόπος / ἔξω τοῦ οὐρανοῦ κενός ἐστιν], ὅτι οὐκ ἐξῆλθαν ἐν τοῖς καιρὸ / τελειώσεως [αὐτῶν] ἁμαρτίας αὐτῶν, Ἐἐνιαυτῶν μυρίων ὅ.",1 Enoch 17:1-17:8,"And they took and brought me to a place in which those who were there were like flaming fire, and when they wished, they appeared as men. And they brought me to the place of darkness, and to a mountain the point of whose summit reached to heaven. And I saw the places of the luminaries and the treasuries of the stars and of the thunder, and in the uttermost depths, where were a fiery bow and arrows and their quiver, and a fiery sword and all the lightnings.",G^g has text absent from Ethiopic: and; G^g has text absent from Ethiopic: and the treasuries of the stars; and; Ethiopic has text absent from G^g/G^s: and a fiery sword; Charles emended text: uttermost depths,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 20:2,1,37655,37655,294,2. Ἔ καὶ αἱ γυναῖκες αὐτῶν τῶν τοράβόνχον ἀγγέλων ὁ,1 Enoch 20:2,"Uriel, one of the holy angels, who is over the world and over Tartarus.",,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 20:16,2,37649,37652,294,16. κἀὶ ὀργίσθη αὐτοῖς καὶ ἔδησεν αὐτοὺς μέχρι καιροῦ / καὶ εἶπέν μοι. Οὐριήλ ᾿Ενθάδε οἱ μιγέντες ἄγγελοι ταῖς,1 Enoch 20:1-20:8,"And these are the names of the holy angels who watch. Uriel, one of the holy angels, who is over the world and over Tartarus. Raphael, one of the holy angels, who is over the spirits of men.",,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 21:9,2,37943,37947,294,καὶ ἐπτοήθης ; * καὶ ἀπεκρίθη(ν) 15 Περὶ τούτου τοῦ φοβεροῦ (τόπο / δεσμωτήριον ἀγγέλων᾽ ὧδε ᾽ξ συνσχεθήσονται [μέχρι ἑνὸς] 1ὅ εἰς roi,1 Enoch 21:9,"Then Uriel answered me, one of the holy angels who was with me, and said unto me: ‘Enoch, why hast thou such fear and affright?’ And I answered: ‘Because of this fearful place, and because of the spectacle of the pain.’",,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 22,2,37950,37951,294,"XXII. Κἀκεῖθεν ἐφόδευσα εἰς ἄλλον τόπον, καὶ ἔδειξέν μοι mpd / δυσμὰς Γἄλλο! ὄρος μέγα καὶ ὑψηλὸν 15 πέτρας στερεᾶς 1,",1 Enoch 22:1-22:14,"And thence I went to another place, and he showed me in the west another great and high mountain and of hard rock. E And there was in it four hollow places, deep and wide and very smooth. How smooth are the hollow places and deep and dark to look at. G^g And there were four hollow places in it, deep and very smooth: three of them were dark and one bright; and there was a fountain of water in its midst. And I said: ‘How smooth are these hollow places, and deep and dark to view.’ Then Raphael a...",G^g has text absent from Ethiopic: another; Charles marks interpolation: and; Charles emended text: hollow; the hollow places; Charles marks corrupt text: four; How; four; three; How,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 22:3,5,38069,38153,294,"γγέλων ὃς μετ᾽ ἐμοῦ ἦν, καὶ εἶπέν μοι Οὗτοι οἱ τόποι οἱ κοῖλοι, ἵνα / πισυνάγωνται εἰς αὐτοὺς τὰ πνεύματα τῶν ψυχῶν τῶν νεκρῶν, εἰς / ὑτὸ τοῦτο ἐκρίθησαν, ὧδε ἐπισυνάγεσθαι πάσας τὰς ψυχὰς ἢ / ῷ Τοῦτο τὸ πνεῦμα 'τὸ ἐντυγχάνον"" τίνος ἐστίν, οὗ 15 οὕτως",1 Enoch 22:3,"Then Raphael answered, one of the holy angels who was with me, and said unto me: ‘These hollow places have been created for this very purpose, that the spirits of the souls of the dead should assemble therein, yea that all the souls of the children of men should assemble here.",,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 22:4,2,38167,38168,294,"τοιζήθγησαν μέχρι τῆς ἡμέρας τῆς κρίσεως. αὐτῶν καὶ μέχρι / δῦ διορισμοῦ [καὶ διορισμένου χρόνου,] ἐν ᾧ ἡ κρίσις ἡ μεγάλη",1 Enoch 22:4,"And these places have been made to receive them till the day of their judgement and till their appointed period till the period appointed, till the great judgement (comes) upon them.’ E",Charles marks interpolation: till the period appointed; Charles supplied text: comes; Charles emended text: have been made,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 22:5,4,38172,38183,294,"᾿ς καὶ ὃ ἠρώτησα "" Ραφαὴλ τὸν ἄγγελον ὃς μετ᾽ ἐμοῦ ἦν, καὶ εἶπα / : κρίθη μοι λέγων Τοῦτο τὸ πνεῦμά ἐστιν τὸ ἐξελθὸν ἀπὸ ἽΛβελ ὃν / ὄνευσεν Κάειν 6 ἀδελφός, καὶ ΓΑβελ! ἐντυγχάνει περὶ αὐτοῦ μέχρι / Ὁ ἀπολέσαι τὸ σπέρμα αὐτοῦ ἀπὸ προσώπου τῆς γῆς, καὶ ἀπὸ τοῦ",1 Enoch 22:5,"I saw the spirits of the children of men who were dead, and their voice went forth to heaven and made suit. I saw the spirit of a dead man making suit, and his voice went forth to heaven and made suit.",Charles restored text: the spirit of; Charles emended text: a dead man,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 22:8,1,38189,38189,294,"γώτησα 13 περὶ τῶν κοιλωμάτων 13 πάντων, διὰ τί ἐχωρίσθησαν *ev ἀπὸ",1 Enoch 22:8,"Then I asked regarding it, and regarding all the hollow places: ‘Why is one separated from the other?’ G^g Then I asked regarding all the hollow places: ‘Why is one separated from the other?’ E",Charles emended text: hollow places,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 22:9,14,38190,38262,294; 800,"9. καὶ ἀπεκρίθη μοι λέγων Οὗτοι οἱ τρὶς ἐποιήθησαν / τὰ πνεύματα τῶν δικαίων, οὗ ἡ πηγὴ τοῦ ὕδατος ἐν αὐτῷ 15 / θάνωσιν καὶ ταφῶσιν εἰς τὴν γῆν, καὶ κρίσις οὐκ ἐγενήθη ἐπ᾽ αὐτῶν / τῇ Con αὐτῶν. 11. ὧδε χωρίζεται τὰ πνεύματα αὐτῶν εἰς τὴν μεγάλ",1 Enoch 22:9,"And he answered me and said unto me: ‘These three have been made that the spirits of the dead might be separated. And such a division has been made for the spirits of the righteous, in which there is the bright spring of water. And he answered me saying: ‘These three have been made that the spirits of the dead might be separated. And this division has been made for the spirits of the righteous, in which there is the bright spring of water.",Charles restored text: for; Charles emended text: bright; this,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 22:10,2,38059,38065,294,"; τρεῖς αὐτῶν σκοτεινοὶ καὶ εἷς φωτεινός, καὶ πηγὴ ὕδατος ἀνὰ μέσον / ὑτοῦ. καὶ εἶπον"" ὃ Πῶς} λεῖα τὰ κοιλώματα ' ταῦτα καὶ ὁλοβαθῆ",1 Enoch 22:10,And such has been made for sinners when they die and are buried in the earth and judgement has not been executed on them in their lifetime. And this has been made for sinners when they die and are buried in the earth and judgement has not been executed upon them in their lifetime.,Charles emended text: And; this,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 23,3,38264,38267,800,"XXIII. Κἀκεῖθεν ἐφώδευσα εἰς ἄλλον τόπον πρὸς δυσμὰς 15 τ / ἀναπαυόμενον οὐδὲ ἐνλεῖπον τοῦ δρόμου, ἡμέρας καὶ νυκτὸς ἡἅμαγ | / διαμένον. 3. καὶ ἠρώτησα λέγων Τί ἐστὶν τὸ μὴ ἔχον ἀνάπαυσ P",1 Enoch 23:1-23:4,"From thence I went to another place to the west of the ends of the earth. And I saw a burning fire which ran without resting, and paused not from its course day or night but (ran) regularly. And I asked saying: ‘What is this which rests not?’",Ethiopic has text absent from G^g/G^s: burning; Charles supplied text: ran,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
