ref,book_code,book_name,chapter,verse,greek_text,transliteration,literal_gloss,syntax_notes,draft_translation
Genesis 1:11,GEN,Genesis,1,11,"καὶ εἶπεν ὁ Θεός· βλαστησάτω ἡ γῆ βοτάνην χόρτου σπεῖρον σπέρμα κατὰ γένος καὶ καθ᾿ ὁμοιότητα, καὶ ξύλον κάρπιμον ποιοῦν καρπόν, οὗ τὸ σπέρμα αὐτοῦ ἐν αὐτῷ κατὰ γένος ἐπὶ τῆς γῆς. καὶ ἐγένετο οὕτως.","kai eipen ho Theos, blastesato he ge botanen chortou speiron sperma kata genos kai kath homoioteta, kai xylon karpimon poioun karpon, hou to sperma autou en auto kata genos epi tes ges. kai egeneto houtos.","And God said, let the earth sprout grass-herb sowing seed according to kind and according to likeness, and fruit-bearing tree making fruit, whose seed of it is in it according to kind upon the earth, and it came to be so.",The command stacks plant terms densely. κατὰ γένος and καθ᾿ ὁμοιότητα reinforce ordered reproduction and resemblance.,"And God said, 'Let the earth sprout seed-bearing grass and herb according to kind and likeness, and fruit-bearing trees making fruit with their seed in them according to kind upon the earth.' And it came to be so."
Genesis 1:12,GEN,Genesis,1,12,"καὶ ἐξήνεγκεν ἡ γῆ βοτάνην χόρτου σπεῖρον σπέρμα κατὰ γένος καὶ καθ᾿ ὁμοιότητα, καὶ ξύλον κάρπιμον ποιοῦν καρπόν, οὗ τὸ σπέρμα αὐτοῦ ἐν αὐτῷ κατὰ γένος ἐπὶ τῆς γῆς. καὶ εἶδεν ὁ Θεός, ὅτι καλόν.","kai exenegken he ge botanen chortou speiron sperma kata genos kai kath homoioteta, kai xylon karpimon poioun karpon, hou to sperma autou en auto kata genos epi tes ges. kai eiden ho Theos, hoti kalon.","And the earth brought forth grass-herb sowing seed according to kind and according to likeness, and fruit-bearing tree making fruit, whose seed of it is in it according to kind upon the earth, and God saw that it was good.","The fulfillment closely echoes the command, highlighting ordered correspondence between word and result.","And the earth brought forth seed-bearing grass and herb according to kind and likeness, and fruit-bearing trees making fruit with their seed in them according to kind upon the earth. And God saw that it was good."
Genesis 1:13,GEN,Genesis,1,13,"καὶ ἐγένετο ἑσπέρα καὶ ἐγένετο πρωΐ, ἡμέρα τρίτη.","kai egeneto hespera kai egeneto proi, hemera trite.","And evening came and morning came, third day.",Refrain closes the day-unit with the same evening-morning sequence.,"And evening came, and morning came: third day."
Genesis 1:14,GEN,Genesis,1,14,"Καὶ εἶπεν ὁ Θεός· γενηθήτωσαν φωστῆρες ἐν τῷ στερεώματι τοῦ οὐρανοῦ εἰς φαῦσιν ἐπὶ τῆς γῆς, τοῦ διαχωρίζειν ἀνὰ μέσον τῆς ἡμέρας καὶ ἀνὰ μέσον τῆς νυκτός· καὶ ἔστωσαν εἰς σημεῖα καὶ εἰς καιροὺς καὶ εἰς ἡμέρας καὶ εἰς ἐνιαυτούς·","Kai eipen ho Theos, genethethosan phosteres en to stereomati tou ouranou eis phausin epi tes ges, tou diachorizin ana meson tes hemeras kai ana meson tes nyktos; kai estosan eis semeia kai eis kairous kai eis hemeras kai eis eniautous;","And God said, let light-bearers come to be in the firm span of heaven for shining upon the earth, for dividing between the day and between the night, and let them be for signs and for seasons and for days and for years.",The infinitive τοῦ διαχωρίζειν states function. φωστῆρες are bearers or sources of light rather than light itself.,"And God said, 'Let light-bearers come to be in the firm span of Heaven for shining on the earth, to divide day from night. And let them be for signs and for seasons and for days and for years.'"
Genesis 1:15,GEN,Genesis,1,15,"καὶ ἔστωσαν εἰς φαῦσιν ἐν τῷ στερεώματι τοῦ οὐρανοῦ, ὥστε φαίνειν ἐπὶ τῆς γῆς. καὶ ἐγένετο οὕτως.","kai estosan eis phausin en to stereomati tou ouranou, hoste phainein epi tes ges. kai egeneto houtos.","And let them be for shining in the firm span of heaven, so as to shine upon the earth, and it came to be so.",The ὥστε clause restates purpose with result-oriented force.,And let them be for shining in the firm span of Heaven so as to shine on the earth. And it came to be so.
Genesis 1:16,GEN,Genesis,1,16,"καὶ ἐποίησεν ὁ Θεὸς τοὺς δύο φωστῆρας τοὺς μεγάλους, τὸν φωστῆρα τὸν μέγαν εἰς ἀρχὰς τῆς ἡμέρας καὶ τὸν φωστῆρα τὸν ἐλάσσω εἰς ἀρχὰς τῆς νυκτός, καὶ τοὺς ἀστέρας.","kai epoiesen ho Theos tous dyo phosteras tous megalous, ton phostera ton megan eis archas tes hemeras kai ton phostera ton elasso eis archas tes nyktos, kai tous asteras.","And God made the two great light-bearers, the great light-bearer for the dominions of the day and the lesser light-bearer for the dominions of the night, and the stars.",The repeated nouning is formal and emphatic. εἰς ἀρχὰς likely points to ruling functions or governing domains.,"And God made the two great light-bearers, the greater light-bearer for the dominion of the day and the lesser light-bearer for the dominion of the night, and the stars."
Genesis 1:17,GEN,Genesis,1,17,"καὶ ἔθετο αὐτοὺς ὁ Θεὸς ἐν τῷ στερεώματι τοῦ οὐρανοῦ, ὥστε φαίνειν ἐπὶ τῆς γῆς","kai etheto autous ho Theos en to stereomati tou ouranou, hoste phainein epi tes ges","And God placed them in the firm span of heaven, so as to shine upon the earth.",Placement matches the previously stated purpose.,And God placed them in the firm span of Heaven so as to shine on the earth.
Genesis 1:18,GEN,Genesis,1,18,"καὶ ἄρχειν τῆς ἡμέρας καὶ τῆς νυκτὸς καὶ διαχωρίζειν ἀνὰ μέσον τοῦ φωτὸς καὶ ἀνὰ μέσον τοῦ σκότους. καὶ εἶδεν ὁ Θεός, ὅτι καλόν.","kai archein tes hemeras kai tes nyktos kai diachorizin ana meson tou photos kai ana meson tou skotous. kai eiden ho Theos, hoti kalon.","And to rule the day and the night and to divide between the light and between the darkness, and God saw that it was good.",Infinitives continue the functional purpose of the heavenly lights.,And they were to rule day and night and to divide light from darkness. And God saw that it was good.
Genesis 1:19,GEN,Genesis,1,19,"καὶ ἐγένετο ἑσπέρα καὶ ἐγένετο πρωΐ, ἡμέρα τετάρτη.","kai egeneto hespera kai egeneto proi, hemera tetarte.","And evening came and morning came, fourth day.",Day refrain continues without variation here beyond the ordinal.,"And evening came, and morning came: fourth day."
Genesis 1:20,GEN,Genesis,1,20,Καὶ εἶπεν ὁ Θεός· ἐξαγαγέτω τὰ ὕδατα ἑρπετὰ ψυχῶν ζωσῶν καὶ πετεινὰ πετόμενα ἐπὶ τῆς γῆς κατὰ τὸ στερέωμα τοῦ οὐρανοῦ. καὶ ἐγένετο οὕτως.,"Kai eipen ho Theos, exagageto ta hydata herpeta psychon zōsōn kai peteina petomena epi tes ges kata to stereoma tou ouranou. kai egeneto houtos.","And God said, let the waters bring forth crawling things of living souls and winged creatures flying over the earth across the firm span of heaven, and it came to be so.",ἑρπετά can denote crawling or swarming creatures broadly. The line links waters and sky in a paired filling of created spaces.,"And God said, 'Let the waters bring forth swarming living creatures and winged birds flying over the earth across the firm span of Heaven.' And it came to be so."
Genesis 1:21,GEN,Genesis,1,21,"καὶ ἐποίησεν ὁ Θεὸς τὰ κήτη τὰ μεγάλα καὶ πᾶσαν ψυχὴν ζῴων ἑρπετῶν, ἃ ἐξήγαγε τὰ ὕδατα κατὰ γένη αὐτῶν, καὶ πᾶν πετεινὸν πτερωτὸν κατὰ γένος. καὶ εἶδεν ὁ Θεός, ὅτι καλά.","kai epoiesen ho Theos ta kete ta megala kai pasan psychen zoon herpeton, ha exegage ta hydata kata gene auton, kai pan peteinon pteroton kata genos. kai eiden ho Theos, hoti kala.","And God made the great sea-creatures and every living soul of creeping animals, which the waters brought forth according to their kinds, and every winged bird according to kind, and God saw that they were good.","The verse expands the command with named groups. καλά is plural here, agreeing with the created things.","And God made the great sea-creatures and every living creature among the swarming things that the waters brought forth according to their kinds, and every winged bird according to kind. And God saw that they were good."
Genesis 1:22,GEN,Genesis,1,22,"καὶ εὐλόγησεν αὐτὰ ὁ Θεός, λέγων· αὐξάνεσθε καὶ πληθύνεσθε καὶ πληρώσατε τὰ ὕδατα ἐν ταῖς θαλάσσαις, καὶ τὰ πετεινὰ πληθυνέσθωσαν ἐπὶ τῆς γῆς.","kai eulogesen auta ho Theos, legōn; auxanesthe kai plethynesthe kai plerosate ta hydata en tais thalassais, kai ta peteina plethynesthosan epi tes ges.","And God blessed them, saying, increase and multiply and fill the waters in the seas, and let the birds be multiplied upon the earth.",Blessing speech introduces fecundity language that will recur later with humanity.,"And God blessed them, saying, 'Increase and multiply and fill the waters in the seas, and let the birds multiply on the earth.'"
Genesis 1:23,GEN,Genesis,1,23,"καὶ ἐγένετο ἑσπέρα καὶ ἐγένετο πρωΐ, ἡμέρα πέμπτη.","kai egeneto hespera kai egeneto proi, hemera pempte.","And evening came and morning came, fifth day.",Refrain closes the fifth day.,"And evening came, and morning came: fifth day."
Genesis 1:24,GEN,Genesis,1,24,"Καὶ εἶπεν ὁ Θεός· ἐξαγαγέτω ἡ γῆ ψυχὴν ζῶσαν κατὰ γένος, τετράποδα καὶ ἑρπετὰ καὶ θηρία τῆς γῆς κατὰ γένος. καὶ ἐγένετο οὕτως.","Kai eipen ho Theos, exagageto he ge psychen zosan kata genos, tetrapoda kai herpeta kai theria tes ges kata genos. kai egeneto houtos.","And God said, let the earth bring forth living soul according to kind, four-footed animals and creeping things and wild beasts of the earth according to kind, and it came to be so.",The command moves to land animals in three grouped classes.,"And God said, 'Let the earth bring forth living creatures according to kind: four-footed animals and creeping things and wild beasts of the earth according to kind.' And it came to be so."
Genesis 1:25,GEN,Genesis,1,25,"καὶ ἐποίησεν ὁ Θεὸς τὰ θηρία τῆς γῆς κατὰ γένος, καὶ τὰ κτήνη κατὰ γένος αὐτῶν καὶ πάντα τὰ ἑρπετὰ τῆς γῆς κατὰ γένος αὐτῶν. καὶ εἶδεν ὁ Θεός, ὅτι καλά.","kai epoiesen ho Theos ta theria tes ges kata genos, kai ta ktene kata genos auton kai panta ta herpeta tes ges kata genos auton. kai eiden ho Theos, hoti kala.","And God made the wild beasts of the earth according to kind, and the cattle according to their kind, and all the creeping things of the earth according to their kind, and God saw that they were good.",Fulfillment restates the land-animal triad with explicit categories.,"And God made the wild beasts of the earth according to kind, and the livestock according to their kind, and every creeping thing of the earth according to its kind. And God saw that they were good."
Genesis 1:26,GEN,Genesis,1,26,"καὶ εἶπεν ὁ Θεός· ποιήσωμεν ἄνθρωπον κατ᾿ εἰκόνα ἡμετέραν καὶ καθ᾿ ὁμοίωσιν, καὶ ἀρχέτωσαν τῶν ἰχθύων τῆς θαλάσσης καὶ τῶν πετεινῶν τοῦ οὐρανοῦ καὶ τῶν κτηνῶν καὶ πάσης τῆς γῆς καὶ πάντων τῶν ἑρπετῶν τῶν ἑρπόντων ἐπὶ τῆς γῆς.","kai eipen ho Theos, poiēsōmen anthropon kat eikona hemeteran kai kath homoiōsin, kai archetōsan tōn ichthyōn tes thalasses kai tōn peteinōn tou ouranou kai tōn ktēnōn kai pases tes ges kai pantōn tōn herpetōn tōn herpontōn epi tes ges.","And God said, let us make human according to our image and according to likeness, and let them rule the fish of the sea and the birds of heaven and the livestock and all the earth and all the creeping things creeping upon the earth.",The verse shifts from singular ἄνθρωπον to plural rule language. εἰκών and ὁμοίωσις form a paired description rather than obvious synonyms.,"And God said, 'Let us make humankind according to our image and according to likeness, and let them rule the fish of the sea and the birds of Heaven and the livestock and all the earth and every creeping thing that creeps on the earth.'"
Genesis 1:27,GEN,Genesis,1,27,"καὶ ἐποίησεν ὁ Θεὸς τὸν ἄνθρωπον, κατ᾿ εἰκόνα Θεοῦ ἐποίησεν αὐτόν, ἄρσεν καὶ θῆλυ ἐποίησεν αὐτούς.","kai epoiesen ho Theos ton anthropon, kat eikona Theou epoiesen auton, arsen kai thely epoiesen autous.","And God made the human, according to image of God he made him, male and female he made them.",Singular and plural forms alternate within the verse. The line is tightly patterned and poetic.,And God made humankind; according to God's image he made humankind. Male and female he made them.
Genesis 1:28,GEN,Genesis,1,28,"καὶ εὐλόγησεν αὐτοὺς ὁ Θεός, λέγων· αὐξάνεσθε καὶ πληθύνεσθε καὶ πληρώσατε τὴν γῆν καὶ κατακυριεύσατε αὐτῆς καὶ ἄρχετε τῶν ἰχθύων τῆς θαλάσσης καὶ τῶν πετεινῶν τοῦ οὐρανοῦ καὶ πάντων τῶν κτηνῶν καὶ πάσης τῆς γῆς καὶ πάντων τῶν ἑρπετῶν τῶν ἑρπόντων ἐπὶ τῆς γῆς.","kai eulogesen autous ho Theos, legōn; auxanesthe kai plethynesthe kai plerosate ten gen kai katakyrieusate autes kai archete tōn ichthyōn tes thalasses kai tōn peteinōn tou ouranou kai pantōn tōn ktēnōn kai pases tes ges kai pantōn tōn herpetōn tōn herpontōn epi tes ges.","And God blessed them, saying, increase and multiply and fill the earth and subdue it and rule the fish of the sea and the birds of heaven and all the livestock and all the earth and all the creeping things creeping upon the earth.",Blessing joins fecundity with dominion verbs. κατακυριεύσατε is stronger than simple rule.,"And God blessed them, saying, 'Increase and multiply and fill the earth and subdue it, and rule the fish of the sea and the birds of Heaven and all the livestock and all the earth and every creeping thing that creeps on the earth.'"
Genesis 1:29,GEN,Genesis,1,29,"καὶ εἶπεν ὁ Θεός· ἰδοὺ δέδωκα ὑμῖν πάντα χόρτον σπόριμον σπεῖρον σπέρμα, ὅ ἐστιν ἐπάνω πάσης τῆς γῆς, καὶ πᾶν ξύλον, ὃ ἔχει ἐν ἑαυτῷ καρπὸν σπέρματος σπορίμου, ὑμῖν ἔσται εἰς βρῶσιν·","kai eipen ho Theos, idou dedōka hymin panta chorton sporimon speiron sperma, ho estin epanō pases tes ges, kai pan xylon, ho echei en heautō karpon spermatos sporimou, hymin estai eis brōsin;","And God said, behold, I have given you every seed-bearing plant sowing seed, which is upon all the earth, and every tree that has in itself fruit of sowable seed, to you it shall be for food.",δέδωκα presents the gift as granted. The line defines food sources by reproductive capacity.,"And God said, 'Look, I have given you every seed-bearing plant that sows seed on all the earth, and every tree that has in itself fruit with seed for sowing. It will be food for you.'"
Genesis 1:30,GEN,Genesis,1,30,"καὶ πᾶσι τοῖς θηρίοις τῆς γῆς καὶ πᾶσι τοῖς πετεινοῖς τοῦ οὐρανοῦ καὶ παντὶ ἑρπετῷ ἕρποντι ἐπὶ τῆς γῆς, ὃ ἔχει ἐν ἑαυτῷ ψυχὴν ζωῆς, καὶ πάντα χόρτον χλωρὸν εἰς βρῶσιν. καὶ ἐγένετο οὕτως.","kai pasi tois theriois tes ges kai pasi tois peteinois tou ouranou kai panti herpetō herponti epi tes ges, ho echei en heautō psychen zōes, kai panta chorton chlōron eis brōsin. kai egeneto houtos.","And to all the wild beasts of the earth and to all the birds of heaven and to every creeping thing creeping upon the earth, which has in itself soul of life, and every green plant for food, and it came to be so.",The gift extends to animal life marked by ψυχὴ ζωῆς. The closing formula seals the command's fulfillment.,"And to every wild beast of the earth and every bird of Heaven and every creeping thing that creeps on the earth, everything that has in itself living breath, I have given every green plant for food. And it came to be so."
Genesis 1:31,GEN,Genesis,1,31,"καὶ εἶδεν ὁ Θεὸς τὰ πάντα, ὅσα ἐποίησε, καὶ ἰδοὺ καλά λίαν. καὶ ἐγένετο ἑσπέρα καὶ ἐγένετο πρωΐ, ἡμέρα ἕκτη.","kai eiden ho Theos ta panta, hosa epoiese, kai idou kala lian. kai egeneto hespera kai egeneto proi, hemera hekte.","And God saw all things, as many as he made, and behold, very good, and evening came and morning came, sixth day.",The scope expands to all created things. λίαν intensifies the evaluation.,"And God saw all that he had made, and look, it was very good. And evening came, and morning came: sixth day."
Genesis 2:1,GEN,Genesis,2,1,ΚΑΙ συνετελέσθησαν ὁ οὐρανὸς καὶ ἡ γῆ καὶ πᾶς ὁ κόσμος αὐτῶν.,kai synetelesthesan ho ouranos kai he ge kai pas ho kosmos auton.,And heaven and earth and all their world-order were completed.,Passive completion closes the creation sequence. κόσμος here denotes ordered arrangement or array.,"And Heaven and Earth were completed, and all their ordered array."
Genesis 2:2,GEN,Genesis,2,2,"καὶ συνετέλεσεν ὁ Θεὸς ἐν τῇ ἡμέρᾳ τῇ ἕκτῃ τὰ ἔργα αὐτοῦ, ἃ ἐποίησε, καὶ κατέπαυσε τῇ ἡμέρᾳ τῇ ἑβδόμῃ ἀπὸ πάντων τῶν ἔργων αὐτοῦ, ὧν ἐποίησε.","kai synetelesen ho Theos en te hemera te hektē ta erga autou, ha epoiese, kai katepause te hemera te hebdomē apo pantōn tōn ergōn autou, hōn epoiese.","And God completed on the sixth day his works, which he made, and he rested on the seventh day from all his works, which he made.","The Greek here reads sixth day, not seventh day, for completion. κατέπαυσε gives cessation or rest from labor.","And God completed his works, the works he had made, on the sixth day, and he rested on the seventh day from all his works that he had made."
Genesis 2:3,GEN,Genesis,2,3,"καὶ εὐλόγησεν ὁ Θεὸς τὴν ἡμέραν τὴν ἑβδόμην καὶ ἡγίασεν αὐτήν· ὅτι ἐν αὐτῇ κατέπαυσεν ἀπὸ πάντων τῶν ἔργων αὐτοῦ, ὧν ἤρξατο ὁ Θεὸς ποιῆσαι.","kai eulogesen ho Theos ten hemeran ten hebdomēn kai hegiasen autēn; hoti en aute katepausen apo pantōn tōn ergōn autou, hōn ērxato ho Theos poiēsai.","And God blessed the seventh day and made it holy, because in it he rested from all his works, which God began to make.",The final clause is unusual and may point back to the whole creative undertaking as a begun work now brought to rest.,"And God blessed the seventh day and made it holy, because on it he rested from all his works, the works God had begun to make."
Genesis 2:4,GEN,Genesis,2,4,"Αὕτη ἡ βίβλος γενέσεως οὐρανοῦ καὶ γῆς, ὅτε ἐγένετο· ᾗ ἡμέρᾳ ἐποίησε Κύριος ὁ Θεὸς τὸν οὐρανὸν καὶ τὴν γῆν","Haute he biblos geneseōs ouranou kai gēs, hote egeneto; hē hēmera epoiese Kyrios ho Theos ton ouranon kai tēn gēn","This the book of genesis of heaven and earth, when it came to be; in the day Lord God made heaven and earth.","The heading formula marks a new section. βίβλος γενέσεως may signal account, record, or origin-narrative.","This is the book of the origin of Heaven and Earth, when they came to be, on the day the Lord God made Heaven and Earth."
Genesis 2:5,GEN,Genesis,2,5,"καὶ πᾶν χλωρὸν ἀγροῦ πρὸ τοῦ γενέσθαι ἐπὶ τῆς γῆς καὶ πάντα χόρτον ἀγροῦ πρὸ τοῦ ἀνατεῖλαι· οὐ γὰρ ἔβρεξεν ὁ Θεὸς ἐπὶ τὴν γῆν, καὶ ἄνθρωπος οὐκ ἦν ἐργάζεσθαι αὐτήν·","kai pan chlōron agrou pro tou genesthai epi tes ges kai panta chorton agrou pro tou anateilai; ou gar ebrexen ho Theos epi tēn gēn, kai anthrōpos ouk ēn ergazesthai autēn;","And every green thing of field before it came to be upon the earth and every grass of field before it sprang up; for God had not rained upon the earth, and human was not to work it.",The verse layers pre-conditions before cultivated growth. The infinitive ἐργάζεσθαι states intended labor on the ground.,"And every green thing of the field was there before it came to be on the earth, and every grass of the field before it sprang up; for God had not rained on the earth, and there was no human to work it."
Genesis 2:6,GEN,Genesis,2,6,πηγὴ δὲ ἀνέβαινεν ἐκ τῆς γῆς καὶ ἐπότιζε πᾶν τὸ πρόσωπον τῆς γῆς.,pēgē de anebainen ek tēs gēs kai epotize pan to prosōpon tēs gēs.,But a spring was rising from the earth and watering all the face of the earth.,δὲ marks scene continuation. πρόσωπον τῆς γῆς is a surface-expression: face or whole surface of the ground.,But a spring was rising from the earth and watering the whole face of the ground.
Genesis 2:7,GEN,Genesis,2,7,"καὶ ἔπλασεν ὁ Θεὸς τὸν ἄνθρωπον, χοῦν ἀπὸ τῆς γῆς, καὶ ἐνεφύσησεν εἰς τὸ πρόσωπον αὐτοῦ πνοὴν ζωῆς, καὶ ἐγένετο ὁ ἄνθρωπος εἰς ψυχὴν ζῶσαν.","kai eplasen ho Theos ton anthrōpon, choun apo tēs gēs, kai enephysēsen eis to prosōpon autou pnoēn zōēs, kai egeneto ho anthrōpos eis psychēn zōsan.","And God formed the human, dust from the earth, and breathed into his face breath of life, and the human became into a living being.",πλάσσω gives shaping imagery. πνοὴ ζωῆς and ψυχὴ ζῶσα tightly link breath and animate life.,"And God formed the human from dust of the earth and breathed into his face the breath of life, and the human became a living being."
Genesis 2:8,GEN,Genesis,2,8,"Καὶ ἐφύτευσεν ὁ Θεὸς παράδεισον ἐν ᾿Εδὲμ κατὰ ἀνατολὰς καὶ ἔθετο ἐκεῖ τὸν ἄνθρωπον, ὃν ἔπλασε.","Kai ephyteusen ho Theos paradeison en Edem kata anatolas kai etheto ekei ton anthrōpon, hon eplase.","And God planted a garden in Eden toward the east and placed there the human, whom he formed.",παράδεισος is a planted park or garden-space. κατὰ ἀνατολάς marks eastward orientation.,"And God planted a garden in Eden toward the east, and he placed there the human whom he formed."
