language,lemma,transliteration,meaning,english_renderings,first_reference,footnote
“Hebrew”,“אֲדָמָה”,“adamah”,“ground; soil; land”,“ground; earth; land”,“Genesis 2:5”,“Often thematically linked to אדם, humanity from the ground.”
“Hebrew”,“אֶרֶץ”,“erets”,“earth; land”,“earth; land; country”,“Genesis 1:1”,“May denote the whole earth or a specific territory depending on context.”
“Hebrew”,“שָׁמַיִם”,“shamayim”,“heavens; sky”,“heaven; heavens; sky”,“Genesis 1:1”,“A plural form commonly used for the sky and heavenly realm.”
“Hebrew”,“יָם”,“yam”,“sea”,“sea”,“Genesis 1:10”,“Also used for large bodies of water such as the Mediterranean.”
“Hebrew”,“מַיִם”,“mayim”,“water”,“water; waters”,“Genesis 1:2”,“Plural form often functioning as a mass noun.”
“Hebrew”,“אוֹר”,“or”,“light”,“light”,“Genesis 1:3”,“A major theological image for life, revelation, and salvation.”
“Hebrew”,“חֹשֶׁךְ”,“choshekh”,“darkness”,“darkness”,“Genesis 1:2”,“Frequently paired with light in literal and metaphorical contrast.”
“Hebrew”,“יוֹם”,“yom”,“day”,“day”,“Genesis 1:5”,“Can mean daylight, a full day, or an era depending on context.”
“Hebrew”,“לַיְלָה”,“laylah”,“night”,“night”,“Genesis 1:5”,“The regular counterpart to day in the creation account and beyond.”
“Hebrew”,“שֶׁמֶשׁ”,“shemesh”,“sun”,“sun”,“Genesis 15:12”,“Often associated with timekeeping and occasionally polemic against idolatry.”
“Hebrew”,“יָרֵחַ”,“yareach”,“moon”,“moon”,“Genesis 37:9”,“Important for calendars, feasts, and poetic imagery.”
“Hebrew”,“כּוֹכָב”,“kokhav”,“star”,“star”,“Genesis 1:16”,“Used literally and symbolically for multitude or rulers.”
“Hebrew”,“עֵץ”,“ets”,“tree; wood”,“tree; wood”,“Genesis 1:11”,“Context can emphasize living tree or timber/wood.”
“Hebrew”,“פְּרִי”,“peri”,“fruit”,“fruit”,“Genesis 1:11”,“Used for produce, offspring, and metaphorical results.”
“Hebrew”,“זֶרַע”,“zera”,“seed; offspring”,“seed; offspring”,“Genesis 1:11”,“A key covenant term for descendants and promise.”
“Hebrew”,“חַי”,“chai”,“living; alive”,“living; alive”,“Genesis 1:20”,“Appears in many forms for life and living beings.”
“Hebrew”,“נֶפֶשׁ”,“nephesh”,“soul; life; self”,“soul; life; creature”,“Genesis 1:20”,“Often denotes the living person or creature rather than an abstract soul.”
“Hebrew”,“בָּשָׂר”,“basar”,“flesh”,“flesh; body”,“Genesis 2:21”,“Used for literal flesh, kinship, and human frailty.”
“Hebrew”,“דָּם”,“dam”,“blood”,“blood”,“Genesis 4:10”,“Associated with life, violence, atonement, and covenant.”
“Hebrew”,“לֵב”,“lev”,“heart; inner mind”,“heart”,“Genesis 6:5”,“The center of thought, will, and emotion in Hebrew anthropology.”
“Hebrew”,“נַפְשִׁי”,“nafshi”,“my soul; my life”,“my soul; my life”,“Genesis 27:4”,“Represents נפש in a common suffixed form in devotional contexts.”
“Hebrew”,“נֶפֶשׁ חַיָּה”,“nephesh chayyah”,“living creature”,“living creature; living soul”,“Genesis 1:20”,“Compound phrase used for animals and humanity as living beings.”
“Hebrew”,“פָּנִים”,“panim”,“face; presence”,“face; presence”,“Genesis 1:2”,“Plural form often used for personal presence or surface.”
“Hebrew”,“שֵׁם”,“shem”,“name”,“name”,“Genesis 2:19”,“Signifies identity, reputation, and authority.”
“Hebrew”,“כָּבוֹד”,“kavod”,“glory; honor; weight”,“glory; honor”,“Genesis 31:1”,“Literally conveys heaviness; theologically used of divine glory.”
“Hebrew”,“קָדוֹשׁ”,“qadosh”,“holy”,“holy”,“Exodus 19:6”,“Conveys separateness and consecration to God.”
“Hebrew”,“קֹדֶשׁ”,“qodesh”,“holiness; holy thing; sanctuary”,“holiness; holy place; sanctuary”,“Exodus 3:5”,“Related noun denoting holiness or holy sphere.”
“Hebrew”,“חָכְמָה”,“chokhmah”,“wisdom”,“wisdom”,“Exodus 28:3”,“Skillful, practical, and godly wisdom, not merely abstract knowledge.”
“Hebrew”,“דַּעַת”,“daat”,“knowledge”,“knowledge”,“Genesis 2:9”,“Often relational and moral rather than merely informational.”
“Hebrew”,“בִּינָה”,“binah”,“understanding; discernment”,“understanding”,“Deuteronomy 4:6”,“Closely associated with wisdom and interpretation.”
“Hebrew”,“יָרֵא”,“yare”,“to fear; revere”,“fear; reverence”,“Genesis 3:10”,“When directed toward God often means reverent awe.”
“Hebrew”,“יִרְאָה”,“yirah”,“fear; reverence”,“fear; reverence”,“Genesis 20:11”,“Often expresses the fear of the LORD as covenantal devotion.”
“Hebrew”,“אָהַב”,“ahav”,“to love”,“love”,“Genesis 22:2”,“A central verb for divine and human love.”
“Hebrew”,“אַהֲבָה”,“ahavah”,“love”,“love”,“2 Samuel 1:26”,“Noun form for affection, covenantal love, or desire.”
“Hebrew”,“שָׂנֵא”,“sane”,“to hate”,“hate”,“Genesis 24:60”,“Can indicate enmity, rejection, or lesser preference in context.”
“Hebrew”,“רַחֲמִים”,“rachamim”,“compassion; mercies”,“mercies; compassion”,“Genesis 43:14”,“Plural form from womb imagery, stressing tender compassion.”
“Hebrew”,“חָנַן”,“chanan”,“to be gracious; show favor”,“be gracious; show favor”,“Genesis 33:5”,“Used of divine grace and human favor.”
“Hebrew”,“חֵן”,“chen”,“favor; grace”,“grace; favor”,“Genesis 6:8”,“Frequently denotes favor granted by God or humans.”
“Hebrew”,“סָלַח”,“salach”,“to forgive”,“forgive; pardon”,“Exodus 34:9”,“Commonly used with God as subject of forgiveness.”
“Hebrew”,“כָּפַר”,“kaphar”,“to cover; make atonement”,“make atonement; purge”,“Genesis 6:14”,“Cultic term underlying atonement language.”
“Hebrew”,“פֶּשַׁע”,“pesha”,“transgression; rebellion”,“transgression; trespass”,“Genesis 31:36”,“Carries the idea of revolt against rightful authority.”
“Hebrew”,“חַטָּאת”,“chatta’t”,“sin; sin offering”,“sin; sin offering”,“Genesis 4:7”,“Can refer to moral failure or the offering for it.”
“Hebrew”,“עָוֹן”,“avon”,“iniquity; guilt”,“iniquity; guilt”,“Genesis 4:13”,“Often includes both the act and its culpability.”
“Hebrew”,“רָשָׁע”,“rasha”,“wicked; guilty”,“wicked; ungodly”,“Exodus 2:13”,“Describes moral guilt and opposition to righteousness.”
“Hebrew”,“צַדִּיק”,“tsaddiq”,“righteous”,“righteous; just”,“Genesis 6:9”,“Describes one who conforms to God’s standard.”
“Hebrew”,“תָּמִים”,“tamim”,“blameless; whole; without blemish”,“perfect; blameless; without blemish”,“Genesis 6:9”,“Used ethically of persons and physically of acceptable sacrifices.”
“Hebrew”,“אֱמוּנָה”,“emunah”,“faithfulness; steadiness”,“faithfulness; truth”,“Exodus 17:12”,“Often denotes fidelity and reliability rather than mere belief.”
“Hebrew”,“אָמַן”,“aman”,“to confirm; support; believe”,“believe; trust; establish”,“Genesis 15:6”,“Verb behind ‘amen’ and terms for faith/faithfulness.”
“Hebrew”,“אָמֵן”,“amen”,“truly; so be it”,“Amen”,“Numbers 5:22”,“Response of affirmation, agreement, and certainty.”
“Hebrew”,“יָשַׁע”,“yasha”,“to save; deliver”,“save; deliver”,“Exodus 14:30”,“Root behind names and nouns for salvation.”
“Hebrew”,“יְשׁוּעָה”,“yeshuah”,“salvation; deliverance”,“salvation; deliverance”,“Genesis 49:18”,“Key noun for divine rescue and victory.”
“Hebrew”,“גָּאַל”,“ga’al”,“to redeem; reclaim as kinsman”,“redeem”,“Genesis 48:16”,“Kinsman-redeemer language with legal and salvific force.”
“Hebrew”,“גֹּאֵל”,“go’el”,“redeemer; avenger; kinsman-redeemer”,“redeemer”,“Job 19:25”,“Noun for one who acts to recover, avenge, or restore kin.”
“Hebrew”,“פָּדָה”,“padah”,“to ransom; redeem”,“redeem; ransom”,“Exodus 13:13”,“Often used of liberation by payment or substitution.”
“Hebrew”,“כֹּפֶר”,“kofer”,“ransom; covering price”,“ransom; satisfaction”,“Exodus 21:30”,“Related to atonement and compensation contexts.”
“Hebrew”,“זָכַר”,“zakhar”,“to remember”,“remember”,“Genesis 8:1”,“When God remembers, it often signals covenant action.”
“Hebrew”,“שָׁכַח”,“shakach”,“to forget”,“forget”,“Genesis 40:23”,“Used literally and covenantally for neglect or unfaithfulness.”
“Hebrew”,“שָׁמַר”,“shamar”,“to keep; guard; observe”,“keep; observe; guard”,“Genesis 2:15”,“Important for covenant obedience and priestly guarding.”
“Hebrew”,“נָצַר”,“natsar”,“to keep; preserve”,“keep; preserve”,“Genesis 2:15”,“Often overlaps with guarding, preserving, or keeping watch.”
“Hebrew”,“שָׁמַע”,“shama”,“to hear; obey”,“hear; listen; obey”,“Genesis 3:8”,“In covenant contexts hearing implies responsive obedience.”
“Hebrew”,“קוֹל”,“qol”,“voice; sound”,“voice; sound”,“Genesis 3:8”,“Used for speech, thunder, crying, and proclamation.”
“Hebrew”,“דָּבָר”,“davar”,“word; matter; thing”,“word; thing; matter”,“Genesis 11:1”,“A flexible term for speech, event, or affair.”
“Hebrew”,“אָמַר”,“amar”,“to say”,“say”,“Genesis 1:3”,“The most common verb of speech in biblical Hebrew.”
“Hebrew”,“דִּבֶּר”,“dibber”,“to speak”,“speak”,“Genesis 8:15”,“Often more formal or deliberate than אמר.”
“Hebrew”,“צָוָה”,“tsavah”,“to command”,“command”,“Genesis 2:16”,“A key verb for divine instruction and covenant obligation.”
“Hebrew”,“מִצְוָה”,“mitsvah”,“commandment”,“commandment”,“Genesis 26:5”,“Refers to specific commanded obligations.”
“Hebrew”,“חֹק”,“choq”,“statute; fixed decree”,“statute; ordinance”,“Genesis 47:22”,“Often denotes a fixed prescribed regulation.”
“Hebrew”,“חֻקָּה”,“chuqqah”,“statute; ordinance”,“statute; ordinance”,“Exodus 12:14”,“Common feminine form for prescribed regulation.”
“Hebrew”,“עֵדוּת”,“edut”,“testimony; witness”,“testimony; witness”,“Exodus 16:34”,“Often linked with covenant stipulations and the ark.”
“Hebrew”,“עֵד”,“ed”,“witness”,“witness”,“Genesis 21:30”,“Legal and covenantal term for one who bears testimony.”
“Hebrew”,“שְׁבוּעָה”,“shevuah”,“oath”,“oath”,“Genesis 24:8”,“Derived from the verb to swear.”
“Hebrew”,“שָׁבַע”,“shava”,“to swear”,“swear”,“Genesis 21:23”,“Related by wordplay to the number seven in some contexts.”
“Hebrew”,“אָלָה”,“alah”,“curse; oath-curse”,“curse; oath”,“Genesis 24:41”,“Often used in covenant sanction language.”
“Hebrew”,“בָּרַךְ”,“barakh”,“to bless”,“bless”,“Genesis 1:22”,“A central verb in creation, covenant, and worship.”
“Hebrew”,“בְּרָכָה”,“berakhah”,“blessing”,“blessing”,“Genesis 12:2”,“Can denote bestowed favor or the spoken blessing itself.”
“Hebrew”,“אָרַר”,“arar”,“to curse”,“curse”,“Genesis 3:14”,“Common verb for bringing covenantal or judicial curse.”
“Hebrew”,“קְלָלָה”,“qelalah”,“curse”,“curse”,“Genesis 27:12”,“Noun form for spoken or enacted curse.”
“Hebrew”,“טוֹב”,“tov”,“good”,“good”,“Genesis 1:4”,“Broad term for moral, functional, and aesthetic goodness.”
“Hebrew”,“רַע”,“ra”,“evil; bad”,“evil; bad”,“Genesis 2:9”,“Can denote moral evil or disaster/harm depending on context.”
“Hebrew”,“חַיִּים”,“chayyim”,“life”,“life”,“Genesis 2:9”,“Plural form commonly used for life as a state or gift.”
“Hebrew”,“מָוֶת”,“mavet”,“death”,“death”,“Genesis 2:17”,“A central theological term in covenant sanction and mortality.”
“Hebrew”,“דֶּרֶךְ”,“derekh”,“way; path”,“way; path; journey”,“Genesis 3:24”,“Literal and metaphorical term for conduct and pilgrimage.”
“Hebrew”,“אֹרַח”,“orach”,“path; way”,“path”,“Genesis 18:11”,“Often poetic synonym for דרך.”
“Hebrew”,“מַעֲשֶׂה”,“ma’aseh”,“deed; work”,“work; deed”,“Genesis 5:29”,“Used for human labor and divine acts.”
“Hebrew”,“עָשָׂה”,“asah”,“to do; make”,“do; make”,“Genesis 1:7”,“One of the most common verbs, used widely for God’s actions and human deeds.”
“Hebrew”,“בָּרָא”,“bara”,“to create”,“create”,“Genesis 1:1”,“In the Hebrew Bible God is the usual subject of this verb.”
“Hebrew”,“יָצַר”,“yatsar”,“to form; fashion”,“form; fashion”,“Genesis 2:7”,“Used of potter imagery and God’s shaping work.”
“Hebrew”,“בָּנָה”,“banah”,“to build”,“build”,“Genesis 2:22”,“Used for building structures, dynasties, and households.”
“Hebrew”,“נָטַע”,“nata”,“to plant”,“plant”,“Genesis 2:8”,“Used literally for planting and figuratively for establishment.”
“Hebrew”,“זָרַע”,“zara”,“to sow”,“sow”,“Genesis 26:12”,“Basic agricultural verb, also linked with offspring imagery.”
“Hebrew”,“קָצַר”,“qatsar”,“to reap”,“reap”,“Leviticus 19:9”,“Harvest language often appears in law, narrative, and prophecy.”
“Hebrew”,“לֶחֶם”,“lechem”,“bread; food”,“bread; food”,“Genesis 3:19”,“Basic term for bread and sometimes food generally.”
“Hebrew”,“אָכַל”,“akhal”,“to eat”,“eat”,“Genesis 2:16”,“Common verb in creation, law, fellowship, and judgment.”
“Hebrew”,“שָׁתָה”,“shatah”,“to drink”,“drink”,“Genesis 9:21”,“Used literally and metaphorically of imbibing wrath or wisdom.”
“Hebrew”,“צָמֵא”,“tsame”,“to thirst”,“thirst”,“Genesis 21:15”,“Expresses physical thirst and spiritual longing.”
“Hebrew”,“רָעֵב”,“ra’ev”,“to hunger”,“hunger”,“Genesis 41:55”,“Used of famine and individual need.”
“Hebrew”,“צֹאן”,“tson”,“flock; small livestock”,“flock; sheep”,“Genesis 4:2”,“Often includes sheep and goats collectively.”
“Hebrew”,“בָּקָר”,“baqar”,“cattle; herd”,“cattle; oxen; herd”,“Genesis 12:16”,“Can denote herd animals broadly or cattle specifically.”
“Hebrew”,“שֶׂה”,“seh”,“small livestock animal”,“lamb; kid”,“Genesis 22:7”,“Generic term often clarified by context as sheep or goat.”
“Hebrew”,“כֶּבֶשׂ”,“keves”,“lamb”,“lamb”,“Genesis 30:32”,“Important sacrificial animal term.”
“Hebrew”,“אַיִל”,“ayil”,“ram”,“ram”,“Genesis 15:9”,“Common in sacrifice and symbolic strength imagery.”
“Hebrew”,“פַּר”,“par”,“bull”,“bullock; bull”,“Genesis 18:7”,“Frequent in sacrificial legislation.”
“Hebrew”,“עֵז”,“ez”,“goat”,“goat”,“Genesis 15:9”,“Often appears in sacrificial and pastoral contexts.”
“Hebrew”,“יוֹנָה”,“yonah”,“dove”,“dove; pigeon”,“Genesis 8:8”,“Common in narrative symbolism and sacrificial law.”
“Hebrew”,“עוֹף”,“of”,“bird; flying creature”,“fowl; bird”,“Genesis 1:20”,“General term for flying creatures.”
“Hebrew”,“דָּג”,“dag”,“fish”,“fish”,“Genesis 1:26”,“Basic aquatic creature term.”
“Hebrew”,“נָחָשׁ”,“nachash”,“serpent”,“serpent”,“Genesis 3:1”,“Important in Eden narrative and symbolic uses.”
“Hebrew”,“אֵשׁ”,“esh”,“fire”,“fire”,“Genesis 15:17”,“Used for literal fire, divine presence, judgment, and sacrifice.”
“Hebrew”,“עָנָן”,“anan”,“cloud”,“cloud”,“Exodus 13:21”,“Associated with divine presence and guidance.”
“Hebrew”,“כִּסֵּא”,“kisse”,“throne; seat”,“throne; seat”,“Genesis 41:40”,“A royal and divine sovereignty term.”
“Hebrew”,“מֶלֶךְ”,“melekh”,“king”,“king”,“Genesis 14:1”,“Central political and messianic term.”
“Hebrew”,“מַמְלָכָה”,“mamlakhah”,“kingdom; reign”,“kingdom”,“Genesis 10:10”,“Denotes the realm or rule of a king.”
“Hebrew”,“מֶמְשָׁלָה”,“memshalah”,“dominion; rule”,“dominion; rule”,“Genesis 1:16”,“Used for governmental authority and dominion.”
“Hebrew”,“שַׂר”,“sar”,“prince; ruler; official”,“prince; captain”,“Genesis 12:15”,“Administrative and military title.”
“Hebrew”,“נָשִׂיא”,“nasi”,“leader; prince”,“prince; ruler”,“Genesis 17:20”,“Used for tribal leaders and prominent chiefs.”
“Hebrew”,“שֹׁפֵט”,“shofet”,“judge”,“judge”,“Genesis 18:25”,“Both judicial official and, in context, God as judge.”
“Hebrew”,“שָׁפַט”,“shafat”,“to judge; govern”,“judge”,“Genesis 16:5”,“Can refer to ruling, vindicating, or condemning.”
“Hebrew”,“כֹּהֵן”,“kohen”,“priest”,“priest”,“Genesis 14:18”,“A central cultic office term.”
“Hebrew”,“לֵוִי”,“Levi”,“Levi; Levite”,“Levi; Levite”,“Genesis 29:34”,“Tribal name later associated with priestly service.”
“Hebrew”,“מִזְבֵּחַ”,“mizbeach”,“altar”,“altar”,“Genesis 8:20”,“Place of sacrifice and memorial worship.”
“Hebrew”,“זֶבַח”,“zevach”,“sacrifice; slaughter offering”,“sacrifice”,“Genesis 31:54”,“Often a fellowship-type slaughter offering.”
“Hebrew”,“עֹלָה”,“olah”,“burnt offering”,“burnt offering”,“Genesis 8:20”,“Offering wholly consumed on the altar.”
“Hebrew”,“מִנְחָה”,“minchah”,“gift; grain offering; tribute”,“offering; meat offering; present”,“Genesis 4:3”,“May refer to tribute gift or cultic offering.”
“Hebrew”,“שֶׁלֶם”,“shelem”,“peace offering”,“peace offering”,“Exodus 20:24”,“Related to wholeness and fellowship.”
“Hebrew”,“קָטַר”,“qatar”,“to burn incense; make smoke”,“burn incense; burn”,“Exodus 30:7”,“Cultic burning term especially for incense.”
“Hebrew”,“קְטֹרֶת”,“qetoret”,“incense”,“incense”,“Exodus 25:6”,“Aromatic offering term tied to sanctuary worship.”
“Hebrew”,“פָּסַח”,“pasach”,“to pass over; spare”,“pass over”,“Exodus 12:13”,“Source of Passover terminology.”
“Hebrew”,“פֶּסַח”,“pesach”,“Passover”,“Passover”,“Exodus 12:11”,“Festival memorializing deliverance from Egypt.”
“Hebrew”,“שַׁבָּת”,“shabbat”,“sabbath; cessation”,“sabbath; rest”,“Exodus 16:23”,“Weekly sacred rest, also emblematic of covenant identity.”
“Hebrew”,“שָׁבַת”,“shavat”,“to cease; rest”,“rest; cease”,“Genesis 2:2”,“Verb behind Sabbath observance.”
“Hebrew”,“מוֹעֵד”,“mo’ed”,“appointed time; meeting”,“feast; appointed time; congregation”,“Genesis 1:14”,“Used for festivals and tent of meeting.”
“Hebrew”,“חֹדֶשׁ”,“chodesh”,“new moon; month”,“month; new moon”,“Genesis 7:11”,“The calendrical term tied to lunar cycles.”
“Hebrew”,“שָׁנָה”,“shanah”,“year”,“year”,“Genesis 5:3”,“Basic time term, also used verbally for repetition in another stem.”
“Hebrew”,“עוֹלָם”,“olam”,“long duration; eternity”,“ever; everlasting; world”,“Genesis 3:22”,“Carries the sense of indefinite duration, ancient or future.”
“Hebrew”,“דּוֹר”,“dor”,“generation”,“generation”,“Genesis 6:9”,“Important for genealogies, history, and covenant continuity.”
“Hebrew”,“זָקֵן”,“zaqen”,“old; elder”,“old; elder”,“Genesis 18:11”,“Can denote age or community leadership.”
“Hebrew”,“יַלֶד”,“yeled”,“child; boy”,“child; lad”,“Genesis 21:8”,“General term for a child or youth.”
“Hebrew”,“נַעַר”,“na’ar”,“youth; servant”,“lad; young man; servant”,“Genesis 14:24”,“Flexible term ranging from child to servant or attendant.”
“Hebrew”,“בָּחוּר”,“bachur”,“young man; chosen one”,“young man; choice one”,“Judges 14:10”,“Often denotes a vigorous young male.”
“Hebrew”,“בְּכוֹר”,“bekhor”,“firstborn”,“firstborn”,“Genesis 4:4”,“A major inheritance and theological term.”
“Hebrew”,“יָרַשׁ”,“yarash”,“to inherit; dispossess”,“inherit; possess”,“Genesis 15:3”,“Used for receiving land and driving out occupants.”
“Hebrew”,“נַחֲלָה”,“nachalah”,“inheritance; allotted possession”,“inheritance”,“Exodus 15:17”,“Key term for tribal land and covenant inheritance.”
“Hebrew”,“גּוֹי”,“goy”,“nation”,“nation; heathen”,“Genesis 10:5”,“May refer neutrally to nations or pejoratively to Gentiles in context.”
“Hebrew”,“עַם”,“am”,“people”,“people”,“Genesis 11:6”,“Often the covenant people, but also other peoples.”
“Hebrew”,“מִשְׁפָּחָה”,“mishpachah”,“family; clan”,“family; kindred”,“Genesis 10:5”,“A kinship and tribal-organization term.”
“Hebrew”,“שֵׁבֶט”,“shevet”,“tribe; staff; scepter”,“tribe; rod; sceptre”,“Genesis 49:10”,“Can refer to tribal unit or symbol of rule.”
“Hebrew”,“מַטֶּה”,“matteh”,“staff; tribe”,“rod; tribe”,“Genesis 38:18”,“Overlaps with tribe terminology and authority symbolism.”
“Hebrew”,“עִיר”,“ir”,“city”,“city”,“Genesis 4:17”,“Basic urban term with major narrative and prophetic importance.”
“Hebrew”,“בַּיִת”,“bayit”,“house; household”,“house; household”,“Genesis 7:1”,“Can mean physical house, family line, or temple.”
“Hebrew”,“הֵיכָל”,“heikhal”,“palace; temple”,“temple; palace”,“1 Samuel 1:9”,“Often later used for the temple structure.”
“Hebrew”,“מִשְׁכָּן”,“mishkan”,“dwelling; tabernacle”,“tabernacle; dwelling”,“Exodus 25:9”,“Term for the sanctuary as God’s dwelling among Israel.”
“Hebrew”,“אֹהֶל”,“ohel”,“tent”,“tent; tabernacle”,“Genesis 4:20”,“Common dwelling term; also used for sacred tent.”
“Hebrew”,“שַׁעַר”,“sha’ar”,“gate”,“gate”,“Genesis 19:1”,“Important for city life, judgment, and public authority.”
“Hebrew”,“חוֹמָה”,“chomah”,“wall”,“wall”,“Numbers 22:25”,“Protective city wall term, also metaphorical.”
“Hebrew”,“יְרוּשָׁלַםִם”,“Yerushalayim”,“Jerusalem”,“Jerusalem”,“Joshua 10:1”,“Central city of Davidic kingship and temple worship.”
“Hebrew”,“צִיּוֹן”,“Tsiyyon”,“Zion”,“Zion”,“2 Samuel 5:7”,“Poetic and theological designation for Jerusalem and God’s dwelling.”
“Hebrew”,“מִצְרַיִם”,“Mitsrayim”,“Egypt”,“Egypt”,“Genesis 12:10”,“Major place of bondage, refuge, and redemption.”
“Hebrew”,“כְּנַעַן”,“Kena’an”,“Canaan”,“Canaan”,“Genesis 9:18”,“Land and people central to patriarchal promise.”
“Hebrew”,“יִשְׂרָאֵל”,“Yisra’el”,“Israel”,“Israel”,“Genesis 32:28”,“Name of Jacob and of the covenant nation.”
“Hebrew”,“יְהוּדָה”,“Yehudah”,“Judah”,“Judah”,“Genesis 29:35”,“Tribal name central to kingship and messianic expectation.”
“Hebrew”,“דָּוִד”,“David”,“David”,“David”,“Ruth 4:17”,“The paradigmatic king in later biblical theology.”
“Hebrew”,“מָשִׁיחַ”,“mashiach”,“anointed one”,“anointed; Messiah”,“Leviticus 4:3”,“Used of priests, kings, and in later expectation of the Messiah.”
“Hebrew”,“נָבִיא”,“navi”,“prophet”,“prophet”,“Genesis 20:7”,“One called to speak God’s message.”
“Hebrew”,“חָזוֹן”,“chazon”,“vision”,“vision”,“1 Samuel 3:1”,“Important prophetic revelation term.”
“Hebrew”,“מַרְאָה”,“mar’ah”,“appearance; vision”,“vision; appearance”,“Genesis 2:9”,“Can denote visible appearance or visionary sight.”
“Hebrew”,“חָלַם”,“chalam”,“to dream”,“dream”,“Genesis 20:3”,“Used for revelatory and ordinary dreams.”
“Hebrew”,“חֲלוֹם”,“chalom”,“dream”,“dream”,“Genesis 20:3”,“Noun form for dreams, often revelatory in Genesis.”
“Hebrew”,“פָּתַר”,“patar”,“to interpret”,“interpret”,“Genesis 40:8”,“Especially associated with dream interpretation.”
“Hebrew”,“גָּלָה”,“galah”,“to uncover; go into exile”,“reveal; uncover; carry away”,“Genesis 9:21”,“In later texts often central to exile language.”
“Hebrew”,“סוֹד”,“sod”,“council; secret counsel”,“secret; counsel”,“Genesis 49:6”,“Can refer to confidential counsel or divine council.”
“Hebrew”,“מַלְאָךְ”,“mal’akh”,“messenger; angel”,“angel; messenger”,“Genesis 16:7”,“Used for human messengers and heavenly beings.”
“Hebrew”,“צָבָא”,“tsava”,“army; host”,“host; army”,“Genesis 2:1”,“Used of heavenly hosts and earthly armies.”
“Hebrew”,“כְּרוּב”,“keruv”,“cherub”,“cherub”,“Genesis 3:24”,“Heavenly throne-associated being.”
“Hebrew”,“שָׂטָן”,“satan”,“adversary; accuser”,“adversary; Satan”,“Numbers 22:22”,“Can be a common noun or later a personal title.”
“Hebrew”,“עָבַד”,“avad”,“to serve; work”,“serve; work”,“Genesis 2:5”,“Used for labor, service, and worship.”
“Hebrew”,“עֲבֹדָה”,“avodah”,“service; work; worship”,“service; work”,“Genesis 29:27”,“Can denote labor or cultic service.”
“Hebrew”,“הִשְׁתַּחֲוָה”,“hishtachavah”,“to bow down; worship”,“worship; bow down”,“Genesis 18:2”,“A physical act of prostration often expressing worship.”
“Hebrew”,“הָלַל”,“halal”,“to praise”,“praise”,“Genesis 12:15”,“Root behind hallelujah in later usage.”
“Hebrew”,“תְּהִלָּה”,“tehillah”,“praise”,“praise”,“Exodus 15:11”,“Noun often used in psalmic worship.”
“Hebrew”,“יָדָה”,“yadah”,“to praise; give thanks; confess”,“praise; thank; confess”,“Genesis 29:35”,“Depending on stem, can denote thanksgiving or confession.”
