“language”,“lemma”,“transliteration”,“meaning”,“english_renderings”,“first_reference”,“footnote”
“Greek”,“οὐρανός”,“ouranos”,“heaven; sky”,“heaven; heavens”,“Genesis 1:1”,“The plural heavens often underlies English singular heaven.”
“Greek”,“γῆ”,“gē”,“earth; land”,“earth; land”,“Genesis 1:1”,“Can mean the whole earth or a particular land.”
“Greek”,“ἄνθρωπος”,“anthrōpos”,“human being; person”,“man; person”,“Genesis 1:26”,“Often refers to humanity generally rather than specifically to a male.”
“Greek”,“υἱός”,“huios”,“son”,“son”,“Genesis 4:17”,“Used literally and in theological or covenantal senses.”
“Greek”,“πατήρ”,“patēr”,“father”,“father”,“Genesis 2:24”,“Used both of human fathers and of God.”
“Greek”,“μήτηρ”,“mētēr”,“mother”,“mother”,“Genesis 2:24”,“A common kinship term, literal in most occurrences.”
“Greek”,“καρδία”,“kardia”,“heart”,“heart”,“Genesis 6:5”,“In biblical usage the heart is the center of thought, desire, and will.”
“Greek”,“ψυχή”,“psychē”,“soul; life; self”,“soul; life”,“Genesis 1:20”,“Can mean life, living being, or the inner self.”
“Greek”,“σῶμα”,“sōma”,“body”,“body”,“Genesis 47:18”,“The usual term for the body.”
“Greek”,“αἷμα”,“haima”,“blood”,“blood”,“Genesis 4:10”,“Important for life, sacrifice, covenant, and guilt.”
“Greek”,“ὕδωρ”,“hydōr”,“water”,“water”,“Genesis 1:2”,“A common creation term that also carries symbolic force in Scripture.”
“Greek”,“ἄρτος”,“artos”,“bread; loaf”,“bread”,“Genesis 3:19”,“Usually bread specifically, though sometimes food more generally.”
“Greek”,“οἶκος”,“oikos”,“house; household”,“house; household”,“Genesis 7:1”,“Can denote a building, household, or family line.”
“Greek”,“ὄνομα”,“onoma”,“name”,“name”,“Genesis 2:11”,“Names often carry significance of identity, character, or calling.”
“Greek”,“ἔργον”,“ergon”,“work; deed”,“work; deed”,“Genesis 2:2”,“A broad term for work, act, or deed.”
“Greek”,“ἔτος”,“etos”,“year”,“year”,“Genesis 5:3”,“A basic chronological term.”
“Greek”,“ἡμέρα”,“hēmera”,“day”,“day”,“Genesis 1:5”,“Can refer to a day, daylight, or a defined time period.”
“Greek”,“νύξ”,“nyx”,“night”,“night”,“Genesis 1:5”,“Used literally and sometimes figuratively for darkness.”
“Greek”,“ὥρα”,“hōra”,“hour; time”,“hour; time”,“Daniel 3:6”,“Can denote an hour or a set time.”
“Greek”,“καιρός”,“kairos”,“appointed time; season”,“time; season”,“Genesis 18:14”,“Often signifies a fitting, appointed, or decisive time.”
“Greek”,“χρόνος”,“chronos”,“time; duration”,“time”,“Genesis 4:3”,“Usually denotes the passage or duration of time.”
“Greek”,“δύναμις”,“dynamis”,“power; might; force”,“power; might”,“Genesis 31:29”,“Can mean strength, capability, or miraculous power.”
“Greek”,“δόξα”,“doxa”,“glory; honor”,“glory”,“Genesis 31:1”,“The term can denote splendor, honor, or reputation.”
“Greek”,“τιμή”,“timē”,“honor; value; price”,“honor; price”,“Leviticus 27:2”,“Can denote honor or assessed value.”
“Greek”,“εἰρήνη”,“eirēnē”,“peace”,“peace”,“Genesis 15:15”,“A key biblical term for peace, wholeness, and well-being.”
“Greek”,“ἐλπίς”,“elpis”,“hope; expectation”,“hope”,“Psalm 38:7”,“Biblical hope is expectation grounded in God rather than mere wish.”
“Greek”,“ἔλεος”,“eleos”,“mercy; compassion”,“mercy”,“Genesis 19:19”,“Frequently used of divine mercy and covenant compassion.”
“Greek”,“σοφία”,“sophia”,“wisdom”,“wisdom”,“Exodus 28:3”,“A major biblical term for wisdom, skill, and God-given understanding.”
“Greek”,“ἀδελφός”,“adelphos”,“brother”,“brother”,“Genesis 4:2”,“Literal sibling language often extends to fellow members of a people or community.”
“Greek”,“γυνή”,“gynē”,“woman; wife”,“woman; wife”,“Genesis 2:22”,“Context determines whether woman or wife is intended.”
“Greek”,“ἀνήρ”,“anēr”,“man; husband”,“man; husband”,“Genesis 2:23”,“Often specifically an adult male, sometimes a husband.”
“Greek”,“τέκνον”,“teknon”,“child”,“child”,“Genesis 3:16”,“A general term for child, often emphasizing relationship.”
“Greek”,“βρέφος”,“brephos”,“infant; babe”,“babe; infant”,“Exodus 2:6”,“Used for very young children and infants.”
“Greek”,“νεανίας”,“neanias”,“young man”,“young man”,“Genesis 22:3”,“Denotes a younger male.”
“Greek”,“πρεσβύτερος”,“presbyteros”,“elder; older man”,“elder”,“Genesis 10:21”,“Can refer to age or recognized senior status.”
“Greek”,“δοῦλος”,“doulos”,“slave; servant”,“servant; bondman”,“Genesis 9:25”,“Often stronger than English servant, denoting servitude or bondage.”
“Greek”,“κύων”,“kyōn”,“dog”,“dog”,“Exodus 11:7”,“Usually literal, though sometimes figurative and contemptuous.”
“Greek”,“πρόβατον”,“probaton”,“sheep”,“sheep”,“Genesis 4:2”,“A common pastoral term used literally and figuratively.”
“Greek”,“ποιμήν”,“poimēn”,“shepherd”,“shepherd”,“Genesis 4:2”,“Used of literal shepherds and figuratively of leaders.”
“Greek”,“ἀγρός”,“agros”,“field”,“field”,“Genesis 2:5”,“A standard agricultural and parabolic term.”
“Greek”,“σπέρμα”,“sperma”,“seed; offspring”,“seed; offspring”,“Genesis 1:11”,“Can mean seed for sowing or descendants.”
“Greek”,“καρπός”,“karpos”,“fruit; produce; result”,“fruit”,“Genesis 1:11”,“Used literally of produce and figuratively of outcomes.”
“Greek”,“δένδρον”,“dendron”,“tree”,“tree”,“Genesis 1:11”,“A common natural term with symbolic uses.”
“Greek”,“ῥίζα”,“rhiza”,“root”,“root”,“Job 8:17”,“Literal root and figurative source are both possible.”
“Greek”,“κλάδος”,“klados”,“branch”,“branch”,“Ezekiel 17:6”,“Used of a branch or shoot.”
“Greek”,“φύλλον”,“phyllon”,“leaf”,“leaf”,“Genesis 3:7”,“A standard botanical term.”
“Greek”,“ἄνθος”,“anthos”,“flower; blossom”,“flower”,“Genesis 40:10”,“A natural image often associated with transience.”
“Greek”,“χόρτος”,“chortos”,“grass; herbage”,“grass”,“Genesis 1:11”,“Used of grass, fodder, or green growth.”
“Greek”,“ἰχθύς”,“ichthys”,“fish”,“fish”,“Genesis 1:26”,“The ordinary Greek term for fish.”
“Greek”,“πτηνόν”,“ptēnon”,“bird; winged creature”,“fowl; bird”,“Genesis 1:26”,“A general term for winged creatures.”
“Greek”,“πετεινόν”,“peteinon”,“bird”,“fowl; bird”,“Genesis 1:20”,“A common Greek Bible term for birds or flying creatures.”
“Greek”,“λίθος”,“lithos”,“stone”,“stone”,“Genesis 2:12”,“The ordinary term for stone, often with building or memorial associations.”
“Greek”,“ὄρος”,“oros”,“mountain; hill”,“mountain”,“Genesis 8:4”,“A common geographical term with symbolic importance.”
“Greek”,“πέτρα”,“petra”,“rock”,“rock”,“Exodus 17:6”,“Usually denotes bedrock or a rocky mass.”
“Greek”,“θάλασσα”,“thalassa”,“sea”,“sea”,“Genesis 1:10”,“A major creation and exodus term.”
“Greek”,“ποταμός”,“potamos”,“river; stream”,“river”,“Genesis 2:10”,“The standard term for river or stream.”
“Greek”,“πηγή”,“pēgē”,“spring; fountain”,“spring; fountain”,“Genesis 7:11”,“A source of water; often figurative for source or origin.”
“Greek”,“πῦρ”,“pyr”,“fire”,“fire”,“Genesis 19:24”,“Used literally and often symbolically for judgment or purification.”
“Greek”,“ἄνεμος”,“anemos”,“wind”,“wind”,“Genesis 3:8”,“A natural term that also appears in vivid imagery.”
“Greek”,“βροχή”,“brochē”,“rain”,“rain”,“Genesis 7:12”,“Used of rainfall and divine provision or judgment.”
“Greek”,“νεφέλη”,“nephelē”,“cloud”,“cloud”,“Exodus 13:21”,“Frequently associated with divine presence.”
“Greek”,“ἀστήρ”,“astēr”,“star”,“star”,“Genesis 1:16”,“A celestial term with narrative and symbolic significance.”
“Greek”,“ἥλιος”,“hēlios”,“sun”,“sun”,“Genesis 1:16”,“A creation term that also appears in poetic and apocalyptic contexts.”
“Greek”,“σελήνη”,“selēnē”,“moon”,“moon”,“Genesis 1:16”,“The standard Greek term for moon.”
“Greek”,“σκότος”,“skotos”,“darkness”,“darkness”,“Genesis 1:2”,“A major biblical image for darkness, ignorance, evil, and judgment.”
“Greek”,“σκιά”,“skia”,“shadow”,“shadow”,“Genesis 19:8”,“Used literally and figuratively for shelter or transience.”
“Greek”,“ὁδός”,“hodos”,“way; road; path”,“way; road”,“Genesis 3:24”,“Can be literal or metaphorical for conduct or course of life.”
“Greek”,“θύρα”,“thyra”,“door”,“door”,“Genesis 4:7”,“A literal door or figurative point of access.”
“Greek”,“οἰκία”,“oikia”,“house; household”,“house”,“Genesis 17:23”,“Closely related to οἶκος, often emphasizing the dwelling.”
“Greek”,“πόλις”,“polis”,“city”,“city”,“Genesis 4:17”,“The common Greek word for city.”
“Greek”,“κώμη”,“kōmē”,“village”,“village”,“1 Chronicles 27:25”,“A smaller settlement than a city.”
“Greek”,“ἱερόν”,“hieron”,“temple precinct”,“temple”,“1 Kings 6:3”,“Usually the temple complex or sacred precinct.”
“Greek”,“ναός”,“naos”,“sanctuary; shrine”,“temple”,“1 Kings 6:5”,“Often refers more specifically to the sanctuary.”
“Greek”,“θυσιαστήριον”,“thysiastērion”,“altar”,“altar”,“Genesis 8:20”,“The standard term for altar in sacrificial contexts.”
“Greek”,“δῶρον”,“dōron”,“gift; offering”,“gift; offering”,“Genesis 4:4”,“Can mean a present or a sacred offering.”
“Greek”,“θυμίαμα”,“thymiama”,“incense”,“incense”,“Exodus 25:6”,“A cultic term for incense.”
“Greek”,“ἱερεύς”,“hiereus”,“priest”,“priest”,“Genesis 14:18”,“The usual Greek term for priest.”
“Greek”,“θυσία”,“thysia”,“sacrifice”,“sacrifice”,“Genesis 31:54”,“A key sacrificial term, literal and theological.”
“Greek”,“νόμισμα”,“nomisma”,“coin; legal tender”,“money; coin”,“Matthew 22:19”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“ἀργύριον”,“argyrion”,“silver; money”,“silver; money”,“Genesis 13:2”,“Often refers to silver as wealth or payment.”
“Greek”,“χρυσός”,“chrysos”,“gold”,“gold”,“Genesis 2:11”,“A standard term for gold, literal and symbolic.”
“Greek”,“μαργαρίτης”,“margaritēs”,“pearl”,“pearl”,“Matthew 7:6”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“μισθός”,“misthos”,“wages; reward”,“reward; hire”,“Genesis 15:1”,“Can refer to wages, recompense, or reward.”
“Greek”,“βρῶσις”,“brōsis”,“eating; consumption; food”,“meat; rust; eating”,“Genesis 6:21”,“Can refer to food or to consumption, as context requires.”
“Greek”,“τροφή”,“trophē”,“food; nourishment”,“food; nourishment”,“Genesis 45:23”,“A general noun for nourishment.”
“Greek”,“ποτήριον”,“potērion”,“cup”,“cup”,“Genesis 40:11”,“Literal cup and figurative portion both occur.”
“Greek”,“ἔλαιον”,“elaion”,“olive oil”,“oil”,“Genesis 28:18”,“Usually olive oil in ordinary or sacred use.”
“Greek”,“ἅλας”,“halas”,“salt”,“salt”,“Genesis 14:3”,“A common substance with covenantal and symbolic associations.”
“Greek”,“ζύμη”,“zymē”,“leaven; yeast”,“leaven”,“Exodus 12:15”,“Frequently used literally and in moral or doctrinal metaphor.”
“Greek”,“μέλι”,“meli”,“honey”,“honey”,“Genesis 43:11”,“A standard term for honey.”
“Greek”,“συκῆ”,“sykē”,“fig tree”,“fig tree”,“Genesis 3:7”,“The fig tree is a recurring biblical image.”
“Greek”,“ἄμπελος”,“ampelos”,“vine”,“vine”,“Genesis 9:20”,“A common agricultural term with rich symbolic use.”
“Greek”,“οἶνος”,“oinos”,“wine”,“wine”,“Genesis 9:21”,“The ordinary term for wine.”
“Greek”,“ὄξος”,“oxos”,“vinegar; sour wine”,“vinegar”,“Psalm 68:22”,“A term for sour wine or vinegar.”
“Greek”,“σῖτος”,“sitos”,“grain; wheat”,“corn; wheat”,“Genesis 27:28”,“Often denotes grain in general or wheat specifically.”
“Greek”,“κρίνον”,“krinon”,“lily”,“lily”,“1 Kings 7:19”,“A floral term used in poetic and teaching contexts.”
“Greek”,“στάχυς”,“stachys”,“ear of grain”,“ear of grain”,“Genesis 41:5”,“An agricultural term for a grain head.”
“Greek”,“ἄχυρον”,“achyron”,“chaff”,“chaff”,“Job 13:25”,“Used in imagery of worthlessness or judgment.”
“Greek”,“δρέπανον”,“drepanon”,“sickle”,“sickle”,“Joel 3:13”,“A harvesting implement used literally and apocalyptically.”
“Greek”,“ἄροτρον”,“arotron”,“plow”,“plough”,“1 Samuel 13:20”,“The standard term for plow.”
“Greek”,“λαμπάς”,“lampas”,“torch; lamp”,“lamp; torch”,“Genesis 15:17”,“A light source, often in night scenes or theophany.”
“Greek”,“λύχνος”,“lychnos”,“lamp”,“lamp; candle”,“1 Kings 11:36”,“A small lamp, often used metaphorically of witness or guidance.”
“Greek”,“κλίνη”,“klinē”,“bed; couch”,“bed”,“Genesis 47:31”,“A bed or reclining couch.”
“Greek”,“μάχαιρα”,“machaira”,“sword; knife”,“sword”,“Genesis 22:6”,“A blade term used literally and figuratively.”
“Greek”,“ξύλον”,“xylon”,“wood; tree; timber”,“tree; wood”,“Genesis 1:11”,“Can mean wood, timber, tree, or wooden instrument.”
“Greek”,“ῥάβδος”,“rhabdos”,“rod; staff”,“rod; staff”,“Genesis 30:37”,“Used literally of staff or rod and figuratively of authority.”
“Greek”,“σάκκος”,“sakkos”,“sackcloth”,“sackcloth”,“Genesis 37:34”,“Associated with mourning, grief, and repentance.”
“Greek”,“ἱμάτιον”,“himation”,“garment; cloak”,“garment; raiment”,“Genesis 9:23”,“A common outer garment term.”
“Greek”,“στέφανος”,“stephanos”,“crown; wreath”,“crown”,“2 Samuel 12:30”,“Usually a wreath-like crown rather than a diadem.”
“Greek”,“δακτύλιος”,“daktylios”,“ring”,“ring”,“Genesis 41:42”,“A ring often marking authority or status.”
“Greek”,“σανδάλιον”,“sandalion”,“sandal”,“sandal; shoe”,“Mark 6:9”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“χείρ”,“cheir”,“hand”,“hand”,“Genesis 3:22”,“Used literally and metaphorically for power or agency.”
“Greek”,“πούς”,“pous”,“foot”,“foot”,“Genesis 3:15”,“Literal foot and figurative subjection both occur.”
“Greek”,“ὀφθαλμός”,“ophthalmos”,“eye”,“eye”,“Genesis 3:5”,“A major bodily term, literal and figurative.”
“Greek”,“οὖς”,“ous”,“ear”,“ear”,“Genesis 20:8”,“A term for hearing, obedience, and attention.”
“Greek”,“στόμα”,“stoma”,“mouth”,“mouth”,“Genesis 4:11”,“Literal mouth and figurative speech are both common.”
“Greek”,“γλῶσσα”,“glōssa”,“tongue; language”,“tongue; language”,“Genesis 10:5”,“Can mean the physical tongue or a language.”
“Greek”,“χείλος”,“cheilos”,“lip”,“lip”,“Genesis 11:1”,“Often used in speech and worship contexts.”
“Greek”,“πρόσωπον”,“prosōpon”,“face; presence”,“face; presence”,“Genesis 1:2”,“Can mean face, appearance, or presence.”
“Greek”,“κεφαλή”,“kephalē”,“head”,“head”,“Genesis 3:15”,“Literal head and figurative leadership both occur.”
“Greek”,“θρίξ”,“thrix”,“hair”,“hair”,“Leviticus 13:3”,“A bodily term often used in ceremonial inspection or vivid description.”
“Greek”,“ὀστοῦν”,“ostoun”,“bone”,“bone”,“Genesis 2:23”,“The ordinary term for bone.”
“Greek”,“κοιλία”,“koilia”,“belly; womb”,“belly; womb”,“Genesis 25:23”,“Context determines whether belly or womb is intended.”
“Greek”,“σάρξ”,“sarx”,“flesh”,“flesh”,“Genesis 2:21”,“A major biblical term for flesh, bodily existence, and in Paul often fallen humanity.”
“Greek”,“δάκτυλος”,“daktylos”,“finger”,“finger”,“Exodus 8:19”,“Used literally and in the phrase finger of God.”
“Greek”,“γόνυ”,“gony”,“knee”,“knee”,“Genesis 41:43”,“Associated with kneeling or subjection.”
“Greek”,“πτέρυξ”,“pteryx”,“wing; edge; extremity”,“wing”,“Ruth 3:9”,“Can denote a literal wing or a figurative covering edge.”
“Greek”,“σπλάγχνον”,“splanchnon”,“inward parts; affections”,“bowels; inward parts”,“Genesis 15:4”,“In biblical idiom the inward parts can represent deep feeling.”
“Greek”,“νοῦς”,“nous”,“mind; understanding”,“mind”,“Proverbs 2:10”,“A term for mind, perception, or understanding.”
“Greek”,“συνείδησις”,“syneidēsis”,“conscience”,“conscience”,“Ecclesiastes 10:20”,“A moral-awareness term important especially in Paul.”
“Greek”,“διάνοια”,“dianoia”,“mind; thought; understanding”,“mind; understanding”,“Genesis 6:5”,“Denotes thinking, understanding, or disposition.”
“Greek”,“θέλημα”,“thelēma”,“will; desire”,“will”,“Psalm 39:9”,“Can refer to desire, intention, or the will of God.”
“Greek”,“ἐπιθυμία”,“epithymia”,“desire; craving; lust”,“lust; desire”,“Genesis 3:6”,“Can be neutral in Greek usage, but often negative in biblical moral contexts.”
“Greek”,“ὀργή”,“orgē”,“wrath; anger”,“wrath”,“Genesis 27:44”,“Frequently used of settled anger and divine wrath.”
“Greek”,“χαρά”,“chara”,“joy”,“joy”,“Deuteronomy 28:47”,“A prominent biblical term for joy.”
“Greek”,“λύπη”,“lypē”,“sorrow; grief”,“sorrow”,“Genesis 3:16”,“A term for grief, pain, or sorrow.”
“Greek”,“φόβος”,“phobos”,“fear; terror; reverence”,“fear”,“Genesis 9:2”,“Can denote terror, fear, or reverent awe.”
“Greek”,“θλῖψις”,“thlipsis”,“affliction; tribulation”,“tribulation; affliction”,“Deuteronomy 4:30”,“A pressure word often used for distress and tribulation.”
“Greek”,“πειρασμός”,“peirasmos”,“trial; temptation”,“temptation”,“Deuteronomy 4:34”,“Can mean testing or temptation according to context.”
“Greek”,“θάνατος”,“thanatos”,“death”,“death”,“Genesis 2:17”,“Used literally and theologically throughout Scripture.”
“Greek”,“ἀνάστασις”,“anastasis”,“rising; resurrection”,“resurrection”,“Matthew 22:23”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“κρίσις”,“krisis”,“judgment; decision”,“judgment”,“Genesis 18:25”,“Can denote judicial process, decision, or judgment.”
“Greek”,“κατάκριμα”,“katakrima”,“condemnation”,“condemnation”,“Romans 5:16”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“μαρτυρία”,“martyria”,“testimony; witness”,“witness; testimony”,“Ruth 4:7”,“A legal and evidentiary term, later important in Johannine theology.”
“Greek”,“παραβολή”,“parabolē”,“parable; comparison”,“parable”,“Psalm 48:5”,“In the Greek Bible it can denote comparison, proverb, or parable.”
“Greek”,“προσευχή”,“proseuchē”,“prayer”,“prayer”,“2 Samuel 7:27”,“The standard noun for prayer.”
“Greek”,“νηστεία”,“nēsteia”,“fasting”,“fasting”,“Judges 20:26”,“A term for fasting in repentance, mourning, or devotion.”
“Greek”,“δέησις”,“deēsis”,“petition; supplication”,“supplication”,“1 Kings 8:28”,“Usually an earnest plea or petition.”
“Greek”,“εὐχή”,“euchē”,“vow; prayer”,“vow; prayer”,“Genesis 28:20”,“Can mean vow or prayer according to context.”
“Greek”,“εὐλογία”,“eulogia”,“blessing; praise”,“blessing”,“Genesis 27:12”,“A word of blessing or the blessing conferred.”
“Greek”,“κατάρα”,“katara”,“curse”,“curse”,“Genesis 27:12”,“The opposite of blessing in covenant and judgment language.”
“Greek”,“διαθήκη”,“diathēkē”,“covenant; testament”,“covenant; testament”,“Genesis 6:18”,“A major biblical covenant term.”
“Greek”,“ἐντολή”,“entolē”,“commandment”,“commandment”,“Genesis 26:5”,“Used for commandments or authoritative injunctions.”
“Greek”,“δικαίωμα”,“dikaiōma”,“ordinance; righteous requirement”,“ordinance”,“Exodus 15:25”,“Can refer to a statute, ordinance, or righteous requirement.”
“Greek”,“παράπτωμα”,“paraptōma”,“trespass; offense”,“trespass”,“Leviticus 6:2”,“A term for transgression or offense.”
“Greek”,“ἀνομία”,“anomia”,“lawlessness; iniquity”,“iniquity”,“Genesis 15:16”,“A strong term for violation of law and moral order.”
“Greek”,“παράκλησις”,“paraklēsis”,“comfort; exhortation”,“consolation; exhortation”,“Job 16:2”,“Can denote comfort, encouragement, or exhortation.”
“Greek”,“κοινωνία”,“koinōnia”,“sharing; fellowship; participation”,“fellowship; communion”,“Leviticus 6:2”,“A term of participation or shared relation.”
“Greek”,“οἰκονομία”,“oikonomia”,“stewardship; administration”,“stewardship”,“Isaiah 22:21”,“The basic sense is household management or administrative oversight.”
“Greek”,“μετάνοια”,“metanoia”,“repentance; change of mind”,“repentance”,“Matthew 3:8”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“ἄφεσις”,“aphesis”,“release; forgiveness”,“remission; forgiveness”,“Leviticus 25:10”,“The term can mean release from debt or bondage and forgiveness of sins.”
“Greek”,“ἀπολύτρωσις”,“apolytrōsis”,“redemption; release”,“redemption”,“Psalm 110:9”,“A strong deliverance term, especially in soteriological passages.”
“Greek”,“συμφωνία”,“symphōnia”,“agreement; harmony”,“agreement”,“Amos 3:3”,“Literally a sounding together, hence harmony or agreement.”
“Greek”,“ὑπομονή”,“hypomonē”,“endurance; perseverance”,“patience; endurance”,“Psalm 38:7”,“A major virtue term for steadfast endurance.”
“Greek”,“πραΰτης”,“prautēs”,“gentleness; meekness”,“meekness”,“Psalm 44:5”,“Not weakness, but controlled gentleness and humility.”
“Greek”,“ταπείνωσις”,“tapeinōsis”,“humiliation; low estate”,“low estate; humiliation”,“Genesis 16:11”,“Can denote humble condition, affliction, or abasement.”
“Greek”,“δόλος”,“dolos”,“deceit; guile”,“guile; deceit”,“Genesis 27:35”,“A term for deceit, trickery, or treachery.”
“Greek”,“ἀκαθαρσία”,“akatharsia”,“uncleanness; impurity”,“uncleanness”,“Leviticus 5:3”,“A ceremonial and moral impurity term.”
“Greek”,“πονηρία”,“ponēria”,“wickedness; evil”,“wickedness”,“Genesis 6:5”,“A substantive term for moral evil.”
“Greek”,“ἀρετή”,“aretē”,“virtue; excellence”,“virtue”,“Isaiah 42:12”,“A term for excellence or virtue.”
“Greek”,“κακία”,“kakia”,“badness; malice”,“malice; evil”,“Genesis 38:7”,“Often denotes moral badness or malice.”
“Greek”,“ἀπιστία”,“apistia”,“unbelief; faithlessness”,“unbelief”,“Deuteronomy 32:20”,“Can denote disbelief or lack of fidelity.”
“Greek”,“βλασφημία”,“blasphēmia”,“blasphemy; slander”,“blasphemy”,“Leviticus 24:11”,“Against God it is blasphemy; against people it can be slander.”
“Greek”,“μωρία”,“mōria”,“foolishness”,“foolishness”,“Proverbs 14:24”,“Used for folly or foolishness.”
“Greek”,“σκάνδαλον”,“skandalon”,“stumbling block; snare”,“offence; stumblingblock”,“Leviticus 19:14”,“A cause of stumbling, whether literal or moral.”
“Greek”,“ὑπόκρισις”,“hypokrisis”,“hypocrisy; pretense”,“hypocrisy”,“Matthew 23:28”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“πλεονεξία”,“pleonexia”,“greed; covetousness”,“covetousness”,“Exodus 18:21”,“Literally the desire to have more.”
“Greek”,“εἰδωλολατρία”,“eidōlolatria”,“idolatry”,“idolatry”,“1 Corinthians 10:14”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“πορνεία”,“porneia”,“sexual immorality”,“fornication”,“Genesis 38:24”,“A broad sexual-sin term shaped by biblical moral law.”
“Greek”,“μοιχεία”,“moicheia”,“adultery”,“adultery”,“Exodus 20:14”,“The standard term for violation of the marriage bond.”
“Greek”,“κλοπή”,“klopē”,“theft”,“theft”,“Exodus 22:3”,“The noun for stealing or theft.”
“Greek”,“φόνος”,“phonos”,“murder”,“murder”,“Genesis 4:8”,“A term for homicide or murder.”
“Greek”,“ψεῦδος”,“pseudos”,“lie; falsehood”,“lie”,“Genesis 27:12”,“A noun for falsehood and deceit.”
“Greek”,“ἀπάτη”,“apatē”,“deceit”,“deceit”,“Matthew 13:22”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“ζῆλος”,“zēlos”,“zeal; jealousy”,“zeal; envy”,“Numbers 25:11”,“Can be positive zeal or negative jealousy.”
“Greek”,“φθόνος”,“phthonos”,“envy”,“envy”,“Matthew 27:18”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“ἔρις”,“eris”,“strife; contention”,“strife”,“Genesis 13:7”,“Common in vice lists and conflict descriptions.”
“Greek”,“σχίσμα”,“schisma”,“division; split”,“division”,“1 Kings 11:30”,“A tear or division, literal or social.”
“Greek”,“μέριμνα”,“merimna”,“care; anxiety”,“care; anxiety”,“Psalm 54:23”,“Can denote proper care or anxious concern.”
“Greek”,“χάρισμα”,“charisma”,“gift of grace”,“gift”,“Romans 1:11”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“διακονία”,“diakonia”,“service; ministry”,“ministry; service”,“1 Chronicles 24:3”,“A flexible term for service, office, or ministry.”
“Greek”,“ἀποστολή”,“apostolē”,“sending; mission; apostleship”,“apostleship”,“Acts 1:25”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“μακροθυμία”,“makrothymia”,“longsuffering; patience”,“longsuffering”,“Proverbs 25:15”,“Literally long-tempered, especially toward persons.”
