"name","transliteration","meaning","first_reference","footnote"
"Heli","Eli","My God; high","1 Samuel 1:3","Priest at Shiloh who judged Israel and raised Samuel."
"Elkana","Elkanah","God has acquired; God has created","1 Samuel 1:1","Hannah's husband and father of Samuel."
"Samuel","Shmuel","Heard of God; God has heard","1 Samuel 1:20","God heard Hannah’s prayer; last judge and anointer of kings."
"Saul","Shaul","Asked for; prayed for","1 Samuel 9:2","The people asked for a king; first king of Israel."
"Jonathan","Yehonatan","Yahweh has given","1 Samuel 13:2","Saul's son and David's covenant friend."
"Abner","Avner","Father is a lamp","1 Samuel 14:50","Commander in Saul's house whose name carries light/father imagery."
"David","Dawid","Beloved","1 Samuel 16:13","The beloved king; a man after God’s own heart."
"Nabal","Nabal","Fool; senseless one","1 Samuel 25:3","His name matches the folly Abigail explicitly exposes."
"Joab","Yoav","Yahweh is father","2 Samuel 2:13","David's powerful commander, loyal and dangerous in equal measure."
"Absalom","Avshalom","Father of peace","2 Samuel 3:3","David's son whose peaceful name contrasts with rebellion and grief."
"Nathan","Natan","He gave; gift","2 Samuel 5:14","Prophet who confronted David and guarded the promise line."
"Ourias","Uriah","Yahweh is my light","2 Samuel 11:3","The Hittite whose faithful conduct exposed David's sin."
"Mephibosthe","Mephibosheth","From the mouth of shame; dispeller of shame","2 Samuel 4:4","Jonathan's son whom David restored to table fellowship."
"Solomon","Shelomoh","Peaceable; peaceful","2 Samuel 12:24","Brought peace and built the Temple."
"Sadok","Zadok","Righteous","2 Samuel 17:15","Priest whose line became central to temple priesthood."
"Abiathar","Evyatar","Father of abundance; father excels","1 Samuel 22:20","Priest who survived Nob and served David before being removed by Solomon."
"Rehoboam","Rechav'am","The people are enlarged","1 Kings 11:43","Solomon's son whose reign split the kingdom."
"Jeroboam","Yarov'am","The people increase; he contends for the people","1 Kings 11:26","First king of the northern kingdom after the split."
"Ahab","Achav","Father's brother; uncle","1 Kings 16:28","Northern king whose reign is remembered for Baal worship and Elijah's confrontation."
"Elijah","Eliyahu","My God is Yahweh","1 Kings 17:1","Confronted Baal worship with the truth that Yahweh alone is God."
"Elisha","Elisha","My God is salvation","1 Kings 19:16","Continued Elijah’s work; brought salvation and healing."
"Asa","Asa","Healer; physician","1 Kings 15:8","Judahite king remembered for reforms and imperfect late reliance."
"Hezekiah","Chizqiyahu","Yahweh strengthens","2 Kings 16:20","Judahite king strengthened by the LORD during Assyrian threat."
"Josiah","Yoshiyahu","Yahweh supports; Yahweh heals","2 Kings 21:24","Reforming king whose name fits the restoration of covenant worship."
"Jehoiakim","Yehoyaqim","Yahweh raises up","2 Chronicles 36:4","Judahite king raised by Egypt but judged for resisting Jeremiah's word."
"Zedekiah","Tzidqiyahu","Yahweh is righteousness","Jeremiah 1:3","Last king of Judah before Jerusalem fell to Babylon."
"Nebuchadnezzar","Nabu-kudurri-usur","Nabu, protect my boundary or heir","2 Kings 24:1","Babylonian king used as an instrument of judgment against Judah."
"Cyrus","Koresh","Persian royal name; meaning debated","2 Chronicles 36:22","Persian king named in restoration promises and used to return Judah from exile."
"Darius","Darayavahush","Holder of the good; one who holds firm","Ezra 4:5","Persian royal name borne by kings connected with temple-era events."
"Artaxerxes","Artakhshassa","Whose rule is truth","Esther 1:1","Persian royal name prominent in Esther and Ezra-Nehemiah settings."
"Mardochaios","Mordecai","Little man; possibly devoted to Marduk","Esther 2:5","Greek form used for Mordecai, Esther's cousin and guardian."
"Aman","Haman","Magnificent; famous","Esther 3:1","Enemy of the Jews whose apparent greatness collapsed under providential reversal."
"Isaiah","Yeshayahu","Yahweh saves","2 Kings 19:2","Prophesied the coming Savior."
"Jeremiah","Yirmeyahu","Yahweh exalts; Yahweh throws","2 Kings 23:31","Exalted God even while weeping over Jerusalem."
"Baruch","Barukh","Blessed","Jeremiah 39:12","Jeremiah's scribe whose name means blessed."
"Ezekiel","Yehezqel","God strengthens","Ezekiel 1:3","Strengthened by God during exile."
"Daniel","Daniyyel","God is my judge","Ezekiel 14:14","Stood before earthly kings while God remained his true Judge."
"Job","Iyyov","Persecuted; where is the father","Job 1:1","Righteous sufferer whose name is traditionally explained in more than one way."
"Hosea","Hoshea","Salvation","Hosea 1:1","His life pictured God’s faithful salvation of unfaithful Israel."
"Jonah","Yonah","Dove","2 Kings 14:25","Fled yet brought salvation to Nineveh."
"Micah","Mikah","Who is like Yahweh?","Micah 1:1","A rhetorical question pointing to God’s uniqueness."
"Nahum","Nachum","Comfort","Nahum 1:1","Brought comfort by announcing the end of Nineveh’s oppression."
"Habakkuk","Chavaqquq","Embrace","Habakkuk 1:1","Embraced God in faith despite coming judgment."
"Zephaniah","Tsephanyah","Yahweh has hidden; protected","Zephaniah 1:1","Hidden and protected the remnant during judgment."
"Haggai","Chaggay","Festal; my feasts","Ezra 5:1","Urged the people to rebuild the Temple."
"Zechariah","Zekharyah","Yahweh remembers","2 Kings 14:29","God remembered His covenant promises."
"Malachi","Malaki","My messenger","Malachi 1:1","The last Old Testament messenger before John the Baptist."
"Esther","Hadassah","Star; myrtle","Esther 2:7","Hidden like a star; saved her people."
"Mordecai","Mordecai","Little man; pure myrrh","Esther 2:5","Humble servant who refused to bow to Haman."
"Ezra","Ezra","Help","2 Kings 14:1","Helped restore the Law and the people after exile."
"Nehemiah","Nechemyah","Yahweh comforts","Ezra 2:2","Comforted and rebuilt Jerusalem’s walls."
"Mary","Miryam","Bitter; beloved; exalted one","Matthew 1:16","Mother of Jesus; experienced bitterness yet exaltation."
"Joseph (NT)","Yosef","He adds","Matthew 1:16","God added protection and provision for the holy family."
"John","Yochanan","Yahweh is gracious","Matthew 3:1","Forerunner of Jesus; proclaimed God’s grace."
"Jesus","Yeshua","Yahweh saves","Matthew 1:21","He will save His people from their sins."
"Peter","Kepha; Petros","Rock; stone","Matthew 4:18","The rock-like apostle."
"Andrew","Andreas","Manly; courageous","Matthew 4:18","Courageous fisherman turned fisher of men."
"James","Yaaqov","Supplanter","Matthew 4:21","One of the sons of thunder; later a pillar of the Church."
"Philip","Philippos","Lover of horses","Matthew 10:3","Brought people to Jesus."
"Bartholomew","Nathanael","Gift of God","Matthew 10:3","Jesus called him an Israelite in whom is no deceit."
"Thomas","Taoma","Twin","Matthew 10:3","Later confessed, “My Lord and my God!”"
"Matthew","Mattityahu","Gift of Yahweh","Matthew 9:9","Tax collector given the gift of apostleship and authorship."
"Simon the Zealot","Shimon","He has heard","Luke 6:15","Zealous revolutionary transformed into apostle."
"Judas (not Iscariot)","Yehudah","Praise","Luke 6:16","Praised God; associated with the epistle of Jude."
"Paul","Paulus","Small; humble","Acts 13:9","Changed from Saul to Paul, the humble apostle to the Gentiles."
"Timothy","Timotheos","Honoring God","Acts 16:1","Paul’s faithful son in the faith."
"Titus","Titus","Honorable; defender","2 Corinthians 2:13","Defended the faith and organized churches."
"Philemon","Philemon","Affectionate","Philemon 1:1","Showed affectionate forgiveness to Onesimus."
"Barnabas","Bar-Nabas","Son of encouragement","Acts 4:36","Encouraged the early Church and Paul."
"Stephen","Stephanos","Crown; garland","Acts 6:5","Received the martyr’s crown."
"Lydia","Lydia","From Lydia","Acts 16:14","Dealer in purple; first European convert."
"Aquila","Aquila","Eagle","Acts 18:2","Strong teacher alongside Priscilla."
"Priscilla","Priscilla","Ancient; venerable","Acts 18:2","Venerable teacher alongside her husband."
"Apollos","Apollos","Destroyer; of Apollo","Acts 18:24","Mighty preacher whose eloquence was refined."
"Silas","Silvanus","Forest; wood","Acts 15:22","Steady companion who endured prison with Paul."
"Onesimus","Onesimos","Useful; profitable","Colossians 4:9","The runaway slave who became useful."
"Phoebe","Phoibe","Bright; radiant","Romans 16:1","Radiant servant who carried Paul’s letter to Rome."
"Gaius","Gaius","Rejoice; happy","Acts 19:29","Hospitable host who brought joy to the Church."
"Erastus","Erastos","Beloved","Acts 19:22","Beloved city treasurer who served Paul."
"Demas","Demas","Popular","Colossians 4:14","Loved this present world and forsook Paul."
"Mark","Marcus","Hammer; polite","Acts 12:12","Initially faltered but later became useful to Paul."
"Luke","Loukas","Light-giving; from Lucania","Colossians 4:14","Beloved physician who brought gospel light."
"Theophilus","Theophilos","Lover of God","Luke 1:3","The one Luke wrote to."
"Diotrephes","Diotrephes","Nurtured by Zeus","3 John 1:9","Loved preeminence and opposed apostolic authority."
"Gamaliel","Gamaliel","God is my reward","Acts 5:34","Wise teacher who advised the Sanhedrin."
"Nicodemus","Nikodemos","Victory of the people","John 3:1","Came to Jesus by night seeking truth."
"Lazarus","Eleazar","God has helped","John 11:1","Raised from the dead."
"Martha","Martha","Lady; mistress","Luke 10:38","Busy homemaker who learned to sit at Jesus’ feet."
"Mary Magdalene","Miryam","Of Magdala","Matthew 27:56","First witness to the resurrection."
"Salome","Shalom","Peace; peaceful","Mark 15:40","Associated with the disciples and the resurrection narratives."
"Barabbas","Bar-Abba","Son of the father","Matthew 27:16","Released in place of the true Son of the Father."
"Pilate","Pilatus","Armed with a spear","Matthew 27:2","Roman judge who washed his hands of Jesus."
"Herod","Herodes","Heroic; son of a hero","Matthew 2:1","Name borne by multiple rulers who opposed God’s plan."
"Ananias","Chananyah","Yahweh has been gracious","Acts 5:1","Name borne by multiple figures in the New Testament."
"Sapphira","Sapphira","Sapphire","Acts 5:1","Beautiful exterior but deceptive heart."
"Cornelius","Cornelius","Horn","Acts 10:1","Roman centurion turned to God."
"Felix","Felix","Happy; fortunate","Acts 23:24","Trembled before the truth yet never found true happiness."
"Festus","Festus","Festive; joyful","Acts 24:27","Roman governor who heard Paul’s defense."
"Agrippa","Agrippas","Wild horse","Acts 25:13","Heard the gospel but remained untamed."
"Bernice","Bernike","Bringer of victory","Acts 25:13","Present at Paul’s trial."
"Artemas","Artemas","Gift of Artemis","Titus 3:12","Faithful coworker Paul sent to Crete."
"Tychicus","Tychikos","Fortunate; chance","Acts 20:4","Trusted messenger who carried Paul’s letters."
"Epaphras","Epaphras","Lovely; charming","Colossians 1:7","Fervent intercessor for Colossae."
"Archippus","Archippos","Master of the horse","Philemon 1:2","Called to fulfill his ministry."
"Apphia","Apphia","Productive; increasing","Philemon 1:2","Hostess connected with a growing house church."
"Euodia","Euodia","Prosperous journey; success","Philippians 4:2","Worked hard in the gospel but needed unity."
"Syntyche","Syntyche","Fortunate together","Philippians 4:2","Called to agree in the Lord."
"Clement","Clemens","Mild; merciful","Philippians 4:3","Fellow worker whose name is in the Book of Life."
"Epaphroditus","Epaphroditus","Lovely; charming","Philippians 2:25","Risked his life to serve Paul."
"Onesiphorus","Onesiphoros","Bringing profit","2 Timothy 1:16","Refreshing and profitable servant."
"Aristarchus","Aristarchos","Best ruler","Acts 19:29","Loyal companion and fellow prisoner."
"Zacchaeus","Zakkay","Pure; innocent","Luke 19:2","Tax collector made pure by Jesus."
"Bartimaeus","Bar-Timaios","Son of Timaeus","Mark 10:46","Blind beggar healed and then followed Jesus."
"Jairus","Yair","He enlightens","Mark 5:22","His daughter was raised."
"Simeon (NT)","Simeon","Heard","Luke 2:25","Held baby Jesus and declared he had seen salvation."
"Anna","Channah","Grace; favor","Luke 2:36","Prophetess who recognized the Messiah."
"Elizabeth","Elisheva","God is my oath","Luke 1:5","Mother of John; God kept His oath."
"Zacharias","Zekharyah","Yahweh remembers","Luke 1:5","Father of John; God remembered him."
"John the Baptist","Yochanan","Yahweh is gracious","Matthew 3:1","Prepared the way with grace."
"Herodias","Herodias","Heroic","Matthew 14:3","Manipulative figure who sought John’s head."
"Cleopas","Kleopas","Glory of the father","Luke 24:18","Disciple on the Emmaus road."
"Matthias","Mattityahu","Gift of Yahweh","Acts 1:23","Chosen to replace Judas."
"Philip (evangelist)","Philippos","Lover of horses","Acts 6:5","Evangelized Samaria and the Ethiopian eunuch."
"Simon the Sorcerer","Shimon","He has heard","Acts 8:9","Heard the gospel but sought power."
"Dorcas","Tabitha","Gazelle","Acts 9:36","Full of good works and raised to life."
"Sergius Paulus","Paulus","Small; humble","Acts 13:7","Proconsul who believed after seeing God’s power."
"Elymas","Bar-Jesus","Wise man","Acts 13:8","Sorcerer who opposed the gospel."
"Jason","Iason","Healer","Acts 17:5","Hosted Paul and faced riot."
"Dionysius","Dionysios","Of Dionysus","Acts 17:34","Areopagite who believed Paul’s message."
"Damaris","Damaris","Calf; gentle","Acts 17:34","Athenian woman who joined the believers."
"Gallio","Gallio","Gentle; calm","Acts 18:12","Dismissed charges against Paul."
"Alexander","Alexandros","Defender of men","Acts 19:33","The coppersmith who strongly opposed Paul."
"Hymenaeus","Hymenaios","Of Hymen","1 Timothy 1:20","False teacher who shipwrecked faith."
"Phygelus","Phygelos","Fugitive","2 Timothy 1:15","Deserted Paul in Asia."
"Hermogenes","Hermogenes","Born of Hermes","2 Timothy 1:15","Also deserted Paul."
"Crescens","Crescens","Growing","2 Timothy 4:10","Faithful coworker who went to Galatia."
"Pudens","Pudens","Modest; shamefaced","2 Timothy 4:21","Roman Christian who greeted Paul."
"Linus","Linos","Flaxen; net","2 Timothy 4:21","Early Christian leader."
"Claudia","Claudia","Lame","2 Timothy 4:21","Woman who greeted Paul."
"Eubulus","Euboulos","Good counselor","2 Timothy 4:21","Faithful in Rome."
"Zenas","Zenas","Living","Titus 3:13","Lawyer who traveled with Apollos."
"Jude","Yehudah","Praise","Jude 1:1","Author of the epistle of Jude."
"Sosthenes","Sosthenes","Safe in strength","Acts 18:17","Associated with Corinth and with Paul."
"Crispus","Crispus","Curly-haired","Acts 18:8","Synagogue ruler baptized by Paul."
"Fortunatus","Fortunatus","Fortunate","1 Corinthians 16:17","Corinthian who refreshed Paul."
"Achaicus","Achaicus","From Achaia","1 Corinthians 16:17","Helped Paul."
"Stephanas","Stephanas","Crown","1 Corinthians 1:16","Among the first converts in Achaia."
"Chloe","Chloe","Green herb; blooming","1 Corinthians 1:11","Associated with the report of divisions in Corinth."
"Nymphas","Nymphas","Bridegroom","Colossians 4:15","Hosted a house church."
