"language","lemma","transliteration","meaning","english_renderings","first_reference","footnote"
"Hebrew","מָגֵן","Magen","Shield","shield","Genesis 15:1","God identifies Himself as Abram’s shield, defender, and reward."
"Hebrew","אֲבִיר יַעֲקֹב","Avir Yaakov","Mighty One of Jacob","mighty God of Jacob; mighty One of Jacob","Genesis 49:24","A poetic title of covenant strength and sustaining power."
"Hebrew","עִמָּנוּ אֵל","Immanu El","God with us","Immanuel","Isaiah 7:14","A revelatory name declaring God’s presence with His people, ultimately fulfilled in Christ."
"Hebrew","אֵל גִּבּוֹר","El Gibbor","Mighty God","The mighty God","Isaiah 9:6","A striking messianic divine title that directly attributes deity and strength."
"Hebrew","אֲבִי־עַד","Avi Ad","Father of Eternity; Everlasting Father","The everlasting Father","Isaiah 9:6","A throne title in the messianic prophecy emphasizing eternal care and rule."
"Hebrew","שַׂר־שָׁלוֹם","Sar Shalom","Prince of Peace","The Prince of Peace","Isaiah 9:6","A messianic royal title pointing to the divine ruler who brings true peace."
"Greek","θεός","Theos","God","God","Matthew 1:23","The standard Greek New Testament word for God, corresponding broadly to Hebrew Elohim."
"Greek","κύριος","Kyrios","Lord","Lord","Matthew 1:20","In the New Testament this title is used both for the Lord God and, in a full divine sense, for Jesus."
"Greek","πατήρ","Pater","Father","Father","Matthew 5:16","A dominant New Testament divine address, especially in the teaching of Jesus."
"Greek","ἀββᾶ","Abba","Father; dear Father","Abba; Father","Mark 14:36","An intimate filial address used by Jesus and shared with believers through the Spirit."
"Greek","δεσπότης","Despotes","Master; Sovereign Lord","Lord","Luke 2:29","A title emphasizing God’s absolute ownership and sovereign authority."
"Greek","σωτήρ","Soter","Savior","Saviour","Luke 1:47","Declares God as the deliverer of His people; in the New Testament this title is also applied to Christ."
"Greek","ὁ ὤν","Ho On","The One who is","I am; which is","John 8:58","Echoes the divine self-existence revealed in Exodus and becomes especially significant in Johannine Christology."
"Greek","λόγος","Logos","Word","Word","John 1:1","A uniquely Johannine title for the Son, presenting Him as the eternal self-expression of God."
"Greek","εἰκὼν τοῦ θεοῦ","Eikon tou Theou","Image of God","image of God","2 Corinthians 4:4","Applied to Christ as the perfect visible revelation of the invisible God."
"Greek","μονογενὴς υἱός","Monogenes Huios","Only begotten Son; unique Son","only begotten Son","John 1:18","Declares the unique divine Sonship of Christ and His perfect revelation of the Father."
"Greek","ἄλφα καὶ τὸ ὦ","Alpha kai to O","Alpha and Omega; the beginning and the ending","Alpha and Omega; beginning and the ending","Revelation 1:8","A divine title expressing God’s absolute sovereignty over all history."
"Greek","ὁ λόγος τοῦ θεοῦ","Ho Logos tou Theou","The Word of God","The Word of God","Revelation 19:13","A climactic title for Christ as the divine revealer and warrior-king."
"Greek","βασιλεὺς βασιλέων καὶ κύριος κυρίων","Basileus basileon kai Kyrios kyrion","King of kings and Lord of lords","King of kings, and Lord of lords","1 Timothy 6:15","An ultimate title of sovereignty used of God and also gloriously applied to Christ."
