book_name,sample_slot,ref,artifact_checks,repeated_word_candidate,translation
Job,last,Job 42:17,,,"And Job died old and full of days. And it is written that he will rise again with those whom Lord raises up. This man, interpreted from Syriac book, dwelt in land Ausitis on borders of Idumaia and Arabia, and his former name was Iōbab. Taking Arabian wife, he fathered son whose name was Ennon. And he himself was son of Zare, one of sons of Esau, from mother Bosorra, so as to be fifth from Abraham. And these were kings who reigned in Edom, over which he also first ruled: Balak son of Beōr, and name of his city was Dennaba; after Balak, Iōbab called Job; after him Asom, ruler from country of Thaimanitis; after him Adad son of Barad, who cut down Madiam in plain of Moab, and name of his city was Geththaim. And friends coming to him were Eliphas king of sons of Esau from Thaimanites, Baldad tyrant of Sauchites, and Sophar king of Minaians."
Psalms,first,Psalms 1:1,,,"Blessed man who did not walk in counsel of ungodly men, and did not stand in way of sinners, and did not sit upon seat of pestilent men,"
Psalms,middle,Psalms 77:36,,,And they deceived him with their mouth and lied to him with their tongue.
Psalms,last,Psalms 150:6,,,Every breath let it praise Lord. Hallelujah.
Proverbs,first,Proverbs 1:1,,,"Proverbs of Solomon son of David, who reigned in Israel."
Proverbs,middle,Proverbs 16:14,,,"Wrath of king messenger of death, but wise man will appease him."
Proverbs,last,Proverbs 31:31,,,"Give her from fruits of her hands, and let her husband be praised in gates."
Ecclesiastes,first,Ecclesiastes 1:1,,,"Words of Ecclesiastes, son of David, king of Israel in Jerusalem."
Ecclesiastes,middle,Ecclesiastes 6:10,,,"Whatever came to be, its name already has been called, and it has been known what man is; and he will not be able to be judged with one stronger than he."
Ecclesiastes,last,Ecclesiastes 12:14,,,"Because with every work God will bring into judgment, with every overlooked thing, whether good or whether evil."
Song of Solomon,first,Song of Solomon 1:1,,,"Song of songs, which is Solomon's."
Song of Solomon,middle,Song of Solomon 4:14,,,"Nard and saffron, cane and cinnamon with all woods of Lebanon, myrrh and aloes with all first perfumes."
Song of Solomon,last,Song of Solomon 8:14,,,"Flee, my beloved, and be like gazelle or fawn of deer on mountains of spices."
Isaiah,first,Isaiah 1:1,,,"Vision which Isaiah son of Amoz saw, which he saw against Judah and against Jerusalem in reign of Uzziah and Jotham and Ahaz and Hezekiah, who reigned over Judah."
Isaiah,middle,Isaiah 33:21,,,"Because name of Lord great to you; place to you will be rivers and broad and spacious channels. This way a ship under oars will not travel, nor will vessel go through."
Isaiah,last,Isaiah 66:24,,,"And they will go out and see limbs of men who transgressed against me, for their worm will not end and their fire will not be quenched, and they will be spectacle to all flesh."
Jeremiah,first,Jeremiah 1:1,,,"Word of God that came upon Jeremiah son of Hilkiah, from priests dwelling in Anathoth in land of Benjamin,"
Jeremiah,middle,Jeremiah 27:29,,,"Command many against Babylon, every one stretching bow. Encamp against her all around. Let there not be one escaping from her. Pay back to her according to her works. According to all she did, do to her, because against Lord, Holy God of Israel, she stood."
Jeremiah,last,Jeremiah 52:34,,,"And ration for him was given continually from king of Babylon, from day to day until day he died."
Lamentations,first,Lamentations 1:0,,,"And it happened after Israel was taken captive and Jerusalem was made desolate, Jeremiah sat weeping and lamented this lament over Jerusalem and said,"
Lamentations,middle,Lamentations 3:35,,,"to turn aside judgment of man before face of Most High,"
Lamentations,last,Lamentations 5:22,,,because in thrusting away you thrust us away. You were very angry over us.
Ezekiel,first,Ezekiel 1:1,,,"And it happened in thirtieth year, in fourth month, on fifth of month, and I was in midst of captivity by river Chobar, and heavens were opened and I saw visions of God."
Ezekiel,middle,Ezekiel 25:17,,,"And I will do in them great acts of vengeance, and they will know that I am Lord when I give my vengeance upon them."
Ezekiel,last,Ezekiel 48:35,,,"A circuit of eighteen thousand, and name of the city from the day it comes to be will be, The Lord Is There."
Daniel,first,Daniel 1:1,,,"In third year of Jehoiakim of Judea, Nebuchadnezzar king of Babylon came to Jerusalem and besieged it."
Daniel,middle,Daniel 6:20,,,"And king Darius rose early in morning and took satraps with him, and going, stood at mouth of lions' den."
Daniel,last,Daniel 12:13,,,"And you, go, rest, for there are still days and hours for completion of the end, and you will rest and rise to your glory at completion of days."
Hosea,first,Hosea 1:1,,,"Word of Lord that came to Hosea son of Beeri in days of Uzziah and Jotham and Ahaz and Hezekiah, kings of Judah, and in days of Jeroboam son of Joash, king of Israel."
Hosea,middle,Hosea 7:15,,,"And I strengthened their arms, but toward me they reckoned evil things."
Hosea,last,Hosea 14:10,,,"Who is wise and will understand these things, or intelligent and will know them? Because ways of Lord are straight, and righteous ones will walk in them, but impious ones will grow weak in them."
Joel,first,Joel 1:1,,,Word of Lord that came to Joel son of Bathouel.
Joel,middle,Joel 2:17,,,"Between base of altar the priests serving Lord will weep and say, Spare, Lord, your people, and do not give your inheritance to reproach for nations to rule them, so that they may not say among nations, Where is their God?"
Joel,last,Joel 4:21,,,"And I will avenge their blood and will by no means leave them unpunished, and Lord will dwell in Zion."
Amos,first,Amos 1:1,,,"Words of Amos, which came in Nakkarim from Tekoa, which he saw concerning Jerusalem in days of Uzziah king of Judah and in days of Jeroboam son of Joash king of Israel, two years before the earthquake."
Amos,middle,Amos 5:15,,,"We hated evil things and loved good things, and restore judgment in gates, so that Lord God Almighty may show mercy to remnant of Joseph."
Amos,last,Amos 9:15,,,"And I will plant them upon their land, and they will never again be pulled up from their land that I gave them, says Lord God Almighty."
Obadiah,first,Obadiah 1:1,,,"Vision of Obadiah. Thus says Lord God to Idumea: I heard a report from Lord, and he sent a message to nations: Rise, and let us rise against her for war."
Obadiah,middle,Obadiah 1:11,,,"From day when you stood opposite, on day when foreigners carried away his strength and strangers entered his gates and cast lots over Jerusalem, you also were as one of them."
Obadiah,last,Obadiah 1:21,,,"Rescued men will go up from mount Zion to avenge mount of Esau, and kingdom will belong to Lord."
Jonah,first,Jonah 1:1,,,"Word of Lord came to Jonah son of Amathi, saying,"
Jonah,middle,Jonah 2:9,,,Those keeping worthless and false things abandoned their mercy.
Jonah,last,Jonah 4:11,,,"But I, shall I not spare Nineveh, great city, in which dwell more than twelve myriads of human beings who do not know their right hand or their left, and many cattle?"
Micah,first,Micah 1:1,,,"And word of Lord came to Micah the Morasthite in days of Jotham and Ahaz and Hezekiah, kings of Judah, concerning what he saw about Samaria and Jerusalem."
Micah,middle,Micah 4:12,,,"But they did not know thought of Lord and did not understand his counsel, because he gathered them like sheaves of threshing floor."
Micah,last,Micah 7:20,,,"You will give truth to Jacob and mercy to Abraham, just as you swore to our fathers in former days."
Nahum,first,Nahum 1:1,,,Oracle of Nineveh. Book of vision of Nahum the Elkesaite.
Nahum,middle,Nahum 2:10,,,"They kept plundering silver, plundering gold, and there was no end to her adornment. They were weighed down with all her desirable vessels."
Nahum,last,Nahum 3:19,,,"There is no healing for your crushing; your wound blazed up. All hearing your report will clap hands over you, because upon whom has your evil not come continually?"
Habakkuk,first,Habakkuk 1:1,,,Oracle that Habakkuk prophet saw.
Habakkuk,middle,Habakkuk 2:12,,,Woe to one building city in bloods and preparing city in injustices.
Habakkuk,last,Habakkuk 3:19,,,"Lord God is my strength, and he will set my feet to completion. Upon heights set me, to conquer in his song."
Zephaniah,first,Zephaniah 1:1,,,"Word of Lord that came to Zephaniah son of Cushi, son of Godolias, son of Amarias, son of Hezekias, in days of Josiah son of Amon king of Judah."
Zephaniah,middle,Zephaniah 2:9,,,"Therefore, as I live, says Lord of forces, God of Israel, Moab will be as Sodom and sons of Ammon as Gomorrah, and Damascus left behind like heap of threshing-floor and desolated forever; remnant of my people will plunder them, and remnant of my nation will inherit them."
Zephaniah,last,Zephaniah 3:20,,,"And they will be put to shame in that time when I do well to you and when I receive you, because I will make you renowned and for boast among all peoples of earth, when I turn back your captivity before you, says Lord."
Haggai,first,Haggai 1:1,,,"In second year of Darius king, in sixth month, on first day of month, word of Lord came by hand of Haggai prophet, saying: Speak now to Zerubbabel son of Salathiel from tribe of Judah, and to Jeshua son of Josedek, the great priest, saying,"
Haggai,middle,Haggai 2:5,,,And my spirit stands in midst of you; take courage.
Haggai,last,Haggai 2:23,,,"In that day, says Lord Almighty, I will take you, Zerubbabel son of Salathiel, my servant, says Lord, and place you like a seal, because I chose you, says Lord Almighty."
Zechariah,first,Zechariah 1:1,,,"In eighth month of second year of Darius, word of Lord came to Zechariah son of Barachias, son of Addo, the prophet, saying,"
Zechariah,middle,Zechariah 8:8,,,"and I will bring them in, and they will dwell in midst of Jerusalem, and they will be my people, and I will be their God in truth and righteousness."
Zechariah,last,Zechariah 14:21,,,"And every pot in Jerusalem and in Judah will be holy to Lord Almighty, and all sacrificing will come and take from them and cook in them, and there will no longer be Canaanite in house of Lord Almighty in that day."
Malachi,first,Malachi 1:1,,,Oracle of word of Lord upon Israel by hand of his messenger. Put this now on your hearts.
Malachi,middle,Malachi 2:14,,,"And you said, For what reason? Because Lord testified between you and wife of your youth whom you abandoned, and she is your companion and wife of your covenant."
Malachi,last,Malachi 3:24,,,"Remember law of Moses my servant, as I commanded him in Horeb for all Israel, ordinances and judgments."
