current_form,preferred_form,kind,occurrences,sample_refs,meaning,status
Debbōra,Deborah,person,12,"Judges 4:4, Judges 4:5, Judges 4:6, Judges 4:9, Judges 4:10, Judges 4:14, Judges 5:1, Judges 5:7",,
Sokchōth,Succoth,place,12,"Judges 8:5, Judges 8:6, Judges 8:8, Judges 8:14, Judges 8:15, Judges 8:16, 1 Samuel 17:1, 1 Kings 21:16",,
Zēbee,Zebah,person,12,"Judges 8:5, Judges 8:6, Judges 8:7, Judges 8:10, Judges 8:11, Judges 8:12, Judges 8:15, Judges 8:18",,
Iezraēlite,Jezreelite,people/place,11,"1 Samuel 27:3, 1 Samuel 30:5, 2 Samuel 2:2, 2 Samuel 3:2, 1 Kings 20:1, 1 Kings 20:6, 1 Kings 20:7, 1 Kings 20:15",,
Massēpha,Mizpah,place,11,"Judges 10:17, Judges 11:11, Judges 11:34, Judges 20:1, Judges 20:3, Judges 21:1, Judges 21:2, Judges 21:5",,
Salōmōn,Solomon,person,11,"2 Samuel 5:14, 2 Samuel 8:8, 2 Samuel 12:24, 2 Samuel 14:27, 2 Kings 21:7, 2 Kings 23:13, 2 Kings 24:13, 2 Kings 25:16",Peaceable; peaceful,
Amōn,Amon,person,10,"2 Kings 21:18, 2 Kings 21:19, 2 Kings 21:23, 2 Kings 21:24, 2 Kings 21:25, 2 Chronicles 33:20, 2 Chronicles 33:21, 2 Chronicles 33:22",,
Aōd,Ehud,person,10,"Judges 3:15, Judges 3:16, Judges 3:18, Judges 3:19, Judges 3:20, Judges 3:21, Judges 3:23, Judges 3:26",,
Babylōn,Babylon,place,9,"2 Chronicles 33:11, 2 Chronicles 36:5, 2 Chronicles 36:6, 2 Chronicles 36:7, 2 Chronicles 36:10, 2 Chronicles 36:18, 2 Chronicles 36:20",,
Iōakim,Jehoiakim,person,9,"2 Chronicles 36:4, 2 Chronicles 36:5, 2 Chronicles 36:8, Nehemiah 12:10, Nehemiah 12:12, Nehemiah 12:26",,
Massēphath,Mizpah,place,9,"1 Samuel 7:5, 1 Samuel 7:6, 1 Samuel 7:7, 1 Samuel 7:11, 1 Samuel 7:12, 1 Samuel 7:16, 2 Kings 25:23, 2 Kings 25:25",,
Mōab,Moab,people/place,9,"1 Samuel 12:9, 1 Samuel 14:47, 1 Samuel 22:3, 1 Samuel 22:4, 2 Samuel 8:2, 2 Samuel 8:12, Job 42:17",,
Sennachērim,Sennacherib,person,9,"2 Kings 18:13, 2 Kings 19:16, 2 Kings 19:20, 2 Kings 19:36, 2 Chronicles 32:1, 2 Chronicles 32:2, 2 Chronicles 32:9, 2 Chronicles 32:10",,
Bērsabee,Beersheba,place,8,"1 Samuel 30:30, 2 Samuel 3:10, 2 Samuel 6:19, 2 Samuel 11:3, 2 Samuel 12:24, 1 Kings 19:3, 2 Kings 12:2, 2 Kings 23:8",,
Ioēl,Joel,person,8,"1 Chronicles 7:3, 1 Chronicles 15:7, 1 Chronicles 15:11, 1 Chronicles 15:17, 1 Chronicles 23:8, 1 Chronicles 26:22, 1 Chronicles 27:20, 2 Chronicles 29:12",,
Iōanan,Johanan,person,8,"2 Kings 25:23, 1 Chronicles 26:3, 2 Chronicles 17:15, 2 Chronicles 23:1, Nehemiah 12:13, Nehemiah 12:22, Nehemiah 12:23, Nehemiah 12:42",,
Manaēm,Menahem,person,8,"2 Kings 15:14, 2 Kings 15:16, 2 Kings 15:17, 2 Kings 15:19, 2 Kings 15:20, 2 Kings 15:21, 2 Kings 15:22, 2 Kings 15:23",,
Rapsakēs,Rabshakeh,title/name,8,"2 Kings 18:17, 2 Kings 18:19, 2 Kings 18:26, 2 Kings 18:27, 2 Kings 18:28, 2 Kings 18:37, 2 Kings 19:4, 2 Kings 19:8",,
Shilōm,Shiloh,place,8,"1 Samuel 1:21, 1 Samuel 1:24, 1 Samuel 2:14, 1 Samuel 3:21, 1 Samuel 4:3, 1 Samuel 4:4, 1 Samuel 4:12",,
Gabaōn,Gibeon,place,7,"2 Samuel 2:12, 2 Samuel 2:13, 2 Samuel 2:16, 2 Samuel 2:24, 2 Samuel 3:30, 2 Samuel 5:25",,
Ierichō,Jericho,place,7,"2 Samuel 10:5, 2 Kings 2:4, 2 Kings 2:5, 2 Kings 2:15, 2 Kings 2:18, 2 Kings 25:5",,
Ramōth,Ramoth,place,7,"2 Chronicles 18:2, 2 Chronicles 18:3, 2 Chronicles 18:5, 2 Chronicles 18:11, 2 Chronicles 18:14, 2 Chronicles 18:19, 2 Chronicles 18:28",,
Saddōk,Zadok,person,7,"2 Samuel 15:24, 2 Samuel 15:25, 2 Samuel 15:27, 2 Samuel 15:29, 2 Samuel 15:35, 2 Samuel 15:36",,
Achitōb,Ahitub,person,6,"1 Samuel 14:3, 1 Samuel 22:9, 1 Samuel 22:11, 1 Samuel 22:12, 1 Samuel 22:20, 2 Samuel 8:17",,
Bēthleem,Bethlehem,place,6,"Judges 12:10, 1 Samuel 16:1, 1 Samuel 16:4, 1 Samuel 20:6, 1 Samuel 20:28, 2 Samuel 2:32",,
Eliēl,Eliel,person,6,"1 Chronicles 5:24, 1 Chronicles 6:19, 1 Chronicles 11:46, 1 Chronicles 15:9, 1 Chronicles 15:11, 2 Chronicles 31:13",,
Iakōb,Jacob,person,6,"1 Samuel 12:8, 2 Kings 17:34, Psalms 13:7, Psalms 19:2, Psalms 21:24, Psalms 23:6",Supplanter; heel-grabber,
Ismaēl,Ishmael,person,6,"2 Kings 25:23, 2 Kings 25:25, 1 Chronicles 8:38, 1 Chronicles 9:44, 2 Chronicles 19:11, 2 Chronicles 23:1",God hears,
Jaēl,Jael,person,6,"Judges 4:17, Judges 4:18, Judges 4:21, Judges 4:22, Judges 5:6, Judges 5:24",,
Karmēl,Carmel,place,6,"1 Samuel 25:2, 1 Samuel 25:5, 1 Samuel 25:7, 1 Samuel 25:40, 1 Samuel 30:29",,
Sēir,Seir,place,6,"2 Chronicles 20:10, 2 Chronicles 20:22, 2 Chronicles 20:23, 2 Chronicles 25:11, 2 Chronicles 25:14",,
Amōs,Amoz,person,5,"2 Kings 19:2, 2 Kings 19:20, 2 Kings 20:1, 2 Chronicles 32:20, 2 Chronicles 32:32",,
Michaēl,Michael,person,5,"Numbers 13:13, 1 Chronicles 6:25, 1 Chronicles 12:21, 1 Chronicles 27:18, 2 Chronicles 21:2",,
Nathanaēl,Nathanael,person,5,"1 Chronicles 15:24, 1 Chronicles 24:6, 1 Chronicles 26:4, 2 Chronicles 17:7, 2 Chronicles 35:9",,
Iōsēph,Joseph,person,4,"Numbers 13:7, 1 Chronicles 25:2, 1 Chronicles 25:9, Nehemiah 12:14",He adds; may He add,
Mōusēs,Moses,person,4,"2 Chronicles 33:8, 2 Chronicles 34:14, 2 Chronicles 35:6, 2 Chronicles 35:12",Drawn out,
Aarōn,Aaron,person,3,"1 Samuel 12:6, 1 Samuel 12:8, 2 Chronicles 35:14",Exalted; mountain of strength; teacher,
Edōm,Edom,people/place,3,"2 Chronicles 21:8, 2 Chronicles 21:9, 2 Chronicles 21:10",,
Siōn,Zion,place,3,"2 Samuel 5:7, 2 Kings 19:21, 2 Kings 19:31",,
