ref,book_code,greek_text,draft_translation,ukjv_translation,review_status,review_notes
Revelation 16:18,REV,και εγενοντο φωναι και βρονται και αστραπαι και σεισμος εγενετο μεγας οιος ουκ εγενετο αφ ου οι ανθρωποι εγενοντο επι της γης τηλικουτος σεισμος ουτως μεγας,"And there were voices, and thunders, and lightnings; and there was a great earthquake, such as was not since men were upon the earth, so mighty an earthquake, and so great.","And there were voices, and thunders, and lightnings; and there was a great earthquake, such as was not since men were upon the earth, so mighty an earthquake, and so great.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 16:20,REV,και πασα νησος εφυγεν και ορη ουχ ευρεθησαν,"And every island fled away, and the mountains were not found.","And every island fled away, and the mountains were not found.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 17:9,REV,ωδε ο νους ο εχων σοφιαν αι επτα κεφαλαι ορη εισιν επτα οπου η γυνη καθηται επ αυτων,"And here is the mind which has wisdom. The seven heads are seven mountains, on which the woman sits.","And here is the mind which has wisdom. The seven heads are seven mountains, on which the woman sits.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 17:10,REV,και βασιλεις επτα εισιν οι πεντε επεσαν και ο εις εστιν ο αλλος ουπω ηλθεν και οταν ελθη ολιγον αυτον δει μειναι,"And there are seven kings: five are fallen, and one is, and the other is not yet come; and when he comes, he must continue a short space.","And there are seven kings: five are fallen, and one is, and the other is not yet come; and when he comes, he must continue a short space.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 17:12,REV,και τα δεκα κερατα α ειδες δεκα βασιλεις εισιν οιτινες βασιλειαν ουπω ελαβον αλλ εξουσιαν ως βασιλεις μιαν ωραν λαμβανουσιν μετα του θηριου,"And the ten horns which you saw are ten kings, which have received no kingdom as yet; but receive power as kings one hour with the beast.","And the ten horns which you saw are ten kings, which have received no kingdom as yet; but receive power as kings one hour with the beast.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 18:1,REV,και μετα ταυτα ειδον αλλον αγγελον καταβαινοντα εκ του ουρανου εχοντα εξουσιαν μεγαλην και η γη εφωτισθη εκ της δοξης αυτου,"And after these things I saw another angel come down from heaven, having great power; and the earth was lightened with his glory.","And after these things I saw another angel come down from heaven, having great power; and the earth was lightened with his glory.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 18:7,REV,οσα εδοξασεν εαυτην και εστρηνιασεν τοσουτον δοτε αυτη βασανισμον και πενθος οτι εν τη καρδια αυτης λεγει καθημαι βασιλισσα και χηρα ουκ ειμι και πενθος ου μη ιδω,"How much she has glorified herself, and lived deliciously, so much torment and sorrow give her: for she says in her heart, I sit a queen, and am no widow, and shall see no sorrow.","How much she has glorified herself, and lived deliciously, so much torment and sorrow give her: for she says in her heart, I sit a queen, and am no widow, and shall see no sorrow.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 18:10,REV,απο μακροθεν εστηκοτες δια τον φοβον του βασανισμου αυτης λεγοντες ουαι ουαι η πολις η μεγαλη βαβυλων η πολις η ισχυρα οτι εν μια ωρα ηλθεν η κρισις σου,"Standing far off for the fear of her torment, saying, Alas, alas that great city Babylon, that mighty city! for in one hour is your judgment come.","Standing far off for the fear of her torment, saying, Alas, alas that great city Babylon, that mighty city! for in one hour is your judgment come.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 18:12,REV,γομον χρυσου και αργυρου και λιθου τιμιου και μαργαριτου και βυσσου και πορφυρας και σηρικου και κοκκινου και παν ξυλον θυινον και παν σκευος ελεφαντινον και παν σκευος εκ ξυλου τιμιωτατου και χαλκου και σιδηρου και μαρμαρου,"The merchandise of gold, and silver, and precious stones, and of pearls, and fine linen, and purple, and silk, and scarlet, and all thyine wood, and all manner vessels of ivory, and all manner vessels of most precious wood, and of brass, and iron, and marble,","The merchandise of gold, and silver, and precious stones, and of pearls, and fine linen, and purple, and silk, and scarlet, and all thyine wood, and all manner vessels of ivory, and all manner vessels of most precious wood, and of brass, and iron, and marble,",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 18:13,REV,και κιναμωμον και θυμιαματα και μυρον και λιβανον και οινον και ελαιον και σεμιδαλιν και σιτον και κτηνη και προβατα και ιππων και ρεδων και σωματων και ψυχας ανθρωπων,"And cinnamon, and odours, and ointments, and frankincense, and wine, and oil, and fine flour, and wheat, and beasts, and sheep, and horses, and chariots, and slaves, and souls of men.","And cinnamon, and odours, and ointments, and frankincense, and wine, and oil, and fine flour, and wheat, and beasts, and sheep, and horses, and chariots, and slaves, and souls of men.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 18:15,REV,οι εμποροι τουτων οι πλουτησαντες απ αυτης απο μακροθεν στησονται δια τον φοβον του βασανισμου αυτης κλαιοντες και πενθουντες,"The merchants of these things, which were made rich by her, shall stand far off for the fear of her torment, weeping and wailing,","The merchants of these things, which were made rich by her, shall stand far off for the fear of her torment, weeping and wailing,",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 18:16,REV,και λεγοντες ουαι ουαι η πολις η μεγαλη η περιβεβλημενη βυσσινον και πορφυρουν και κοκκινον και κεχρυσωμενη εν χρυσω και λιθω τιμιω και μαργαριταις,"And saying, Alas, alas that great city, that was clothed in fine linen, and purple, and scarlet, and decked with gold, and precious stones, and pearls!","And saying, Alas, alas that great city, that was clothed in fine linen, and purple, and scarlet, and decked with gold, and precious stones, and pearls!",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 18:17,REV,οτι μια ωρα ηρημωθη ο τοσουτος πλουτος και πας κυβερνητης και πας επι των πλοιων ο ομιλος και ναυται και οσοι την θαλασσαν εργαζονται απο μακροθεν εστησαν,"For in one hour so great riches has come to nothing. And every ship captain, and all the company in ships, and sailors, and as many as trade by sea, stood far off,","For in one hour so great riches has come to nothing. And every ship captain, and all the company in ships, and sailors, and as many as trade by sea, stood far off,",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 19:14,REV,και τα στρατευματα τα εν τω ουρανω ηκολουθει αυτω εφ ιπποις λευκοις ενδεδυμενοι βυσσινον λευκον και καθαρον,"And the armies which were in heaven followed him upon white horses, clothed in fine linen, white and clean.","And the armies which were in heaven followed him upon white horses, clothed in fine linen, white and clean.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 19:15,REV,και εκ του στοματος αυτου εκπορευεται ρομφαια οξεια ινα εν αυτη πατασση τα εθνη και αυτος ποιμανει αυτους εν ραβδω σιδηρα και αυτος πατει την ληνον του οινου του θυμου και της οργης του θεου του παντοκρατορος,"And out of his mouth goes a sharp sword, that with it he should strike the nations: and he shall rule them with a rod of iron: and he treads the winepress of the fierceness and wrath of Almighty God.","And out of his mouth goes a sharp sword, that with it he should strike the nations: and he shall rule them with a rod of iron: and he treads the winepress of the fierceness and wrath of Almighty God.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 20:1,REV,και ειδον αγγελον καταβαινοντα εκ του ουρανου εχοντα την κλειδα της αβυσσου και αλυσιν μεγαλην επι την χειρα αυτου,"And I saw an angel come down from heaven, having the key of the bottomless pit and a great chain in his hand.","And I saw an angel come down from heaven, having the key of the bottomless pit and a great chain in his hand.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 20:2,REV,και εκρατησεν τον δρακοντα τον οφιν τον αρχαιον ος εστιν διαβολος και σατανας και εδησεν αυτον χιλια ετη,"And he laid hold on the dragon, that old serpent, which is the Devil, and Satan, and bound him a thousand years,","And he laid hold on the dragon, that old serpent, which is the Devil, and Satan, and bound him a thousand years,",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 20:3,REV,και εβαλεν αυτον εις την αβυσσον και εκλεισεν αυτον και εσφραγισεν επανω αυτου ινα μη πλανηση τα εθνη ετι αχρι τελεσθη τα χιλια ετη και μετα ταυτα δει αυτον λυθηναι μικρον χρονον,"And cast him into the bottomless pit, and shut him up, and set a seal upon him, that he should deceive the nations no more, till the thousand years should be fulfilled: and after that he must be loosed a little season.","And cast him into the bottomless pit, and shut him up, and set a seal upon him, that he should deceive the nations no more, till the thousand years should be fulfilled: and after that he must be loosed a little season.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 20:7,REV,και οταν τελεσθη τα χιλια ετη λυθησεται ο σατανας εκ της φυλακης αυτου,"And when the thousand years are expired, Satan shall be loosed out of his prison,","And when the thousand years are expired, Satan shall be loosed out of his prison,",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 20:12,REV,και ειδον τους νεκρους μικρους και μεγαλους εστωτας ενωπιον του θεου και βιβλια ηνεωχθησαν και βιβλιον αλλο ηνεωχθη ο εστιν της ζωης και εκριθησαν οι νεκροι εκ των γεγραμμενων εν τοις βιβλιοις κατα τα εργα αυτων,"And I saw the dead, small and great, stand before God; and the books were opened: and another book was opened, which is the book of life: and the dead were judged out of those things which were written in the books, according to their works.","And I saw the dead, small and great, stand before God; and the books were opened: and another book was opened, which is the book of life: and the dead were judged out of those things which were written in the books, according to their works.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 21:1,REV,και ειδον ουρανον καινον και γην καινην ο γαρ πρωτος ουρανος και η πρωτη γη παρηλθεν και η θαλασσα ουκ εστιν ετι,And I saw a new heaven and a new earth: for the first heaven and the first earth were passed away; and there was no more sea.,And I saw a new heaven and a new earth: for the first heaven and the first earth were passed away; and there was no more sea.,needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 21:2,REV,και εγω ιωαννης ειδον την πολιν την αγιαν ιερουσαλημ καινην καταβαινουσαν απο του θεου εκ του ουρανου ητοιμασμενην ως νυμφην κεκοσμημενην τω ανδρι αυτης,"And I John saw the holy city, new Jerusalem, coming down from God out of heaven, prepared as a bride adorned for her husband.","And I John saw the holy city, new Jerusalem, coming down from God out of heaven, prepared as a bride adorned for her husband.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 21:12,REV,εχουσαν τε τειχος μεγα και υψηλον εχουσαν πυλωνας δωδεκα και επι τοις πυλωσιν αγγελους δωδεκα και ονοματα επιγεγραμμενα α εστιν των δωδεκα φυλων των υιων ισραηλ,"And had a wall great and high, and had twelve gates, and at the gates twelve angels, and names written thereon, which are the names of the twelve tribes of the children of Israel:","And had a wall great and high, and had twelve gates, and at the gates twelve angels, and names written thereon, which are the names of the twelve tribes of the children of Israel:",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 21:13,REV,απ ανατολης πυλωνες τρεις απο βορρα πυλωνες τρεις απο νοτου πυλωνες τρεις και απο δυσμων πυλωνες τρεις,On the east three gates; on the north three gates; on the south three gates; and on the west three gates.,On the east three gates; on the north three gates; on the south three gates; and on the west three gates.,needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 21:14,REV,και το τειχος της πολεως εχον θεμελιους δωδεκα και εν αυτοις ονοματα των δωδεκα αποστολων του αρνιου,"And the wall of the city had twelve foundations, and in them the names of the twelve apostles of the Lamb.","And the wall of the city had twelve foundations, and in them the names of the twelve apostles of the Lamb.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 21:16,REV,και η πολις τετραγωνος κειται και το μηκος αυτης τοσουτον εστιν οσον και το πλατος και εμετρησεν την πολιν τω καλαμω επι σταδιων δωδεκα χιλιαδων το μηκος και το πλατος και το υψος αυτης ισα εστιν,"And the city lies foursquare, and the length is as large as the breadth: and he measured the city with the reed, twelve thousand furlongs. The length and the breadth and the height of it are equal.","And the city lies foursquare, and the length is as large as the breadth: and he measured the city with the reed, twelve thousand furlongs. The length and the breadth and the height of it are equal.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 21:19,REV,και οι θεμελιοι του τειχους της πολεως παντι λιθω τιμιω κεκοσμημενοι ο θεμελιος ο πρωτος ιασπις ο δευτερος σαπφειρος ο τριτος χαλκηδων ο τεταρτος σμαραγδος,"And the foundations of the wall of the city were garnished with all manner of precious stones. The first foundation was jasper; the second, sapphire; the third, a chalcedony; the fourth, an emerald;","And the foundations of the wall of the city were garnished with all manner of precious stones. The first foundation was jasper; the second, sapphire; the third, a chalcedony; the fourth, an emerald;",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 21:20,REV,ο πεμπτος σαρδονυξ ο εκτος σαρδιος ο εβδομος χρυσολιθος ο ογδοος βηρυλλος ο εννατος τοπαζιον ο δεκατος χρυσοπρασος ο ενδεκατος υακινθος ο δωδεκατος αμεθυστος,"The fifth, sardonyx; the sixth, ruby; the seventh, chrysolyte; the eighth, beryl; the ninth, a topaz; the tenth, a chrysoprasus; the eleventh, a jacinth; the twelfth, an amethyst.","The fifth, sardonyx; the sixth, ruby; the seventh, chrysolyte; the eighth, beryl; the ninth, a topaz; the tenth, a chrysoprasus; the eleventh, a jacinth; the twelfth, an amethyst.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 21:25,REV,και οι πυλωνες αυτης ου μη κλεισθωσιν ημερας νυξ γαρ ουκ εσται εκει,And the gates of it shall not be shut at all by day: for there shall be no night there.,And the gates of it shall not be shut at all by day: for there shall be no night there.,needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 22:1,REV,και εδειξεν μοι καθαρον ποταμον υδατος ζωης λαμπρον ως κρυσταλλον εκπορευομενον εκ του θρονου του θεου και του αρνιου,"And he showed me a pure river of water of life, clear as crystal, proceeding out of the throne of God and of the Lamb.","And he showed me a pure river of water of life, clear as crystal, proceeding out of the throne of God and of the Lamb.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 22:4,REV,και οψονται το προσωπον αυτου και το ονομα αυτου επι των μετωπων αυτων,And they shall see his face; and his name shall be in their foreheads.,And they shall see his face; and his name shall be in their foreheads.,needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 22:13,REV,εγω ειμι το α και το ω αρχη και τελος ο πρωτος και ο εσχατος,"I am Alpha and Omega, the beginning and the end, the first and the last.","I am Alpha and Omega, the beginning and the end, the first and the last.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
