ref,book_name,chapter,verse,fresh_translation,brenton_translation,same_normalized,decision_count,footnote_count,importance
Exodus 2:13,Exodus,2,13,"And going out on the second day, he saw two Hebrew men fighting, and he says to the one doing wrong, 'Why are you striking your neighbor?'","And having gone out the second day he sees two Hebrew men fighting; and he says to the injurer, Wherefore smitest thou thy neighbour?",no,0,0,low
Exodus 2:14,Exodus,2,14,"But he said, 'Who made you ruler and judge over us? Do you mean to kill me as you killed the Egyptian yesterday?' Then Moses became afraid and said, 'So then this matter has become known.'","And he said, Who made thee a ruler and a judge over us? wilt thou slay me as thou yesterday slewest the Egyptian? Then Moses was alarmed, and said, If it be thus, this matter has become known.",no,0,0,low
Exodus 2:15,Exodus,2,15,"And Pharaoh heard this matter and sought to kill Moses. But Moses withdrew from Pharaoh's face and lived in the land of Midian. And when he came into the land of Midian, he sat by the well.","And Pharao heard this matter, and sought to slay Moses; and Moses departed from the presence of Pharao, and dwelt in the land of Madiam; and having come into the land of Madiam, he sat on the well.",no,0,0,low
Exodus 2:16,Exodus,2,16,"Now the priest of Midian had seven daughters, tending the flock of their father Jothor. And when they came, they drew water until they filled the troughs to water the flock of their father Jothor.","And the priest of Madiam had seven daughters, feeding the flock of their father Jothor; and they came and drew water until they filled their pitchers, to water the flock of their father Jothor.",no,0,0,low
Exodus 2:17,Exodus,2,17,"But when the shepherds came, they drove them away. Then Moses rose and rescued them, and he drew water for them and watered their flock.","And the shepherds came, and were driving them away; and Moses rose up and rescued them, and drew water for them, and watered their sheep.",no,0,0,low
Exodus 2:18,Exodus,2,18,"Then they came to Raguel their father, and he said to them, 'Why have you come so quickly today?'","And they came to Raguel their father; and he said to them, Why have ye come so quickly to-day?",no,0,0,low
Exodus 2:19,Exodus,2,19,"And they said, 'An Egyptian man rescued us from the shepherds, and he also drew water for us and watered our flock.'","And they said, An Egyptian delivered us from the shepherds, and drew water for us and watered our sheep.",no,0,0,medium
Exodus 2:20,Exodus,2,20,"And he said to his daughters, 'Then where is he? And why have you left the man like this? Call him then, so that he may eat bread.'","And he said to his daughters, And where is he? and why have ye left the man? call him therefore, that he may eat bread.",no,0,0,medium
Exodus 2:21,Exodus,2,21,"And Moses settled with the man, and he gave Sepphora his daughter to Moses as a wife.","And Moses was established with the man, and he gave Sepphora his daughter to Moses to wife.",no,1,1,high
Exodus 2:22,Exodus,2,22,"And the woman conceived and bore a son, and Moses called his name Gersam, saying, 'Because I am a sojourner in a foreign land.'","And the woman conceived and bore a son, and Moses called his name Gersam, saying, I am a sojourner in a strange land.",no,0,0,medium
Exodus 2:23,Exodus,2,23,"Now after those many days the king of Egypt died, and the sons of Israel groaned from the labors and cried out, and their cry went up to God from the labors.","And in those days after a length of time, the king of Egypt died; and the children of Israel groaned because of their tasks, and cried, and their cry because of their tasks went up to God.",no,0,0,medium
Exodus 2:24,Exodus,2,24,"And God heard their groaning, and God remembered his covenant with Abraham and Isaac and Jacob.","And God heard their groanings, and God remembered his covenant made with Abraam and Isaac and Jacob.",no,0,0,low
Exodus 2:25,Exodus,2,25,And God saw the sons of Israel and was made known to them.,"And God looked upon the children of Israel, and was made known to them.",no,1,1,high
Exodus 3:1,Exodus,3,1,"Now Moses was shepherding the flock of Jothor his father-in-law, the priest of Midian, and he led the flock into the wilderness and came to Mount Horeb.","And Moses was feeding the flock of Jothor his father-in-law, the priest of Madiam; and he brought the sheep nigh to the wilderness, and came to the mount of Choreb.",no,0,0,low
Exodus 3:2,Exodus,3,2,"Then a messenger of the Lord appeared to him in a flame of fire out of the bush. And he sees that the bush burns with fire, but the bush was not being consumed.","And an angel of the Lord appeared to him in flaming fire out of the bush, and he sees that the bush burns with fire,—but the bush was not consumed.",no,1,1,high
Exodus 3:3,Exodus,3,3,"And Moses said, 'I will go over now and see this great sight, why the bush is not burned up.'","And Moses said, I will go near and see this great sight, why the bush is not consumed.",no,0,0,low
Exodus 3:4,Exodus,3,4,"And when the Lord saw that he was coming near to see, the Lord called to him from the bush, saying, 'Moses, Moses.' And he said, 'What is it?'","And when the Lord saw that he drew nigh to see, the Lord called him out of the bush, saying, Moses, Moses; and he said, What is it?",no,1,1,high
Exodus 3:5,Exodus,3,5,"And he said, 'Do not come near here. Untie your sandals from your feet, for the place on which you stand is holy ground.'","And he said, Draw not nigh hither: loose thy sandals from off thy feet, for the place whereon thou standest is holy ground.",no,0,0,low
Exodus 3:6,Exodus,3,6,"And he said to him, 'I am the God of your father, the God of Abraham and the God of Isaac and the God of Jacob.' Then Moses turned away his face, for he feared to gaze before God.","And he said, I am the God of thy father, the God of Abraam, and the God of Isaac, and the God of Jacob; and Moses turned away his face, for he was afraid to gaze at God.",no,0,0,low
Exodus 3:7,Exodus,3,7,"And the Lord said to Moses, 'I have surely seen the affliction of my people in Egypt, and I have heard their cry from the taskmasters, for I know their pain.'","And the Lord said to Moses, I have surely seen the affliction of my people that is in Egypt, and I have heard their cry caused by their task-masters; for I know their affliction.",no,0,0,low
Exodus 3:8,Exodus,3,8,"And I have come down to take them out from the hand of the Egyptians and to bring them out of that land into a good and broad land, into a land flowing with milk and honey, into the place of the Canaanites and Hittites and Amorites and Perizzites and Girgashites and Hivites and Jebusites.","And I have come down to deliver them out of the hand of the Egyptians, and to bring them out of that land, and to bring them into a good and wide land, into a land flowing with milk and honey, into the place of the Chananites, and the Chettites, and Amorites, and Pherezites, and Gergesites, and Evites, and Jebusites.",no,0,0,low
Exodus 3:9,Exodus,3,9,"And now, look, the cry of the sons of Israel has come to me, and I have seen the oppression with which the Egyptians oppress them.","And now, behold, the cry of the children of Israel is come to me, and I have seen the affliction with which the Egyptians afflict them.",no,0,0,low
Exodus 3:10,Exodus,3,10,"And now come, I will send you to Pharaoh king of Egypt, and you shall bring out my people, the sons of Israel, from the land of Egypt.","And now come, I will send thee to Pharao king of Egypt, and thou shalt bring out my people the children of Israel from the land of Egypt.",no,0,0,low
Exodus 3:11,Exodus,3,11,"And Moses said to God, 'Who am I, that I should go to Pharaoh king of Egypt and that I should bring out the sons of Israel from the land of Egypt?'","And Moses said to God, Who am I, that I should go to Pharao king of Egypt, and that I should bring out the children of Israel from the land of Egypt?",no,0,0,low
Exodus 3:12,Exodus,3,12,"And God said to Moses, saying, 'For I will be with you, and this will be the sign for you that I am the one sending you: when you bring out my people from Egypt, you will serve God on this mountain.'","And God spoke to Moses, saying, I will be with thee, and this shall be the sign to thee that I shall send thee forth,—when thou bringest out my people out of Egypt, then ye shall serve God in this mountain.",no,0,0,low
Exodus 3:13,Exodus,3,13,"And Moses said to God, 'Look, I will come to the sons of Israel and say to them, The God of your fathers has sent me to you. And they will ask me, What is his name? What should I say to them?'","And Moses said to God, Behold, I shall go forth to the children of Israel, and shall say to them, The God of our fathers has sent me to you; and they will ask me, What is his name? What shall I say to them?",no,0,0,low
Exodus 3:14,Exodus,3,14,"And God said to Moses, 'I am the One who is.' And he said, 'Thus shall you say to the sons of Israel: The One who is has sent me to you.'","And God spoke to Moses, saying, I am THE BEING; and he said, Thus shall ye say to the children of Israel, THE BEING has sent me to you.",no,1,1,high
Exodus 3:15,Exodus,3,15,"And God said again to Moses, 'Thus shall you say to the sons of Israel: The Lord, the God of your fathers, the God of Abraham and the God of Isaac and the God of Jacob, has sent me to you. This is my eternal name and my memorial from generation to generation.'","And God said again to Moses, Thus shalt thou say to the sons of Israel, The Lord God of our fathers, the God of Abraam, and God of Isaac, and God of Jacob, has sent me to you: this is my name for ever, and my memorial to generations of generations.",no,0,0,low
Exodus 3:16,Exodus,3,16,"Go then, gather the elders of the sons of Israel and say to them, 'The Lord, the God of your fathers, has appeared to me, the God of Abraham and the God of Isaac and the God of Jacob, saying, I have surely visited you and the things that have happened to you in Egypt.'","Go then and gather the elders of the children of Israel, and thou shalt say to them, The Lord God of our fathers has appeared to me, the God of Abraam, and God of Isaac, and God of Jacob, saying, I have surely looked upon you, and upon all the things which have happened to you in Egypt.",no,1,1,high
Exodus 3:17,Exodus,3,17,"And I said, I will bring you up out of the affliction of the Egyptians into the land of the Canaanites and Hittites and Amorites and Perizzites and Girgashites and Hivites and Jebusites, into a land flowing with milk and honey.","And he said, I will bring you up out of the affliction of the Egyptians to the land of the Chananites and the Chettites, and Amorites and Pherezites, and Gergesites, and Evites, and Jebusites, to a land flowing with milk and honey.",no,0,0,low
Exodus 3:18,Exodus,3,18,"And they will listen to your voice, and you and the elders of Israel shall go in to Pharaoh king of Egypt, and you shall say to him, 'The God of the Hebrews has summoned us. Let us go then a journey of three days into the wilderness so that we may sacrifice to our God.'","And they shall hearken to thy voice, and thou and the elders of Israel shall go in to Pharao king of Egypt, and thou shalt say to him, The God of the Hebrews has called us; we will go then a journey of three days into the wilderness, that we may sacrifice to our God.",no,1,1,high
Exodus 3:19,Exodus,3,19,"But I know that Pharaoh king of Egypt will not let you go, except under a mighty hand.","But I know that Pharao king of Egypt will not let you go, save with a mighty hand;",no,1,1,high
Exodus 3:20,Exodus,3,20,"And stretching out my hand, I will strike the Egyptians with all my wonders that I will do among them, and after these things he will send you out.","and I will stretch out my hand, and smite the Egyptians with all my wonders, which I shall work among them, and after that he will send you forth.",no,0,0,low
Exodus 3:21,Exodus,3,21,"And I will give favor to this people before the Egyptians, and when you depart, you will not depart empty.","And I will give this people favour in the sight of the Egyptians, and whenever ye shall escape, ye shall not depart empty.",no,0,0,low
Exodus 3:22,Exodus,3,22,"Each woman shall ask from her neighbor and her fellow-dweller articles of silver and gold and clothing, and you shall put them on your sons and on your daughters, and you shall plunder the Egyptians.","But every woman shall ask of her neighbour and fellow lodger, articles of gold and silver, and apparel; and ye shall put them upon your sons and upon your daughters,—and spoil ye the Egyptians.",no,0,0,medium
Exodus 4:1,Exodus,4,1,"And Moses answered and said, 'What if they do not believe me or listen to my voice? For they will say, God has not appeared to you. What shall I say to them?'","And Moses answered and said, If they believe me not, and do not hearken to my voice (for they will say, God has not appeared to thee), what shall I say to them?",no,0,0,low
Exodus 4:2,Exodus,4,2,"And the Lord said to him, 'What is this in your hand?' And he said, 'A staff.'","And the Lord said to him, What is this thing that is in thine hand? and he said, A rod.",no,0,0,low
Exodus 4:3,Exodus,4,3,"And he said, 'Throw it on the ground.' And he threw it on the ground, and it became a serpent, and Moses fled from it.","And he said, Cast it on the ground: and he cast it on the ground, and it became a serpent, and Moses fled from it.",no,0,0,low
Exodus 4:4,Exodus,4,4,"And the Lord said to Moses, 'Stretch out your hand and seize its tail.' So stretching out his hand, he seized its tail, and it became a staff in his hand.","And the Lord said to Moses, Stretch forth thine hand, and take hold of its tail: so he stretched forth his hand and took hold of the tail,",no,0,0,low
Exodus 4:5,Exodus,4,5,"So that they may believe you that the Lord, the God of their fathers, the God of Abraham and the God of Isaac and the God of Jacob, has appeared to you.","and it became a rod in his hand,—that they may believe thee, that the God of thy fathers has appeared to thee, the God of Abraam, and God of Isaac, and God of Jacob.",no,0,0,low
Exodus 4:6,Exodus,4,6,"And the Lord said to him again, 'Put your hand into your bosom.' And he put his hand into his bosom, and he brought his hand out of his bosom, and his hand became like snow.","And the Lord said again to him, Put thine hand into thy bosom; and he put his hand into his bosom, and brought his hand out of his bosom, and his hand became as snow.",no,0,0,low
Exodus 4:7,Exodus,4,7,"And he said again, 'Put your hand into your bosom.' And he put his hand into his bosom and brought it out of his bosom, and it was restored again to the color of his flesh.","And he said again, Put thy hand into thy bosom; and he put his hand into his bosom, and brought his hand out of his bosom, and it was again restored to the complexion of his other flesh.",no,0,0,low
Exodus 4:8,Exodus,4,8,"And if they do not believe you or listen to the voice of the first sign, they will believe the voice of the last sign.","And if they will not believe thee, nor hearken to the voice of the first sign, they will believe thee because of the voice of the second sign.",no,0,0,low
Exodus 4:9,Exodus,4,9,"And it will be, if they do not believe you by these two signs and do not listen to your voice, you shall take from the water of the river and pour it on the dry ground, and the water that you take from the river will become blood on the dry ground.","And it shall come to pass if they will not believe thee for these two signs, and will not hearken to thy voice, that thou shalt take of the water of the river and pour it upon the dry land, and the water which thou shalt take from the river shall be blood upon the dry land.",no,0,0,low
Exodus 4:10,Exodus,4,10,"And Moses said to the Lord, 'I beg you, Lord, I have not been adequate before, neither yesterday nor the day before, nor since you began speaking to your servant. I am weak-voiced and slow-tongued.'","And Moses said to the Lord, I pray, Lord, I have not been sufficient in former times, neither from the time that thou hast begun to speak to thy servant: I am weak in speech, and slow-tongued.",no,1,1,high
Exodus 4:11,Exodus,4,11,"And the Lord said to Moses, 'Who gave a mouth to a human being? And who made one speechless and deaf, seeing and blind? Is it not I, God?'","And the Lord said to Moses, Who has given a mouth to man, and who has made the very hard of hearing, and the deaf, the seeing and the blind? have not I, God?",no,1,1,high
Exodus 4:12,Exodus,4,12,"And now go, and I will open your mouth and instruct you in what you are about to say.","And now go and I will open thy mouth, and will instruct thee in what thou shalt say.",no,0,0,low
Exodus 4:13,Exodus,4,13,"And Moses said, 'I beg you, Lord, appoint another capable one whom you will send.'","And Moses said, I pray thee, Lord, appoint another able person whom thou shalt send.",no,0,0,low
Exodus 4:14,Exodus,4,14,"And the Lord, angered with wrath against Moses, said, 'Look, is not Aaron the Levite your brother? I know that speaking he will speak for you. And look, he himself will come out to meet you, and seeing you, he will rejoice within himself.'","And the Lord was greatly angered against Moses, and said, Lo! is not Aaron the Levite thy brother? I know that he will surely speak to thee; and, behold, he will come forth to meet thee, and beholding thee he will rejoice within himself.",no,0,0,low
Exodus 4:15,Exodus,4,15,"And you shall speak to him and put my words into his mouth, and I will open your mouth and his mouth, and I will instruct you what you shall do.","And thou shalt speak to him; and thou shalt put my words into his mouth, and I will open thy mouth and his mouth, and I will instruct you in what ye shall do.",no,0,0,low
Exodus 4:16,Exodus,4,16,"And he himself will speak for you to the people, and he will be your mouth, but you will be for him in the things toward God.","And he shall speak for thee to the people, and he shall be thy mouth, and thou shalt be for him in things pertaining to God.",no,1,1,high
Exodus 4:17,Exodus,4,17,"And this staff, the one turned into a serpent, you shall take in your hand, with it you shall do the signs.","And this rod that was turned into a serpent thou shalt take in thine hand, wherewith thou shalt work miracles.",no,0,0,low
Exodus 4:18,Exodus,4,18,"And Moses went and returned to Jothor his father-in-law and said, 'I will go now and return to my brothers in Egypt and see whether they are still alive.' And Jothor said to Moses, 'Go in health.'","And Moses went and returned to Jothor his father-in-law, and says, I will go and return to my brethren in Egypt, and will see if they are yet living. And Jothor said to Moses, Go in health. And in those days after some time, the king of Egypt died.",no,0,0,low
Exodus 4:19,Exodus,4,19,"Now after those many days the king of Egypt died. And the Lord said to Moses in Midian, 'Go, depart into Egypt, for all seeking your life have died.'","And the Lord said to Moses in Madiam, Go, depart into Egypt, for all that sought thy life are dead.",no,0,0,medium
Exodus 4:20,Exodus,4,20,"And Moses, taking his wife and his children, mounted them on the pack animals and returned to Egypt. And Moses took the staff from God in his hand.","And Moses took his wife and his children, and mounted them on the beasts, and returned to Egypt; and Moses took the rod which he had from God in his hand.",no,0,0,low
Exodus 4:21,Exodus,4,21,"And the Lord said to Moses, 'When you go and return to Egypt, see that you do all the wonders that I gave into your hands before Pharaoh. But I will harden his heart, and he will certainly not send out the people.'","And the Lord said to Moses, When thou goest and returnest to Egypt, see—all the miracles I have charged thee with, thou shalt work before Pharao: and I will harden his heart, and he shall certainly not send away the people.",no,1,1,high
Exodus 4:22,Exodus,4,22,"And you shall say to Pharaoh, 'These things says the Lord: Israel is my firstborn son.'","And thou shalt say to Pharao, These things saith the Lord, Israel is my first-born.",no,1,1,high
Exodus 4:23,Exodus,4,23,"And I said to you, Send out my people so that they may serve me. But if you refuse to send them out, look then, I will kill your firstborn son.'","And I said to thee, Send away my people, that they may serve me: now if thou wilt not send them away, see, I will slay thy first-born son.",no,0,0,low
Exodus 4:24,Exodus,4,24,"And it happened on the way, at the lodging place, that a messenger of the Lord met him and sought to kill him.","And it came to pass that the angel of the Lord met him by the way in the inn, and sought to slay him.",no,0,0,low
Exodus 4:25,Exodus,4,25,"And Sepphora, taking a stone, circumcised the foreskin of her son and fell at his feet and said, 'The blood of my child's circumcision stands.'","And Sepphora having taken a stone cut off the foreskin of her son, and fell at his feet and said, The blood of the circumcision of my son is staunched:",no,1,1,high
Exodus 4:26,Exodus,4,26,"And he departed from him, because she said, 'The blood of my child's circumcision stands.'","and he departed from him, because she said, The blood of the circumcision of my son is staunched.",no,0,0,low
Exodus 4:27,Exodus,4,27,"And the Lord said to Aaron, 'Go into the wilderness to meet Moses.' And he went and met him at the mountain of God, and they kissed one another.","And the Lord said to Aaron, Go into the wilderness to meet Moses; and he went and met him in the mount of God, and they kissed each other.",no,0,0,low
Exodus 4:28,Exodus,4,28,"And Moses reported to Aaron all the words of the Lord with which he had sent him, and all the signs that he had commanded him.","And Moses reported to Aaron all the words of the Lord, which he sent, and all the things which he charged him.",no,0,0,medium
Exodus 4:29,Exodus,4,29,And Moses and Aaron went and gathered the elders of the sons of Israel.,And Moses and Aaron went and gathered the elders of the children of Israel.,no,0,0,low
Exodus 4:30,Exodus,4,30,"And Aaron spoke all these words that God had spoken to Moses, and he did the signs before the people.","And Aaron spoke all these words, which God spoke to Moses, and wrought the miracles before the people.",no,0,0,low
Exodus 4:31,Exodus,4,31,"And the people believed and rejoiced because God had visited the sons of Israel and because he had seen their affliction. And bowing down, the people worshiped.","And the people believed and rejoiced, because God visited the children of Israel, and because he saw their affliction: and the people bowed and worshipped.",no,1,1,high
Exodus 5:1,Exodus,5,1,"And after these things Moses and Aaron went in to Pharaoh and said to him, 'These things says the Lord, the God of Israel: Send out my people so that they may hold a feast to me in the wilderness.'","And after this went in Moses and Aaron to Pharao, and they said to him, These things says the Lord God of Israel, Send my people away, that they may keep a feast to me in the wilderness.",no,0,0,low
Exodus 5:2,Exodus,5,2,"And Pharaoh said, 'Who is this, whose voice I should listen to so as to send out the sons of Israel? I do not know the Lord, and I will not send Israel out.'","And Pharao said, Who is he that I should hearken to his voice, so that I should send away the children of Israel? I do not know the Lord, and I will not let Israel go.",no,1,1,high
Exodus 5:3,Exodus,5,3,"And they say to him, 'The God of the Hebrews has summoned us. Let us go then a journey of three days into the wilderness so that we may sacrifice to our God, lest death or slaughter meet us.'","And they say to him, The God of the Hebrews has called us to him: we will go therefore a three days' journey into the wilderness, that we may sacrifice to the Lord our God, lest at any time death or slaughter happen to us.",no,0,0,low
Exodus 5:4,Exodus,5,4,"And the king of Egypt said to them, 'Why, Moses and Aaron, do you turn my people away from their works? Go away, each of you, to his work.'","And the king of Egypt said to them, Why do ye, Moses and Aaron, turn the people from their works? depart each of you to your works.",no,0,0,medium
Exodus 5:5,Exodus,5,5,"And Pharaoh said, 'Look now, the people are numerous. Should we then give them rest from their works?'","And Pharao said, Behold now, the people is very numerous; let us not then give them rest from their work.",no,0,0,medium
Exodus 5:6,Exodus,5,6,"And Pharaoh commanded the taskmasters of the people and the scribes, saying,","And Pharao gave orders to the task-masters of the people and the accountants, saying,",no,0,0,medium
Exodus 5:7,Exodus,5,7,You shall no longer continue giving straw to the people for brick-making as yesterday and the day before. Let them go and gather straw for themselves.,"Ye shall no longer give straw to the people for brick-making as yesterday and the third day; but let them go themselves, and collect straw for themselves.",no,0,0,low
Exodus 5:8,Exodus,5,8,"And the quota of brick that they make each day, you shall impose on them; you shall not take away anything, for they are idle. Because of this they cry out, saying, Let us go and sacrifice to our God.","And thou shalt impose on them daily the rate of brick-making which they perform: thou shalt not abate anything, for they are idle; therefore have they cried, saying, Let us arise and do sacrifice to our God.",no,0,0,low
Exodus 5:9,Exodus,5,9,"Let the works of these men be made heavy, and let them attend to these things, and let them not attend to empty words.","Let the works of these men be made grievous, and let them care for these things, and not care for vain words.",no,1,1,high
Exodus 5:10,Exodus,5,10,"And the taskmasters and the scribes hurried them and spoke to the people, saying, 'These things says Pharaoh: I no longer give you straw.'","And the taskmasters and the accountants hastened them, and they spoke to the people, saying, Thus says Pharao, I will give you straw no longer.",no,0,0,low
Exodus 5:11,Exodus,5,11,"You yourselves go gather straw for yourselves wherever you can find it, for nothing is taken away from your quota.","Go ye, yourselves, get for yourselves straw whencesoever ye can find it, for nothing is diminished from your rate.",no,0,0,low
Exodus 5:12,Exodus,5,12,So the people were scattered through all Egypt to gather stubble for straw.,"So the people were dispersed in all the land of Egypt, to gather stubble for straw.",no,0,0,low
