family,description,ref,book_name,chapter,verse,greek_text,fresh_translation,bucket,dominant_bucket,dominant_count,family_row_count
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 7:23,Numbers,7,23,και εις θυσιαν σωτηριου δαμαλεις δυο κριους πεντε τραγους πεντε αμναδας ενιαυσιας πεντε τουτο το δωρον ναθαναηλ υιου σωγαρ,"and for sacrifice of peace, two cows, five rams, five goats, five yearling ewe lambs. This was the gift of Nethanel son of Zuar.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 7:29,Numbers,7,29,και εις θυσιαν σωτηριου δαμαλεις δυο κριους πεντε τραγους πεντε αμναδας ενιαυσιας πεντε τουτο το δωρον ελιαβ υιου χαιλων,"and for sacrifice of peace, two cows, five rams, five goats, five yearling ewe lambs. This was the gift of Eliab son of Helon.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 7:35,Numbers,7,35,και εις θυσιαν σωτηριου δαμαλεις δυο κριους πεντε τραγους πεντε αμναδας ενιαυσιας πεντε τουτο το δωρον ελισουρ υιου σεδιουρ,"and for sacrifice of peace, two cows, five rams, five goats, five yearling ewe lambs. This was the gift of Elizur son of Shedeur.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 7:41,Numbers,7,41,και εις θυσιαν σωτηριου δαμαλεις δυο κριους πεντε τραγους πεντε αμναδας ενιαυσιας πεντε τουτο το δωρον σαλαμιηλ υιου σουρισαδαι,"and for sacrifice of peace, two cows, five rams, five goats, five yearling ewe lambs. This was the gift of Shelumiel son of Zurishaddai.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 7:47,Numbers,7,47,και εις θυσιαν σωτηριου δαμαλεις δυο κριους πεντε τραγους πεντε αμναδας ενιαυσιας πεντε τουτο το δωρον ελισαφ υιου ραγουηλ,"and for sacrifice of peace, two cows, five rams, five goats, five yearling ewe lambs. This was the gift of Eliasaph son of Reuel.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 7:53,Numbers,7,53,και εις θυσιαν σωτηριου δαμαλεις δυο κριους πεντε τραγους πεντε αμναδας ενιαυσιας πεντε τουτο το δωρον ελισαμα υιου εμιουδ,"and for sacrifice of peace, two cows, five rams, five goats, five yearling ewe lambs. This was the gift of Elishama son of Ammihud.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 7:59,Numbers,7,59,και εις θυσιαν σωτηριου δαμαλεις δυο κριους πεντε τραγους πεντε αμναδας ενιαυσιας πεντε τουτο το δωρον γαμαλιηλ υιου φαδασσουρ,"and for sacrifice of peace, two cows, five rams, five goats, five yearling ewe lambs. This was the gift of Gamaliel son of Pedahzur.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 7:65,Numbers,7,65,και εις θυσιαν σωτηριου δαμαλεις δυο κριους πεντε τραγους πεντε αμναδας ενιαυσιας πεντε τουτο το δωρον αβιδαν υιου γαδεωνι,"and for sacrifice of peace, two cows, five rams, five goats, five yearling ewe lambs. This was the gift of Abidan son of Gideoni.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 7:71,Numbers,7,71,και εις θυσιαν σωτηριου δαμαλεις δυο κριους πεντε τραγους πεντε αμναδας ενιαυσιας πεντε τουτο το δωρον αχιεζερ υιου αμισαδαι,"and for sacrifice of peace, two cows, five rams, five goats, five yearling ewe lambs. This was the gift of Ahiezer son of Ammishaddai.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 7:77,Numbers,7,77,και εις θυσιαν σωτηριου δαμαλεις δυο κριους πεντε τραγους πεντε αμναδας ενιαυσιας πεντε τουτο το δωρον φαγαιηλ υιου εχραν,"and for sacrifice of peace, two cows, five rams, five goats, five yearling ewe lambs. This was the gift of Pagiel son of Ocran.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 7:83,Numbers,7,83,και εις θυσιαν σωτηριου δαμαλεις δυο κριους πεντε τραγους πεντε αμναδας ενιαυσιας πεντε τουτο το δωρον αχιρε υιου αιναν,"and for sacrifice of peace, two cows, five rams, five goats, five yearling ewe lambs. This was the gift of Ahira son of Enan.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 7:88,Numbers,7,88,πασαι αι βοες εις θυσιαν σωτηριου δαμαλεις εικοσι τεσσαρες κριοι εξηκοντα τραγοι εξηκοντα αμναδες εξηκοντα ενιαυσιαι αμωμοι αυτη η εγκαινωσις του θυσιαστηριου μετα το πληρωσαι τας χειρας αυτου και μετα το χρισαι αυτον,"All the cattle for sacrifice of peace were twenty-four cows, sixty rams, sixty goats, sixty unblemished yearling ewe lambs. This was the dedication of the altar after the filling of its hands and after he anointed it.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 10:10,Numbers,10,10,και εν ταις ημεραις της ευφροσυνης υμων και εν ταις εορταις υμων και εν ταις νουμηνιαις υμων σαλπιειτε ταις σαλπιγξιν επι τοις ολοκαυτωμασιν και επι ταις θυσιαις των σωτηριων υμων και εσται υμιν αναμνησις εναντι του θεου υμων εγω κυριος ο θεος υμων,"And in the days of your gladness and in your feasts and in your new moons, you shall blow the trumpets over your whole burnt offerings and over the sacrifices of your peace offerings, and it shall be a memorial for you before your God. I am the Lord your God.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 15:8,Numbers,15,8,εαν δε απο των βοων ποιητε εις ολοκαυτωμα η εις θυσιαν μεγαλυναι ευχην η εις σωτηριον κυριω,"And if you make from the cattle as a whole burnt offering or as a sacrifice to fulfill a vow or as a peace offering to the Lord,",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 29:39,Numbers,29,39,ταυτα ποιησετε κυριω εν ταις εορταις υμων πλην των ευχων υμων και τα εκουσια υμων και τα ολοκαυτωματα υμων και τας θυσιας υμων και τας σπονδας υμων και τα σωτηρια υμων,"These things you shall do for the Lord at your feasts, besides your vows and your voluntary offerings and your whole burnt offerings and your sacrifices and your libations and your peace offerings.",peace,salvation,43,71
