ref,book_name,chapter,verse,importance,priority_score,decision_count,footnote_count,nt_parallel_count,nt_parallel_weight,nt_parallel_refs,crossref_top_vote,crossref_nt_count,crossref_shared_family_hits,english_witness_checked,english_witness_fresh_support,english_witness_brenton_support,english_witness_mt_support,english_witness_differs_all,english_witness_split_or_mixed,english_witness_signals,english_witness_recommendation,nt_english_checked,nt_english_support_family,nt_english_softens_family,nt_english_mixed,nt_english_signals,nt_english_recommendation,logos_local_checked,logos_local_scopes,logos_local_source_tools,logos_local_signals,logos_local_supports,logos_local_confidence,logos_local_recommendation,consensus_recommendation,keyword_hits,reasons,fresh_translation,brenton_translation,_source_index
Deuteronomy 12:21,Deuteronomy,12,21,medium,18,0,0,3,3,"Acts 15:17, James 2:7, Romans 2:17",3,0,6,2,2,0,0,0,0,,keep,9,3,3,3,"literal_support, smoothing, translation_tradition",keep,0,,,,,,,keep,"god, lord, name, soul","importance=medium; keywords=god, lord, name, soul; nt=Acts 15:17, James 2:7, Romans 2:17; crossref_top_vote=3; crossref_shared_family=6; eng=fresh:2/brenton:0/mt:0; eng_reco=keep; nt_eng=support:3/soften:3/mixed:3; nt_eng_reco=keep; nt_eng_flags=literal_support, smoothing, translation_tradition; reco=keep","And if the place that the Lord your God chooses for his name to be called there is farther from you, then you shall slaughter from your cattle and from your sheep that God gave you, in the way I commanded you, and you shall eat in your cities according to the desire of your soul.","And if the place be far from thee, which the Lord thy God shall choose for himself, that his name be called upon it, then thou shalt kill of thy herd and of thy flock which God shall have given thee, even as I commanded thee, and thou shalt eat in thy cities according to the desire of thy soul.",27
Joshua 22:5,Joshua,22,5,medium,15,0,0,0,0,,49,4,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"god, law, lord, servant, soul","importance=medium; keywords=god, law, lord, servant, soul; crossref_top_vote=49","Only take great care to do the commandments and the law that Moses the servant of the Lord commanded us to do: to love the Lord your God, to walk in all his ways, to keep his commandments, and to cling to him and serve him with all your mind and with all your soul.","But take great heed to do the commands and the law, which Moses the servant of the Lord commanded you to do; to love the Lord our God, to walk in all his ways, to keep his commands, and to cleave to him, and serve him with all your mind, and with all your soul.",30
Joshua 22:29,Joshua,22,29,medium,15,0,0,0,0,,4,0,0,0,0,0,0,0,0,,,0,0,0,0,,,1,soteria-sacrifice-formula,AutoComplete.db WordSense; Bible Word Study; Factbook; recent history,lexical_support,salvation-shaped rendering,high,keep,keep,"altar, being, lord, peace, sacrifice, salvation","importance=medium; keywords=altar, being, lord, peace, sacrifice, salvation; crossref_top_vote=4; logos=1; logos_reco=keep; logos_flags=lexical_support; logos_support=salvation-shaped rendering; reco=keep","May it never be for us to turn away from the Lord in these days, to revolt from the Lord, so as to build for ourselves an altar for offerings and sacrifices of well-being and the sacrifice of salvation besides the altar of the Lord that is before his tent.","Far be it from us therefore that we should turn away from the Lord this day so as to apostatize from the Lord, so as that we should build an altar for burnt-offerings, and for peace-offerings, besides the altar of the Lord which is before his tabernacle.",32
Joshua 24:19,Joshua,24,19,medium,15,0,0,0,0,,8,0,0,2,1,0,0,0,1,unclear,,0,0,0,0,,,0,,,,,,,,"being, forgive, god, holy, lord","importance=medium; keywords=being, forgive, god, holy, lord; crossref_top_vote=8; eng=fresh:1/brenton:0/mt:0; eng_flags=unclear","And Joshua said to the people, You will not be able to serve the Lord, because he is a holy and jealous God; he will not forgive your sins and your lawless deeds.","And Joshua said to the people, Indeed ye will not be able to serve the Lord, for God is holy; and he being jealous will not forgive your sins and your transgressions.",34
Judges 6:34,Judges,6,34,medium,10,0,0,0,0,,8,2,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"god, lord, spirit","importance=medium; keywords=god, lord, spirit; crossref_top_vote=8","And the Spirit of God clothed Gideon, and he sounded the horn, and Abiezer cried out after him.","And the Spirit of the Lord came upon Gedeon, and he blew with the horn, and Abiezer came to help after him.",36
Judges 13:8,Judges,13,8,medium,10,0,0,0,0,,6,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"being, god, lord","importance=medium; keywords=being, god, lord; crossref_top_vote=6","And Manōe prayed to the Lord and said, I beg, Lord, may the man of God whom you sent to us please come to us again and instruct us what we should do for the child being born.","And Manoë prayed to the Lord and said, I pray thee, O Lord my Lord, concerning the man of God whom thou sentest; let him now come to us once more, and teach us what we shall do to the child about to be born.",38
Ruth 4:12,Ruth,4,12,low,9,0,0,0,0,,5,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"lord, seed, servant","importance=low; keywords=lord, seed, servant; crossref_top_vote=5","And may your house become like the house of Phares, whom Thamar bore to Judah, from the seed that the Lord will give you from this servant girl.","And let thy house be as the house of Phares, whom Thamar bore to Juda, of the seed which the Lord shall give thee of this handmaid.",47
1 Samuel 20:42,1 Samuel,20,42,high,19,1,1,0,0,,5,2,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"lord, name, peace, seed","decisions=1; footnotes=1; importance=high; keywords=lord, name, peace, seed; crossref_top_vote=5","And Iōnathan said, Go in peace, and as we two swore in the name of the Lord, saying, The Lord will be witness between me and you and between my seed and between your seed forever.","And Jonathan said to David, Go in peace, and as we have both sworn in the name of the Lord, saying, The Lord shall be witness between me and thee, and between my seed and thy seed for ever—even so let it be.",51
1 Samuel 30:6,1 Samuel,30,6,high,18,1,1,0,0,,33,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"god, lord, soul","decisions=1; footnotes=1; importance=high; keywords=god, lord, soul; crossref_top_vote=33","And David was greatly distressed, because the people spoke of stoning him, because the soul of all the people was bitter, each for his sons and for his daughters. And David strengthened himself in the Lord his God.","And David was greatly distressed, because the people spoke of stoning him, because the soul of all the people was grieved, each for his sons and his daughters: but David strengthened himself in the Lord his God.",53
1 Kings 2:35,1 Kings,2,35,high,27,1,1,0,0,,5,1,0,2,2,0,0,0,0,,keep,0,0,0,0,,,0,,,,,,,keep,"altar, being, hades, king, lord, peace, priest, seed","decisions=1; footnotes=1; importance=high; keywords=altar, being, hades, king, lord, peace; crossref_top_vote=5; eng=fresh:2/brenton:0/mt:0; eng_reco=keep; reco=keep","And the king gave Banaiou son of Iodae in his place over the generalship, and the kingdom was being set right in Ierousalem, and the king gave Sadok the priest as first priest instead of Abiathar. And the Lord gave understanding to Solomon and very much wisdom and breadth of heart like the sand that is beside the sea. And the understanding of Solomon was multiplied greatly beyond the understanding of all the ancients and beyond all the wise of Egypt. And he took the daughter of Pharao and brought her into the City of David until he finished his own house and the house of the Lord first and the wall of Ierousalem all around. In seven years he made it and finished it. And Solomon had seventy thousand carrying burdens and eighty thousand stonecutters in the mountain. And Solomon made the Sea and the bases and the great basins and the pillars and the fountain of the court and the bronze sea. And he built the citadel and its battlements and cut through the City of David. Thus the daughter of Pharao was going up from the City of David into her house that he built for her. Then he built the citadel. And Solomon offered up three times in the year whole burnt offerings and peace offerings on the altar that he built to the Lord and was burning incense before the Lord and finished the house. And these were the rulers set over the works of Solomon, three thousand six hundred overseers of the people doing the works. And he built Assour and Magdo and Gazer and upper Baithoron and Baalath. But after he built the house of the Lord and the wall of Ierousalem all around, after these things he built these cities. And while David was still living he commanded Solomon, saying, Behold, with you is Semei son of Gera, son of the seed of the Jeminaian from Chebron. He cursed me with a grievous curse on the day when I was going to the Camps, and he came down to meet me at the Jordan, and I swore to him by the Lord, saying, He shall not be put to death by the sword. And now do not hold him guiltless, because you are a prudent man and you will know what you will do to him, and you will bring his gray hair down in blood to Hades.","And the king appointed Banæas son of Jodae in his place over the host; and the kingdom was established in Jerusalem; and as for Sadoc the priest, the king appointed him to be high priest in the room of Abiathar. And Solomon son of David reigned over Israel and Juda in Jerusalem:",60
1 Kings 12:24,1 Kings,12,24,high,22,1,1,0,0,,4,0,0,2,2,0,0,0,0,,keep,0,0,0,0,,,0,,,,,,,keep,"being, god, king, lord, name, servant","decisions=1; footnotes=1; importance=high; keywords=being, god, king, lord, name, servant; crossref_top_vote=4; eng=fresh:2/brenton:0/mt:0; eng_reco=keep; reco=keep","Thus says the Lord: You shall not go up nor fight with your brothers, sons of Israel. Let each return to his own house, because this word has happened from me. And they heard the word of the Lord and stopped from going according to the word of the Lord. And King Solomon sleeps with his fathers and is buried with his fathers in the City of David, and Roboam his son reigned in place of him in Ierousalem, being sixteen years old when he began to reign, and he reigned twelve years in Ierousalem, and the name of his mother was Naanan daughter of Anan son of Naas king of the sons of Ammon, and he did evil before the Lord and did not walk in the way of David his father. And there was a man from the hill country of Ephraim, servant to Solomon, and his name was Ieroboam, and his mother's name was Sarira, a prostitute woman, and Solomon gave him as chief officer of the staff over the burdens of the house of Ioseph, and he built for Solomon Sarira in the hill country of Ephraim, and he had three hundred chariots of horses. This one built the citadel among the burdens of the house of Ephraim. This one closed up the City of David and was being lifted up against the kingdom. And Solomon sought to put him to death, and he feared and fled to Sousakim king of Egypt and was with him until Solomon died. And Ieroboam heard in Egypt that Solomon died, and he spoke into the ears of Sousakim king of Egypt, saying, Send me away, and I will depart to my land. And Sousakim said to him, Ask what request and I will give it to you. And Sousakim gave to Ieroboam the elder sister of Thekemina, his own wife, for a wife. She was great among the daughters of the king and bore to Ieroboam Abia his son. And Ieroboam said to Sousakim, Truly send me away, and I will depart. And Ieroboam went out from Egypt and came to the land of Sarira in the hill country of Ephraim and gathered there all the scepter of Ephraim and built a fort there. And his young child became very sick with a very severe sickness, and Ieroboam went to inquire concerning the child, and he said to Ano his wife, Rise and go inquire of God concerning the child, whether he will live from his sickness. And there was a man in Selom, and his name was Achias, and he was sixty years old, and the word of the Lord was with him. And Ieroboam said to his wife, Rise and take in your hand to the man of God loaves and cakes for his children and grapes and a jar of honey. And the woman rose and took in her hand loaves and two cakes and grapes and a jar of honey for Achias, and the man was old and his eyes were dim from seeing. And she rose from Sarira and went. And it came to be when she entered the city to Achias the Selonite, Achias said to his young servant, Go out now to meet Ano wife of Ieroboam and say to her, Come in and do not stand still, because thus says the Lord: Hard things I am sending upon you. And Ano entered to the man of God, and Achias said to her, Why have you brought me loaves and grapes and cakes and a jar of honey? Thus says the Lord: Behold, you will depart from me, and it will be when you enter the gate into Sarira and your maidens come out to meet you and say to you, The child has died, because thus says the Lord: Behold, I will destroy from Ieroboam one urinating against a wall, and those dying of Ieroboam in the city dogs will devour, and the one dying in the field the birds of heaven will devour, and for the child they will mourn. Alas, Lord, because a good word concerning the Lord was found in him. And the woman departed when she heard, and it came to be when she entered into Sarira, the child died and the cry went out to meet her. And Ieroboam went to Sikima in the hill country of Ephraim and gathered there the tribes of Israel, and Roboam son of Solomon went up there. And the word of the Lord came to Samaias the Elamite, saying, Take for yourself a new garment not yet entered into water and tear it into twelve pieces, and give them to Ieroboam and say to him, Thus says the Lord: Take for yourself ten pieces to put on, and Ieroboam took them, and Samaias said, Thus says the Lord concerning the ten tribes of Israel. And the people said to Roboam son of Solomon, Your father made his yoke heavy upon us and made the foods of his table heavy. And now, if you lighten things upon us, we will serve you. And Roboam said to the people, In three days I will answer you a word. And he said, Bring in to me the elders and I will take counsel with them what word I should answer the people on the third day. And Roboam spoke into their ears, just as the people sent to him, and the elders said, Thus the people spoke to you. And Roboam scattered their counsel, and it was not pleasing before him, and he sent and brought in his companions and spoke these same things to them: Thus the people sent to me. And his companions said, Thus you will speak to the people, saying, My littleness is thicker than my father's loin. My father whipped you with whips, but I will rule you with scorpions. And the word was pleasing before Roboam, and he answered the people just as his companions, the young men, counseled him. And all the people cried out as one man, each to his neighbor, and they all cried aloud, saying, There is no share for us in David and no inheritance in the son of Iessai. To your tents, Israel, because this man is not for ruler nor for leader. And all the people were scattered from Sikim and each went to his tent, and Roboam prevailed and went and mounted his chariot and entered into Ierousalem, and all the scepter of Iouda and all the scepter of Benjamin went after him. And it came to be at the turn of the year, and Roboam gathered all the men of Iouda and Benjamin and went up to war against Ieroboam at Sikima. And the word of the Lord came to Samaias the man of God, saying, Speak to Roboam king of Iouda and to all the house of Iouda and Benjamin and to the remnant of the people, saying, Thus says the Lord: You shall not go up nor fight against your brothers the sons of Israel. Return each to his house, because this word has happened from me. And they heard the word of the Lord and held back from going according to the word of the Lord.","Thus saith the Lord, Ye shall not go up, neither shall ye fight with your brethren the sons of Israel: return each man to his own home; for this thing is from me; and they hearkened to the word of the Lord, and they ceased from going up, according to the word of the Lord.",64
2 Kings 2:9,2 Kings,2,9,high,13,1,1,0,0,,12,4,0,2,2,0,0,0,0,,keep,0,0,0,0,,,0,,,,,,,keep,spirit,decisions=1; footnotes=1; importance=high; keywords=spirit; crossref_top_vote=12; eng=fresh:2/brenton:0/mt:0; eng_reco=keep; reco=keep,"And it came to be when they crossed over, Elijah said to Elisaie, Ask what I should do for you before I am taken up from you. And Elisaie said, Let a double share of your spirit now be upon me.","And it came to pass while they were crossing over, that Eliu said to Elisaie, Ask what I shall do for thee before I am taken up from thee. And Elisaie said, Let there be, I pray thee, a double portion of thy spirit upon me.",68
2 Kings 23:24,2 Kings,23,24,medium,13,0,0,0,0,,7,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"king, law, lord, priest, spirit","importance=medium; keywords=king, law, lord, priest, spirit; crossref_top_vote=7","And indeed the spirit-mediums and the knowers and the theraphin and the idols and all the abominations that had appeared in the land of Judah and in Jerusalem king Iōsias removed, to establish the words of the law written upon the book which Chelkias the priest found in the house of the Lord.","Moreover Josias removed the sorcerers, and the wizards, and the theraphin, and the idols, and all the abominations that had been set up in the land of Juda and in Jerusalem, that he might keep the words of the law that were written in the book, which Chelcias the priest found in the house of the Lord.",70
2 Kings 23:25,2 Kings,23,25,medium,12,0,0,0,0,,6,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"king, law, lord, soul","importance=medium; keywords=king, law, lord, soul; crossref_top_vote=6","Like him there was no king before him who turned to the Lord with all his heart and with all his soul and with all his strength according to all the law of Moses, and after him none like him arose.","There was no king like him before him, who turned to the Lord with all his heart, and with all his soul, and with all his strength, according to all the law of Moses; and after him there rose not one like him.",71
1 Chronicles 15:29,1 Chronicles,15,29,medium,12,0,0,0,0,,5,2,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"covenant, king, lord, soul","importance=medium; keywords=covenant, king, lord, soul; crossref_top_vote=5","And it came to pass, ark of covenant of Lord came as far as City of Dauid, and Melchol daughter of Saul looked through window and saw king Dauid dancing and playing, and she despised him in her soul.","And the ark of the covenant of the Lord arrived, and came to the city of David; and Melchol the daughter of Saul looked down through the window, and saw king David dancing and playing: and she despised him in her heart.",73
1 Chronicles 22:19,1 Chronicles,22,19,medium,17,0,0,0,0,,12,0,0,2,1,0,0,0,1,unclear,,0,0,0,0,,,0,,,,,,,,"being, covenant, god, holy, lord, name","importance=medium; keywords=being, covenant, god, holy, lord, name; crossref_top_vote=12; eng=fresh:1/brenton:0/mt:0; eng_flags=unclear","Now set your hearts and your souls to seek the Lord your God, and rise and build a sanctuary to the Lord your God, to bring the ark of the covenant of the Lord and the holy vessels of God into the house being built for the name of the Lord.","Now set your hearts and souls to seek after the Lord your God: and rise, and build a sanctuary to your God to carry in the ark of the covenant of the Lord, and the holy vessels of God, into the house that is to be built to the name of the Lord.",76
1 Chronicles 28:9,1 Chronicles,28,9,medium,13,0,0,0,0,,326,2,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"god, lord, soul","importance=medium; keywords=god, lord, soul; crossref_top_vote=326","And now, Salomon my son, know God of your fathers and serve him with complete heart and willing soul, because Lord examines all hearts and knows every thought. If you seek him, he will be found by you; and if you forsake him, he will forsake you to end.","And now, my son Solomon, know the God of thy fathers, and serve him with a perfect heart and willing soul: for the Lord searches all hearts, and knows every thought: if thou seek him, he will be found of thee; but if thou shouldest forsake him, he will forsake thee for ever.",77
Ezra 1:1,Ezra,1,1,medium,10,0,0,0,0,,34,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"king, lord, spirit","importance=medium; keywords=king, lord, spirit; crossref_top_vote=34","And in first year of Cyrus king of Persians, for fulfillment of word of the Lord from mouth of Ieremias, the Lord stirred spirit of Cyrus king of Persians, and he proclaimed with a voice through all his kingdom, also in writing, saying,","Now in the first year of Cyrus king of the Persians, that the word of the Lord by the mouth of Jeremias might be fulfilled, the Lord stirred up the spirit of Cyrus king of the Persians, and he issued a proclamation through all his kingdom, and that in writing, saying,",84
Ezra 1:5,Ezra,1,5,medium,10,0,0,0,0,,7,4,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"god, lord, spirit","importance=medium; keywords=god, lord, spirit; crossref_top_vote=7","Then heads of father-houses of Iouda and Beniamin rose up, and priests and Levites, all whose spirit God stirred to go up to build house of the Lord in Ierousalem.","Then the chiefs of the families of Juda and Benjamin arose, and the priests, and the Levites, all whose spirit the Lord stirred up to go up to build the house of the Lord that is in Jerusalem.",85
Ezra 10:3,Ezra,10,3,medium,12,0,0,0,0,,8,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"covenant, god, law, offspring","importance=medium; keywords=covenant, god, law, offspring; crossref_top_vote=8","And now let us make a covenant with our God to put out all the women and those born from them, according to your counsel. Rise and warn them in commandments of our God, and let it be according to law.","Now then let us make a covenant with our God to put away all the wives, and their offspring, as thou shalt advise:",89
Esther 2:12,Esther,2,12,medium,10,0,0,0,0,,5,2,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"anointed, being, king","importance=medium; keywords=anointed, being, king; crossref_top_vote=5","And this was the time for a girl to go in to the king, when she completed twelve months, for thus the days of treatment are completed: six months being anointed with oil of myrrh and six months with spices and with the women's cosmetics.",,98
Psalms 24:1,Psalms,24,1,medium,12,0,0,0,0,,92,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"god, lord, soul","importance=medium; keywords=god, lord, soul; crossref_top_vote=92","Psalm of David. To you, Lord, I lifted my soul, O my God.",,110
Proverbs 10:3,Proverbs,10,3,medium,11,0,0,0,0,,20,2,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"lord, righteous, soul","importance=medium; keywords=lord, righteous, soul; crossref_top_vote=20","Lord will not starve righteous soul, but life of ungodly he will overthrow.",,117
Ecclesiastes 2:24,Ecclesiastes,2,24,medium,8,0,0,0,0,,17,2,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"god, soul","importance=medium; keywords=god, soul; crossref_top_vote=17","There is no good in man except that he should eat and drink and show his soul good in his toil; and this too I saw, that it is from hand of God.",,120
Ecclesiastes 2:26,Ecclesiastes,2,26,medium,9,0,0,0,0,,43,2,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"god, spirit","importance=medium; keywords=god, spirit; crossref_top_vote=43","Because to the man who is good before him he gave wisdom and knowledge and gladness, but to the sinner he gave distraction, to add and to gather in order to give to one good before the face of God; because this too is vanity and choice of spirit.",,121
Ecclesiastes 6:2,Ecclesiastes,6,2,medium,10,0,0,0,0,,10,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"glory, god, soul","importance=medium; keywords=glory, god, soul; crossref_top_vote=10","A man to whom God gives wealth and possessions and glory, so that his soul lacks nothing of all he desires, yet God does not empower him to eat from it, because a foreign man will eat it. This is vanity and grievous sickness.",,122
Ecclesiastes 11:5,Ecclesiastes,11,5,medium,9,0,0,0,0,,22,2,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"god, spirit","importance=medium; keywords=god, spirit; crossref_top_vote=22","As you do not know what way of spirit, as bones in womb of pregnant woman, so you will not know works of God, who will make all things.",,124
Song of Solomon 1:7,Song of Solomon,1,7,medium,8,0,0,0,0,,8,3,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"shepherd, soul","importance=medium; keywords=shepherd, soul; crossref_top_vote=8","Tell me, you whom my soul loved, where do you shepherd, where do you rest at noon, lest I become as one veiled over flocks of your companions?",,126
Song of Solomon 3:1,Song of Solomon,3,1,medium,6,0,0,0,0,,10,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,soul,importance=medium; keywords=soul; crossref_top_vote=10,On my bed by nights I sought the one my soul loved; I sought him and did not find him; I called him and he did not answer me.,,129
Song of Solomon 5:6,Song of Solomon,5,6,medium,8,0,0,0,0,,5,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"beloved, soul","importance=medium; keywords=beloved, soul; crossref_top_vote=5","I opened, I, to my beloved; my beloved passed by. My soul went out at his word. I sought him and did not find him; I called him and he did not answer me.",,130
Isaiah 49:7,Isaiah,49,7,medium,14,0,0,0,0,,12,2,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"god, holy, lord, servant, soul","importance=medium; keywords=god, holy, lord, servant, soul; crossref_top_vote=12","Thus says Lord, the one rescuing you, the God of Israel: to the one despised in soul, to the one abhorred by nations, to servant of rulers: Kings will see and rise, rulers also, and will worship, because of Lord, because Holy One of Israel is faithful, and he chose you.",,135
