ref,book_code,book_name,chapter,verse,greek_text,transliteration,literal_gloss,syntax_notes,draft_translation,ukjv_translation,review_status,review_notes
Matthew 2:11,MAT,Matthew,2,11,και ελθοντες εις την οικιαν ειδον το παιδιον μετα μαριας της μητρος αυτου και πεσοντες προσεκυνησαν αυτω και ανοιξαντες τους θησαυρους αυτων προσηνεγκαν αυτω δωρα χρυσον και λιβανον και σμυρναν,kai elyontev eiv thn oikian eidon to paidion meta mariav thv mhtrov autou kai pesontev prosekunhsan autw kai anoixantev touv yhsaurouv autwn proshnegkan autw dwra cruson kai libanon kai smurnan,,,"And when they had come into the house, they saw the young child with Mary his mother, and fell down, and worshiped him: and when they had opened their treasures, they presented to him gifts; gold, and frankincense and myrrh.","And when they were come into the house, they saw the young child with Mary his mother, and fell down, and worshipped him: and when they had opened their treasures, they presented unto him gifts; gold, and frankincense and myrrh.",tr_literal_pass1,modernized archaic directional unto; modernized were-come perfect; modernized worshipped spelling
Matthew 2:12,MAT,Matthew,2,12,και χρηματισθεντες κατ οναρ μη ανακαμψαι προς ηρωδην δι αλλης οδου ανεχωρησαν εις την χωραν αυτων,kai crhmatisyentev kat onar mh anakamqai prov hrwdhn di allhv odou anecwrhsan eiv thn cwran autwn,,,"And being warned of God in a dream that they should not return to Herod, they departed into their own country another way.","And being warned of God in a dream that they should not return to Herod, they departed into their own country another way.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Matthew 2:13,MAT,Matthew,2,13,αναχωρησαντων δε αυτων ιδου αγγελος κυριου φαινεται κατ οναρ τω ιωσηφ λεγων εγερθεις παραλαβε το παιδιον και την μητερα αυτου και φευγε εις αιγυπτον και ισθι εκει εως αν ειπω σοι μελλει γαρ ηρωδης ζητειν το παιδιον του απολεσαι αυτο,anacwrhsantwn de autwn idou aggelov kuriou fainetai kat onar tw iwshf legwn egeryeiv paralabe to paidion kai thn mhtera autou kai feuge eiv aigupton kai isyi ekei ewv an eipw soi mellei gar hrwdhv zhtein to paidion tou apolesai auto,,,"And when they were departed, look, the angel of the Lord appears to Joseph in a dream, saying, Arise, and take the young child and his mother, and flee into Egypt, and stay there until I bring you word: for Herod will seek the young child to destroy him.","And when they were departed, behold, the angel of the Lord appears to Joseph in a dream, saying, Arise, and take the young child and his mother, and flee into Egypt, and be you there until I bring you word: for Herod will seek the young child to destroy him.",tr_literal_pass1,modernized be-you imperative; modernized behold; normalized NT kurios as Lord
Matthew 2:14,MAT,Matthew,2,14,ο δε εγερθεις παρελαβεν το παιδιον και την μητερα αυτου νυκτος και ανεχωρησεν εις αιγυπτον,o de egeryeiv parelaben to paidion kai thn mhtera autou nuktov kai anecwrhsen eiv aigupton,,,"When he arose, he took the young child and his mother by night, and departed into Egypt:","When he arose, he took the young child and his mother by night, and departed into Egypt:",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Matthew 2:15,MAT,Matthew,2,15,και ην εκει εως της τελευτης ηρωδου ινα πληρωθη το ρηθεν υπο του κυριου δια του προφητου λεγοντος εξ αιγυπτου εκαλεσα τον υιον μου,kai hn ekei ewv thv teleuthv hrwdou ina plhrwyh to rhyen upo tou kuriou dia tou profhtou legontov ex aiguptou ekalesa ton uion mou,,,"And was there until the death of Herod: that it might be fulfilled which was spoken of the Lord by the prophet, saying, Out of Egypt have I called my son.","And was there until the death of Herod: that it might be fulfilled which was spoken of the Lord by the prophet, saying, Out of Egypt have I called my son.",tr_literal_pass1,normalized NT kurios as Lord
Matthew 2:16,MAT,Matthew,2,16,τοτε ηρωδης ιδων οτι ενεπαιχθη υπο των μαγων εθυμωθη λιαν και αποστειλας ανειλεν παντας τους παιδας τους εν βηθλεεμ και εν πασιν τοις οριοις αυτης απο διετους και κατωτερω κατα τον χρονον ον ηκριβωσεν παρα των μαγων,tote hrwdhv idwn oti enepaicyh upo twn magwn eyumwyh lian kai aposteilav aneilen pantav touv paidav touv en bhyleem kai en pasin toiv orioiv authv apo dietouv kai katwterw kata ton cronon on hkribwsen para twn magwn,,,"Then Herod, when he saw that he was mocked of the Magi, was exceedingly angry, and sent forth, and killed all the children that were in Bethlehem, and in all the borders of it, from two years old and under, according to the time which he had diligently inquired of the Magi.","Then Herod, when he saw that he was mocked of the wise men, was exceeding angry, and sent forth, and slew all the children that were in Bethlehem, and in all the coasts thereof, from two years old and under, according to the time which he had diligently enquired of the wise men.",tr_literal_pass1,modernized coasts as borders; modernized enquired spelling; modernized exceeding modifier; modernized slew; modernized thereof; rendered magoi as Magi
Matthew 2:17,MAT,Matthew,2,17,τοτε επληρωθη το ρηθεν υπο ιερεμιου του προφητου λεγοντος,tote eplhrwyh to rhyen upo ieremiou tou profhtou legontov,,,"Then was fulfilled that which was spoken by Jeremiah the prophet, saying,","Then was fulfilled that which was spoken by Jeremy the prophet, saying,",tr_literal_pass1,standardized Jeremiah
Matthew 2:18,MAT,Matthew,2,18,φωνη εν ραμα ηκουσθη θρηνος και κλαυθμος και οδυρμος πολυς ραχηλ κλαιουσα τα τεκνα αυτης και ουκ ηθελεν παρακληθηναι οτι ουκ εισιν,fwnh en rama hkousyh yrhnov kai klauymov kai odurmov poluv rachl klaiousa ta tekna authv kai ouk hyelen paraklhyhnai oti ouk eisin,,,"In Ramah was there a voice heard, lamentation, and weeping, and great mourning, Rachel weeping for her children, and would not be comforted, because they are not.","In Rama was there a voice heard, lamentation, and weeping, and great mourning, Rachel weeping for her children, and would not be comforted, because they are not.",tr_literal_pass1,standardized Ramah
Matthew 2:19,MAT,Matthew,2,19,τελευτησαντος δε του ηρωδου ιδου αγγελος κυριου κατ οναρ φαινεται τω ιωσηφ εν αιγυπτω,teleuthsantov de tou hrwdou idou aggelov kuriou kat onar fainetai tw iwshf en aiguptw,,,"But when Herod was dead, look, an angel of the Lord appears in a dream to Joseph in Egypt,","But when Herod was dead, behold, an angel of the Lord appears in a dream to Joseph in Egypt,",tr_literal_pass1,modernized behold; normalized NT kurios as Lord
Matthew 2:20,MAT,Matthew,2,20,λεγων εγερθεις παραλαβε το παιδιον και την μητερα αυτου και πορευου εις γην ισραηλ τεθνηκασιν γαρ οι ζητουντες την ψυχην του παιδιου,legwn egeryeiv paralabe to paidion kai thn mhtera autou kai poreuou eiv ghn israhl teynhkasin gar oi zhtountev thn quchn tou paidiou,,,"Saying, Arise, and take the young child and his mother, and go into the land of Israel: for they are dead who sought the young child's life.","Saying, Arise, and take the young child and his mother, and go into the land of Israel: for they are dead which sought the young child's life.",tr_literal_pass1,modernized personal which as who
Matthew 2:21,MAT,Matthew,2,21,ο δε εγερθεις παρελαβεν το παιδιον και την μητερα αυτου και ηλθεν εις γην ισραηλ,o de egeryeiv parelaben to paidion kai thn mhtera autou kai hlyen eiv ghn israhl,,,"And he arose, and took the young child and his mother, and came into the land of Israel.","And he arose, and took the young child and his mother, and came into the land of Israel.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Matthew 2:22,MAT,Matthew,2,22,ακουσας δε οτι αρχελαος βασιλευει επι της ιουδαιας αντι ηρωδου του πατρος αυτου εφοβηθη εκει απελθειν χρηματισθεις δε κατ οναρ ανεχωρησεν εις τα μερη της γαλιλαιας,akousav de oti arcelaov basileuei epi thv ioudaiav anti hrwdou tou patrov autou efobhyh ekei apelyein crhmatisyeiv de kat onar anecwrhsen eiv ta merh thv galilaiav,,,"But when he heard that Archelaus did reign in Judea in the room of his father Herod, he was afraid to go there: notwithstanding, being warned of God in a dream, he turned aside into the parts of Galilee:","But when he heard that Archelaus did reign in Judaea in the room of his father Herod, he was afraid to go thither: notwithstanding, being warned of God in a dream, he turned aside into the parts of Galilee:",tr_literal_pass1,modernized thither; standardized Judea spelling
Matthew 2:23,MAT,Matthew,2,23,και ελθων κατωκησεν εις πολιν λεγομενην ναζαρεθ οπως πληρωθη το ρηθεν δια των προφητων οτι ναζωραιος κληθησεται,kai elywn katwkhsen eiv polin legomenhn nazarey opwv plhrwyh to rhyen dia twn profhtwn oti nazwraiov klhyhsetai,,,"And he came and dwelt in a city called Nazareth: that it might be fulfilled which was spoken by the prophets, He shall be called a Nazarene.","And he came and dwelt in a city called Nazareth: that it might be fulfilled which was spoken by the prophets, He shall be called a Nazarene.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
